gene,cell_type,Sex,cor,pval,padj
NOS2,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
IFT20,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
AC024267.4,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
AC011840.1,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
ATAD5,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
OMG,Endo,F,0.8168695759648024,3.624387945607179e-4,0.004456267100633883
AC022706.1,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
ARHGAP23,Endo,F,0.8023183541515405,5.544295547127064e-4,0.006280505283712788
AC244153.1,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
PCGF2,Endo,F,0.8168695759648024,3.624387945607179e-4,0.004456267100633883
PSMB3,Endo,F,0.9125365142810731,5.3410898368334105e-6,9.399048583833327e-5
RPL23,Endo,F,0.7395453791601097,0.002502247348335406,0.024258204619763243
CACNB1,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
ORMDL3,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
PSMD3,Endo,F,0.8843980914622609,2.6741823841010518e-5,4.344498497054451e-4
CNP,Endo,F,0.7620318608747927,0.0015353599264857603,0.01610929460899644
PSMC3IP,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
VPS25,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
PSME3,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
AARSD1,Endo,F,0.821812499956065,3.1108747250036586e-4,0.004456267100633883
RUNDC1,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
ARL4D,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
ETV4,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
TMEM101,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
AC003102.1,Endo,F,0.8036109599502681,5.346312678163618e-4,0.006191567699348145
FZD2,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
ARHGAP27,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
AC018521.5,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
SAMD14,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
