pathway,pval,padj,log2err,ES,NES,size,leadingEdge,pathway_source,analysis
Arachidonic Acid Metabolism (KEGG),0.18648355619804843,0.7293390379714978,0.04254035000420001,-0.598806391851057,-1.2684465291242815,6,1-Myristoyl-Sn-Glycero-3-Phosphocholine;Arachidonic Acid;L-Glutathione Oxidized;L-Glutamic Acid,KEGG,Factor2 signed MSEA (metabolite weights)
Nitrogen metabolism (KEGG),0.19259940243622156,0.7293390379714978,0.04771886321853942,0.45515827105894585,1.2565970255075503,12,Pyruvic Acid;Adenosine Triphosphate (Atp),KEGG,Factor2 signed MSEA (metabolite weights)
Glucuronidation (WikiPathways),0.19295033188372626,0.7293390379714978,0.04756407101582593,0.49786757281010696,1.255579258111966,9,Uridine 5'-Triphosphate Sodium Salt;Adenosine Triphosphate (Atp);D-Glucose 6-Phosphate;Uridine 5'-Diphosphate,WikiPathways,Factor2 signed MSEA (metabolite weights)
Cell recruitment (pro-inflammatory response) (Reactome),0.19977426636568849,0.7293390379714978,0.0463144910700218,0.5438237765968201,1.269191239641086,7,Uridine Monophosphate;5'-Cytidylic Acid;Uridine 5'-Diphosphate;Cytidine 5'-Diphosphate,Reactome,Factor2 signed MSEA (metabolite weights)
Purinergic signaling in leishmaniasis infection (Reactome),0.19977426636568849,0.7293390379714978,0.0463144910700218,0.5438237765968201,1.269191239641086,7,Uridine Monophosphate;5'-Cytidylic Acid;Uridine 5'-Diphosphate;Cytidine 5'-Diphosphate,Reactome,Factor2 signed MSEA (metabolite weights)
Modified nucleosides derived from tRNA as urinary cancer markers (WikiPathways),0.20654288240495136,0.7293390379714978,0.03968161484343965,-0.4838160764961098,-1.2365091282320397,11,Adenosine;Pseudouridine;Guanosine;5'-S-Methyl-5'-Thioadenosine;N2-Methylguanosine,WikiPathways,Factor2 signed MSEA (metabolite weights)
Trans-sulfuration pathway (WikiPathways),0.21012026321760835,0.7293390379714978,0.045175062690247146,0.5102041876340373,1.2455453019254343,8,Pyruvic Acid;Adenosine Triphosphate (Atp);Taurine;L-(-)-Methionine,WikiPathways,Factor2 signed MSEA (metabolite weights)
Thiamine metabolic pathways (WikiPathways),0.21034717494894487,0.7293390379714978,0.04514818898555193,0.5100883270344344,1.2452624551181928,8,Pyruvic Acid;D-Glucose 6-Phosphate;Dihydroxyacetone Phosphate;D-Ribose 5-Phosphate;Glucose 1-Phosphate,WikiPathways,Factor2 signed MSEA (metabolite weights)
Synthesis of Leukotrienes (LT) and Eoxins (EX) (Reactome),0.21164408641523252,0.7293390379714978,0.039914216648410286,-0.6212811760305708,-1.238383570701107,5,Arachidonic Acid;L-Glutamic Acid,Reactome,Factor2 signed MSEA (metabolite weights)
Amino Sugar Metabolism (KEGG),0.21367317770366842,0.7293390379714978,0.04597318946952992,0.4040874799316216,1.2064028556545179,16,Pyruvic Acid;Uridine 5'-Triphosphate Sodium Salt;Adenosine Triphosphate (Atp);D-Glucose 6-Phosphate;Udp-N-Acetylglucosamine;Uridine 5'-Diphosphate,KEGG,Factor2 signed MSEA (metabolite weights)
Synthesis of PC (Reactome),0.21647855530474042,0.7293390379714978,0.044309806434731695,0.5324761746613416,1.242707886784447,7,Cytidine 5'-Triphosphate;5'-Cytidylic Acid;Acetylcholine;Choline;Cytidine 5'-Diphosphocholine,Reactome,Factor2 signed MSEA (metabolite weights)
KEGG:map01120 (KEGG),0.2185145317545748,0.7293390379714978,0.038748118963076505,-0.5544542954094375,-1.2317118442047985,7,"Maleic Acid;2-Furoic Acid;Isobutyric Acid;Mesaconic Acid;2,6-Dihydroxypyridine Hcl",KEGG,Factor2 signed MSEA (metabolite weights)
HIF1A and PPARG in cardiac hypertropthy (WikiPathways),0.22684563758389262,0.7293390379714978,0.042959493925228937,0.5528553867032722,1.2228033176311919,6,"Pyruvic Acid;D-Fructose-1,6-Bisphosphate;L-(+)-Lactic Acid;Dihydroxyacetone Phosphate",WikiPathways,Factor2 signed MSEA (metabolite weights)
Synthesis of ceramides and 1-deoxyceramides (WikiPathways),0.23328514636790748,0.7293390379714978,0.0374794960289456,-0.5751347880959679,-1.2183031705520224,6,"D,L-Serine;L-Serine;Dl-Alanine;D-Erythro-Sphinganine;O-Phosphocolamine",WikiPathways,Factor2 signed MSEA (metabolite weights)
