feature,Compound.ID,Name,weight
"2-[{[(1s,4s,6s)-4-({5-[4-(Dimethylamino)Phenyl]-1,3,4-Oxadiazol-2-Yl}Methyl)-6-Isopropyl-3-Methyl-2-Cyclohexen-1-Yl]Methyl}(Methyl)Amino]Ethanol",C8-Pos-001592,"2-[{[(1s,4s,6s)-4-({5-[4-(Dimethylamino)Phenyl]-1,3,4-Oxadiazol-2-Yl}Methyl)-6-Isopropyl-3-Methyl-2-Cyclohexen-1-Yl]Methyl}(Methyl)Amino]Ethanol",-0.13017231225967407
"N,N-Dimethyl-Beta-Alanine Hcl",Amide-Pos-000235,"N,N-Dimethyl-Beta-Alanine Hcl",-0.12908823788166046
1-Stearoyl-2-Oleoyl-Sn-Glycero-3-Phosphoethanolamine,Amide-Pos-002257,1-Stearoyl-2-Oleoyl-Sn-Glycero-3-Phosphoethanolamine,-0.1288539469242096
L-Ornithine,Amide-Neg-000344,L-Ornithine,-0.1285203993320465
Glycerol Monopalmitate,C8-Pos-000593,Glycerol Monopalmitate,0.1280258148908615
Cysteinylglycine,Amide-Pos-000635,Cysteinylglycine,-0.1269475668668747
Dl-Pyroglutamic Acid,Amide-Neg-000291,Dl-Pyroglutamic Acid,-0.12601500749588013
Dg(16:0_16:1),C8-Pos-002844,Dg(16:0_16:1),0.12538442015647888
Ps(18:2_22:4),C8-Neg-003393,Ps(18:2_22:4),0.1248977780342102
Pc(30:8_11:3cooh),C8-Neg-003628,Pc(30:8_11:3cooh),-0.12488609552383424
Ps(24:2_20:5),C8-Neg-003554,Ps(24:2_20:5),0.12409528344869614
2-Aminocaprylate,C18-Pos-000695,2-Aminocaprylate,-0.1240546703338623
Pc(19:5cooh_25:8),C8-Neg-003610,Pc(19:5cooh_25:8),-0.12368051707744598
"D-Fructose-1,6-Bisphosphate",Amide-Neg-001873,"D-Fructose-1,6-Bisphosphate",0.12278293818235396
Acetyl-beta--Methylcholine,Amide-Pos-000561,Acetyl-Β-Methylcholine,-0.1219704896211624
1-beta--D-Arabinofuranosyluracil 5'-Monophosphate,C18-Neg-001407,1-Β-D-Arabinofuranosyluracil 5'-Monophosphate,0.11976584792137146
Pe(19:1cooh_28:3),C8-Neg-003656,Pe(19:1cooh_28:3),-0.11940488964319228
Pe 18:0_24:5,C8-Pos-004731,Pe 18:0_24:5,-0.11928540468215942
"2-Methyl-5-{2-[2-(4-Methyl-3,6-Dioxocyclohexa-1,4-Dienyl)Ethoxy]Ethyl}Benzo-1,4-Quinone",C8-Pos-000610,"2-Methyl-5-{2-[2-(4-Methyl-3,6-Dioxocyclohexa-1,4-Dienyl)Ethoxy]Ethyl}Benzo-1,4-Quinone",0.11859458684921265
