gene,n_papers,papers
FBXO46,1,Bramble_2016
FCER1G,1,Li_2024
FCER2,1,Li_2024
FCGR1A,1,Li_2024
FCGR2A,1,Li_2024
FCHO2,1,Bramble_2016
FCMR,1,Li_2024
FDPS,1,Bramble_2016
FEM1B,1,Bramble_2016
FER,1,Bramble_2016
FETUB,1,Li_2024
FGD2,1,Li_2024
FGD4,1,Bramble_2016
FGF12,1,Li_2024
FGF21,1,Bramble_2016
FGF8,1,Bramble_2016
FGFR1,1,Bramble_2016
FHAD1,1,Li_2024
FHL2,1,Li_2024
FHL3,1,Bramble_2016
FIGNL1,1,Bramble_2016
FITM2,1,Bramble_2016
FKBP1A,1,Bramble_2016
FKBP3,1,Bramble_2016
FKBP5,1,Bramble_2016
FLOT1,1,Bramble_2016
FLRT1,1,Li_2024
FLRT2,1,Bramble_2016
FLRT3,1,Bramble_2016
FMN2,1,Bramble_2016
FN1,1,Bramble_2016
FN3KRP,1,Bramble_2016
FNBP1,1,Bramble_2016
FNIP1,1,Bramble_2016
FNIP2,1,Bramble_2016
FOS,1,Bramble_2016
FOSB,1,Bramble_2016
FOXD4,1,Matassa_2025
FOXD4L5,1,Matassa_2025
FOXG1,1,Bramble_2016
FOXJ1,1,Bramble_2016
FOXJ2,1,Bramble_2016
FOXJ3,1,Bramble_2016
FOXK1,1,Bramble_2016
FOXM1,1,Bramble_2016
FOXN2,1,Bramble_2016
FOXO1,1,Bramble_2016
FOXO3,1,Bramble_2016
FOXO4,1,Bramble_2016
FOXP1,1,Bramble_2016
FOXP2,1,Bramble_2016
FOXP4,1,Bramble_2016
FRMD6,1,Bramble_2016
FRMD8,1,Bramble_2016
FRS2,1,Bramble_2016
FSCN1,1,Bramble_2016
FSTL5,1,Li_2024
FUS,1,Bramble_2016
FUT1,1,Bramble_2016
FUT9,1,Li_2024
FZD1,1,Bramble_2016
FZD3,1,Bramble_2016
FZD4,1,Bramble_2016
FZD6,1,Bramble_2016
FZD9,1,Bramble_2016
FZR1,1,Bramble_2016
G0S2,1,Bramble_2016
G6PC3,1,Bramble_2016
GABARAP,1,Bramble_2016
GABRA1,1,Li_2024
GABRA2,1,Bramble_2016
GABRG1,1,Bramble_2016
GADD45A,1,Bramble_2016
GADL1,1,Li_2024
GAL3ST1,1,Bramble_2016
GAL3ST3,1,Bramble_2016
GALC,1,Bramble_2016
GALNT7,1,Bramble_2016
GANAB,1,Bramble_2016
GAPDH,1,Bramble_2016
GAR1,1,Bramble_2016
GAS1,1,Bramble_2016
GAS2L1,1,Bramble_2016
GAS2L3,1,Bramble_2016
GAS6,1,Bramble_2016
GATAD2A,1,Bramble_2016
GATAD2B,1,Bramble_2016
GATC,1,Bramble_2016
GATM,1,Bramble_2016
GBP2,1,Bramble_2016
GBP4,1,Bramble_2016
GBP5,1,Bramble_2016
GBP6,1,Bramble_2016
GCNT2,1,Li_2024
GDPD1,1,Bramble_2016
GEM,1,Bramble_2016
GET4,1,Bramble_2016
GFPT2,1,Bramble_2016
GFY,1,Li_2024
GGA1,1,Bramble_2016
GGA2,1,Bramble_2016
GGCX,1,Bramble_2016
GGH,1,Bramble_2016
GHITM,1,Bramble_2016
GIMAP6,1,Li_2024
GINS3,1,Bramble_2016
GJA1,1,Bramble_2016
GK5,1,Li_2024
GKAP1,1,Bramble_2016
GLB1L2,1,Li_2024
GLCE,1,Bramble_2016
GLI2,1,Bramble_2016
GLIPR2,1,Bramble_2016
GLRX,1,Bramble_2016
GLTP,1,Bramble_2016
GM2A,1,Bramble_2016
GMCL1,1,Bramble_2016
GMDS,1,Bramble_2016
GMNN,1,Bramble_2016
GNA14,1,Bramble_2016
GNAI2,1,Bramble_2016
GNAL,1,Li_2024
GNG13,1,Li_2024
GNPNAT1,1,Bramble_2016
GNPTG,1,Bramble_2016
GOLGA7B,1,Bramble_2016
GOLM1,1,Li_2024
GPATCH4,1,Bramble_2016
GPBP1L1,1,Bramble_2016
GPC4,1,Bramble_2016
GPC6,1,Bramble_2016
GPD1,1,Bramble_2016
GPR137,1,Bramble_2016
GPR137B,1,Bramble_2016
GPR15,1,Bramble_2016
GPR162,1,Bramble_2016
GPR17,1,Bramble_2016
GPR183,1,Li_2024
GPR34,1,Li_2024
GPR37L1,1,Bramble_2016
GPR45,1,Matassa_2025
GPR83,1,Matassa_2025
GPR85,1,Bramble_2016
GPRASP2,1,Li_2024
GPRASP3,1,Bramble_2016
GPS2,1,Bramble_2016
GPT2,1,Bramble_2016
GPX1,1,Bramble_2016
GPX3,1,Bramble_2016
GPX4,1,Bramble_2016
GPX7,1,Bramble_2016
GRAMD1C,1,Li_2024
GRB10,1,Bramble_2016
GRB14,1,Bramble_2016
GRB2,1,Bramble_2016
GRHL2,1,Bramble_2016
GRHPR,1,Bramble_2016
GRIA1,1,Bramble_2016
GRIA2,1,Li_2024
GRIA3,1,Bramble_2016
GRIA4,1,Bramble_2016
GRIK5,1,Bramble_2016
GRIN1,1,Bramble_2016
GRIN2C,1,Bramble_2016
GRM3,1,Bramble_2016
GRP,1,Matassa_2025
GRWD1,1,Bramble_2016
GSG1L,1,Bramble_2016
GSK3A,1,Bramble_2016
GSN,1,Li_2024
GSTCD,1,Bramble_2016
GSTM1,1,Bramble_2016
GSTM2,1,Bramble_2016
GSTP1,1,Bramble_2016
GSX1,1,Bramble_2016
GTF2H1,1,Bramble_2016
GTF2IRD1,1,Bramble_2016
GTF3C2,1,Bramble_2016
GTF3C3,1,Bramble_2016
GTF3C5,1,Bramble_2016
GTPBP1,1,Bramble_2016
GTPBP2,1,Bramble_2016
GTSE1,1,Bramble_2016
GUCY1A2,1,Bramble_2016
GULP1,1,Bramble_2016
GXYLT1,1,Bramble_2016
H1-0,1,Bramble_2016
H3-3A,1,Bramble_2016
H3C6,1,Matassa_2025
HAPLN4,1,Bramble_2016
HARBI1,1,Bramble_2016
HAX1,1,Bramble_2016
HBP1,1,Bramble_2016
HDAC1,1,Bramble_2016
HDAC4,1,Bramble_2016
HDAC9,1,Bramble_2016
HDLBP,1,Bramble_2016
HEATR5B,1,Bramble_2016
HECA,1,Bramble_2016
HECTD2,1,Bramble_2016
HEG1,1,Bramble_2016
HELQ,1,Bramble_2016
HEPACAM,1,Bramble_2016
HEPH,1,Bramble_2016
HERC1,1,Bramble_2016
HERPUD1,1,Bramble_2016
HERPUD2,1,Bramble_2016
HES1,1,Bramble_2016
HES5,1,Bramble_2016
HEXA,1,Bramble_2016
HEXB,1,Li_2024
HEY1,1,Bramble_2016
HHIP,1,Bramble_2016
HIBADH,1,Bramble_2016
HIF1AN,1,Bramble_2016
HIGD1A,1,Li_2024
HIPK3,1,Bramble_2016
HIRA,1,Bramble_2016
HIRIP3,1,Bramble_2016
HLA-DMA,1,Li_2024
HLA-DMB,1,Li_2024
HLA-DOA,1,Li_2024
HLA-DOB,1,Li_2024
HLA-DQB2,1,Li_2024
HLTF,1,Bramble_2016
HLX,1,Bramble_2016
HMBOX1,1,Bramble_2016
HMGB1,1,Bramble_2016
HMGN3,1,Li_2024
HMGN5,1,Bramble_2016
HMOX1,1,Bramble_2016
HNRNPA0,1,Bramble_2016
HNRNPA1,1,Bramble_2016
HNRNPA2B1,1,Bramble_2016
HNRNPAB,1,Bramble_2016
HNRNPD,1,Bramble_2016
HNRNPF,1,Li_2024
HNRNPH1,1,Kelava_2021
HNRNPL,1,Bramble_2016
HNRNPM,1,Bramble_2016
HNRNPUL2,1,Bramble_2016
HOMER2,1,Bramble_2016
HOXC10,1,Matassa_2025
HOXC8,1,Matassa_2025
HPGD,1,Li_2024
HRK,1,Bramble_2016
HS3ST2,1,Bramble_2016
HS3ST3B1,1,Bramble_2016
HSD17B1,1,Bramble_2016
HSD17B10,1,Bramble_2016
HSD17B11,1,Bramble_2016
HSD17B12,1,Bramble_2016
HSD3B1,1,Bramble_2016
HSP90AB1,1,Li_2024
HSPA1A,1,Matassa_2025
HSPA4L,1,Li_2024
HSPA6,1,Matassa_2025
HSPA9,1,Bramble_2016
HSPB8,1,Matassa_2025
HSPBP1,1,Bramble_2016
HSPD1,1,Li_2024
HSPE1,1,Li_2024
HSPE1-MOB4,1,Matassa_2025
IAH1,1,Bramble_2016
ICOSLG,1,Li_2024
ID1,1,Bramble_2016
ID2,1,Bramble_2016
ID4,1,Bramble_2016
IDH3A,1,Bramble_2016
IDI1,1,Bramble_2016
IER2,1,Bramble_2016
IER3,1,Li_2024
IER5,1,Li_2024
IFFO1,1,Bramble_2016
IFIT1B,1,Li_2024
IFRD1,1,Bramble_2016
IFT43,1,Li_2024
IFT74,1,Li_2024
IGBP1,1,Bramble_2016
IGF1R,1,Bramble_2016
IGF2,1,Bramble_2016
IGFBP3,1,Bramble_2016
IGFBP4,1,Bramble_2016
IGFBP5,1,Bramble_2016
IGLON5,1,Bramble_2016
IGSF11,1,Bramble_2016
IGSF21,1,Bramble_2016
IGSF9B,1,Bramble_2016
IKZF2,1,Li_2024
IL13RA1,1,Bramble_2016
IL17RA,1,Bramble_2016
IL17RC,1,Bramble_2016
IL25,1,Bramble_2016
IL6R,1,Bramble_2016
IL7R,1,Li_2024
IMMP1L,1,Bramble_2016
IMPDH1,1,Li_2024
INCENP,1,Bramble_2016
INF2,1,Bramble_2016
ING1,1,Bramble_2016
INHA,1,Matassa_2025
INO80B,1,Bramble_2016
INPP4B,1,Bramble_2016
INPP5A,1,Bramble_2016
INSIG1,1,Bramble_2016
INSM1,1,Bramble_2016
INTS3,1,Bramble_2016
INTS5,1,Bramble_2016
INTS6,1,Bramble_2016
IP6K3,1,Bramble_2016
IPO13,1,Bramble_2016
IPP,1,Bramble_2016
IREB2,1,Bramble_2016
IRF2,1,Bramble_2016
IRF2BP1,1,Bramble_2016
IRF2BP2,1,Bramble_2016
IRGM,1,Bramble_2016
IRGQ,1,Bramble_2016
IRS1,1,Bramble_2016
IRS2,1,Bramble_2016
IRX3,1,Bramble_2016
ISG15,1,Bramble_2016
ISOC1,1,Bramble_2016
ISOC2,1,Bramble_2016
ITFG1,1,Li_2024
ITFG2,1,Bramble_2016
ITGA5,1,Bramble_2016
ITGA6,1,Bramble_2016
ITGA9,1,Bramble_2016
ITGAM,1,Li_2024
ITPKB,1,Bramble_2016
ITSN2,1,Bramble_2016
JAG1,1,Bramble_2016
JAKMIP1,1,Li_2024
JDP2,1,Bramble_2016
JPH4,1,Bramble_2016
JUN,1,Li_2024
JUNB,1,Bramble_2016
KAT2A,1,Bramble_2016
KATNA1,1,Bramble_2016
KCNAB3,1,Bramble_2016
KCNB1,1,Bramble_2016
KCNC3,1,Bramble_2016
KCND1,1,Bramble_2016
KCNG1,1,Bramble_2016
KCNH2,1,Bramble_2016
KCNH6,1,Bramble_2016
KCNIP1,1,Bramble_2016
KCNIP3,1,Bramble_2016
KCNJ10,1,Bramble_2016
KCNK1,1,Bramble_2016
KCNK10,1,Bramble_2016
KCNK2,1,Bramble_2016
KCNK3,1,Bramble_2016
KCNK5,1,Bramble_2016
KCNMA1,1,Bramble_2016
KCNMB2,1,Li_2024
KCNN3,1,Bramble_2016
KCNS3,1,Li_2024
KCNT2,1,Bramble_2016
KCTD17,1,Bramble_2016
KCTD2,1,Bramble_2016
KDELR1,1,Bramble_2016
KDM4A,1,Bramble_2016
KDM4C,1,Bramble_2016
KDM6B,1,Bramble_2016
KHDRBS1,1,Bramble_2016
KHSRP,1,Bramble_2016
KIAA0408,1,Bramble_2016
KIAA1671,1,Bramble_2016
KIDINS220,1,Bramble_2016
KIF15,1,Bramble_2016
KIF18A,1,Bramble_2016
KIF21A,1,Bramble_2016
KIF22,1,Bramble_2016
KIF3B,1,Bramble_2016
KIF5B,1,Bramble_2016
KIFC1,1,Bramble_2016
KIRREL2,1,Li_2024
KIRREL3,1,Bramble_2016
KLF11,1,Bramble_2016
KLF15,1,Bramble_2016
KLF16,1,Bramble_2016
KLF3,1,Bramble_2016
KLF4,1,Bramble_2016
KLF6,1,Bramble_2016
KLF8,1,Bramble_2016
KLHDC8A,1,Bramble_2016
KLHL11,1,Bramble_2016
KLHL18,1,Bramble_2016
KLHL21,1,Bramble_2016
KLHL28,1,Bramble_2016
KLHL5,1,Li_2024
KLHL9,1,Bramble_2016
KREMEN1,1,Bramble_2016
KRTCAP2,1,Bramble_2016
KTN1,1,Bramble_2016
LAIR1,1,Li_2024
LALBA,1,Bramble_2016
LAMA2,1,Bramble_2016
LANCL1,1,Bramble_2016
LAPTM5,1,Li_2024
LARP7,1,Bramble_2016
LAS1L,1,Bramble_2016
LATS1,1,Bramble_2016
LBH,1,Bramble_2016
LCP1,1,Li_2024
LDB2,1,Bramble_2016
LDHB,1,Bramble_2016
LDLR,1,Bramble_2016
LEPROTL1,1,Bramble_2016
LETM1,1,Bramble_2016
LGALS1,1,Bramble_2016
LGALS14,1,Bramble_2016
LGALS3BP,1,Bramble_2016
LGI2,1,Bramble_2016
LGMN,1,Bramble_2016
LHFPL2,1,Bramble_2016
LHFPL3,1,Bramble_2016
LHFPL4,1,Bramble_2016
LHX2,1,Li_2024
LIFR,1,Bramble_2016
LIG1,1,Bramble_2016
LIG4,1,Bramble_2016
LIMCH1,1,Bramble_2016
LIMD2,1,Li_2024
LIMK1,1,Bramble_2016
LIN54,1,Bramble_2016
LIN7C,1,Bramble_2016
LINC02210-CRHR1,1,Matassa_2025
LINGO1,1,Bramble_2016
LITAF,1,Bramble_2016
LIX1,1,Bramble_2016
LLGL1,1,Bramble_2016
LMAN2L,1,Bramble_2016
LMNB1,1,Bramble_2016
LMTK3,1,Bramble_2016
LONP1,1,Bramble_2016
LONRF1,1,Bramble_2016
LONRF2,1,Bramble_2016
LONRF3,1,Bramble_2016
LPAR2,1,Bramble_2016
LPAR4,1,Bramble_2016
LPL,1,Bramble_2016
LPO,1,Bramble_2016
LRCH1,1,Bramble_2016
LRCH2,1,Bramble_2016
LRFN1,1,Bramble_2016
LRFN3,1,Bramble_2016
LRGUK,1,Li_2024
LRIG1,1,Bramble_2016
LRIG2,1,Bramble_2016
LRIG3,1,Bramble_2016
LRP4,1,Bramble_2016
LRP8,1,Bramble_2016
LRPPRC,1,Bramble_2016
LRRC20,1,Bramble_2016
LRRC3B,1,Li_2024
LRRC42,1,Bramble_2016
LRRC46,1,Bramble_2016
LRRC58,1,Bramble_2016
LRRC61,1,Bramble_2016
LRRC7,1,Bramble_2016
LRRC8A,1,Bramble_2016
LRRC8D,1,Bramble_2016
LRRCC1,1,Bramble_2016
LRRFIP2,1,Bramble_2016
LRRIQ1,1,Li_2024
LRRN2,1,Bramble_2016
LSM14A,1,Bramble_2016
LTBP3,1,Bramble_2016
LTC4S,1,Li_2024
LUC7L2,1,Bramble_2016
LY6E,1,Bramble_2016
LY6S,1,Li_2024
LY86,1,Li_2024
LYPLA2,1,Bramble_2016
LYPLAL1,1,Bramble_2016
LYRM4,1,Bramble_2016
LYSMD3,1,Bramble_2016
MAF,1,Bramble_2016
MAF1,1,Bramble_2016
MAFB,1,Li_2024
MAGEE1,1,Bramble_2016
MAGOH,1,Bramble_2016
MAL,1,Li_2024
MAMDC2,1,Bramble_2016
MAML1,1,Bramble_2016
MAML2,1,Bramble_2016
MANBAL,1,Bramble_2016
MANEA,1,Li_2024
MANF,1,Li_2024
MANSC1,1,Bramble_2016
MAP1B,1,Li_2024
MAP2K3,1,Bramble_2016
MAP3K1,1,Bramble_2016
MAP4K1,1,Bramble_2016
MAP4K3,1,Bramble_2016
MAP4K5,1,Bramble_2016
MAPK3,1,Bramble_2016
MAPK8,1,Bramble_2016
MAPKAP1,1,Li_2024
MAPRE2,1,Bramble_2016
MAPRE3,1,Bramble_2016
MARCKS,1,Li_2024
MASP1,1,Bramble_2016
MAST2,1,Bramble_2016
MAST3,1,Bramble_2016
MAST4,1,Bramble_2016
MAT2A,1,Bramble_2016
MAZ,1,Bramble_2016
MBD3,1,Bramble_2016
MBD6,1,Bramble_2016
MBIP,1,Bramble_2016
MBNL1,1,Bramble_2016
MBNL2,1,Bramble_2016
MBOAT2,1,Bramble_2016
MBP,1,Li_2024
MCC,1,Bramble_2016
MCCC1,1,Bramble_2016
MCCC2,1,Bramble_2016
MCL1,1,Bramble_2016
MCM3,1,Bramble_2016
MCM3AP,1,Bramble_2016
MCM4,1,Bramble_2016
MCOLN1,1,Bramble_2016
MDFIC,1,Bramble_2016
MDH1,1,Bramble_2016
MDH2,1,Bramble_2016
ME1,1,Bramble_2016
MED12L,1,Bramble_2016
MED14,1,Bramble_2016
MED15,1,Bramble_2016
MED16,1,Bramble_2016
MED21,1,Li_2024
MEF2C,1,Li_2024
MEGF10,1,Bramble_2016
MEI4,1,Bramble_2016
MEIS1,1,Bramble_2016
MESP2,1,Bramble_2016
METTL17,1,Bramble_2016
METTL2B,1,Bramble_2016
METTL9,1,Bramble_2016
MFAP2,1,Bramble_2016
MFF,1,Bramble_2016
MFSD1,1,Li_2024
MGLL,1,Bramble_2016
MGST3,1,Bramble_2016
MIA,1,Li_2024
MICAL1,1,Bramble_2016
MICAL2,1,Bramble_2016
MICALL1,1,Bramble_2016
MICALL2,1,Bramble_2016
MID1,1,Li_2024
MIER3,1,Bramble_2016
MIPOL1,1,Bramble_2016
MITF,1,Bramble_2016
MKI67,1,Bramble_2016
MKNK1,1,Bramble_2016
MKNK2,1,Bramble_2016
MLC1,1,Bramble_2016
MLF1,1,Li_2024
MLKL,1,Bramble_2016
MLLT1,1,Bramble_2016
MLST8,1,Bramble_2016
MLXIP,1,Bramble_2016
MMD2,1,Bramble_2016
MMP11,1,Bramble_2016
MMP2,1,Bramble_2016
MMP28,1,Bramble_2016
MNAT1,1,Bramble_2016
MORC3,1,Bramble_2016
MORF4L1,1,Bramble_2016
MORN4,1,Bramble_2016
MOSPD3,1,Bramble_2016
MOXD1,1,Bramble_2016
MPEG1,1,Li_2024
MPHOSPH6,1,Bramble_2016
MPHOSPH8,1,Bramble_2016
MPZL1,1,Bramble_2016
MRGPRE,1,Bramble_2016
MRPL1,1,Bramble_2016
MRPL12,1,Bramble_2016
MRPL23,1,Bramble_2016
MRPL32,1,Bramble_2016
MRPL36,1,Bramble_2016
MRPL37,1,Bramble_2016
MRPL54,1,Bramble_2016
MRPS14,1,Bramble_2016
MRPS15,1,Bramble_2016
MRPS18A,1,Bramble_2016
MRPS18C,1,Bramble_2016
MRPS27,1,Bramble_2016
MRPS30,1,Bramble_2016
MRPS6,1,Bramble_2016
MRPS9,1,Bramble_2016
MSI1,1,Bramble_2016
MSLNL,1,Li_2024
MT-ATP6,1,Li_2024
MT-CO2,1,Bramble_2016
MT-ND1,1,Bramble_2016
MT-ND4,1,Bramble_2016
MT-ND4L,1,Li_2024
MT-ND5,1,Bramble_2016
MT-ND6,1,Bramble_2016
MT3,1,Bramble_2016
MTBP,1,Bramble_2016
MTDH,1,Bramble_2016
MTFR1,1,Bramble_2016
MTHFD1,1,Bramble_2016
MTHFD1L,1,Bramble_2016
MTHFD2,1,Bramble_2016
MTHFD2L,1,Bramble_2016
MTHFR,1,Bramble_2016
MTM1,1,Bramble_2016
MTMR9,1,Bramble_2016
MTRF1,1,Bramble_2016
MTSS1,1,Bramble_2016
MUS81,1,Bramble_2016
MVK,1,Bramble_2016
MYADM,1,Bramble_2016
MYB,1,Li_2024
MYBL2,1,Bramble_2016
MYCN,1,Bramble_2016
MYH14,1,Bramble_2016
MYH8,1,Bramble_2016
MYL4,1,Li_2024
MYL6,1,Bramble_2016
MYL6B,1,Bramble_2016
MYLIP,1,Li_2024
MYO6,1,Li_2024
MYPOP,1,Bramble_2016
MYSM1,1,Bramble_2016
MZF1,1,Bramble_2016
MZT1,1,Bramble_2016
N4BP2L1,1,Bramble_2016
NAA15,1,Bramble_2016
NAA35,1,Bramble_2016
NAA40,1,Bramble_2016
NAA50,1,Bramble_2016
NACA,1,Bramble_2016
NAF1,1,Bramble_2016
NALCN,1,Bramble_2016
NAP1L1,1,Bramble_2016
NAPG,1,Bramble_2016
NASP,1,Bramble_2016
NAT14,1,Li_2024
NAV1,1,Bramble_2016
NAV2,1,Bramble_2016
NBEAL1,1,Bramble_2016
NCAM2,1,Bramble_2016
NCBP2,1,Bramble_2016
NCKAP5L,1,Bramble_2016
NCL,1,Bramble_2016
NCOA2,1,Bramble_2016
NCOA6,1,Bramble_2016
NCOR2,1,Bramble_2016
NDC80,1,Bramble_2016
NDEL1,1,Bramble_2016
NDRG1,1,Bramble_2016
NDRG2,1,Bramble_2016
NDUFA12,1,Bramble_2016
NDUFA5,1,Bramble_2016
NDUFA7,1,Bramble_2016
NDUFAB1,1,Bramble_2016
NDUFB4,1,Bramble_2016
NDUFB8,1,Bramble_2016
NDUFB9,1,Bramble_2016
NDUFV2,1,Bramble_2016
NECAB2,1,Bramble_2016
NECAP2,1,Bramble_2016
NEDD4L,1,Bramble_2016
NEDD9,1,Bramble_2016
NEK9,1,Bramble_2016
NELL2,1,Bramble_2016
NENF,1,Bramble_2016
NETO1,1,Bramble_2016
NETO2,1,Li_2024
NEURL1,1,Bramble_2016
NEURL1B,1,Bramble_2016
NEXN,1,Bramble_2016
NFASC,1,Bramble_2016
NFATC1,1,Bramble_2016
NFATC2,1,Bramble_2016
NFATC2IP,1,Bramble_2016
NFE2L2,1,Li_2024
NFE2L3,1,Bramble_2016
NFIB,1,Bramble_2016
NFIC,1,Bramble_2016
NFIL3,1,Bramble_2016
NFIX,1,Bramble_2016
NFU1,1,Bramble_2016
NFYA,1,Bramble_2016
NGDN,1,Bramble_2016
NGEF,1,Bramble_2016
NHLRC1,1,Bramble_2016
NHS,1,Bramble_2016
NINJ1,1,Bramble_2016
NKAIN1,1,Bramble_2016
NKAIN3,1,Bramble_2016
NKD1,1,Bramble_2016
NKTR,1,Bramble_2016
NKX1-2,1,Matassa_2025
NLGN1,1,Bramble_2016
NLGN2,1,Bramble_2016
NMD3,1,Bramble_2016
NOA1,1,Bramble_2016
NOL10,1,Bramble_2016
NOLC1,1,Bramble_2016
NOMO2,1,Bramble_2016
NONO,1,Bramble_2016
NOP14,1,Bramble_2016
NOTCH2,1,Bramble_2016
NOTCH3,1,Bramble_2016
NOVA2,1,Bramble_2016
NPAS3,1,Bramble_2016
NPEPPS,1,Bramble_2016
NPL,1,Bramble_2016
NPTX1,1,Bramble_2016
NPTX2,1,Li_2024
NQO1,1,Li_2024
NR2E1,1,Bramble_2016
NR2F2,1,Bramble_2016
NR6A1,1,Bramble_2016
NRARP,1,Bramble_2016
NRBP2,1,Bramble_2016
NRF1,1,Bramble_2016
NRGN,1,Bramble_2016
NRIP1,1,Bramble_2016
NRN1L,1,Li_2024
NRXN2,1,Bramble_2016
NRXN3,1,Bramble_2016
NSA2,1,Bramble_2016
NSDHL,1,Bramble_2016
NSG1,1,Li_2024
NSG2,1,Bramble_2016
NT5DC3,1,Bramble_2016
NTRK3,1,Bramble_2016
NUDCD3,1,Bramble_2016
NUDT18,1,Bramble_2016
NUDT4,1,Bramble_2016
NUFIP2,1,Bramble_2016
NUP107,1,Bramble_2016
NUP93,1,Bramble_2016
NUP98,1,Bramble_2016
NUPR1,1,Bramble_2016
NXNL2,1,Li_2024
NXT1,1,Bramble_2016
NXT2,1,Bramble_2016
OAZ1,1,Bramble_2016
OAZ3,1,Bramble_2016
OGDH,1,Bramble_2016
OGDHL,1,Bramble_2016
OLFM2,1,Bramble_2016
OLFML2A,1,Bramble_2016
OLFML3,1,Bramble_2016
OLIG1,1,Bramble_2016
OMP,1,Li_2024
OPA3,1,Bramble_2016
OPTN,1,Bramble_2016
ORC1,1,Bramble_2016
ORC3,1,Bramble_2016
ORMDL3,1,Li_2024
OS9,1,Bramble_2016
OSBPL10,1,Bramble_2016
OSBPL2,1,Bramble_2016
OSBPL8,1,Bramble_2016
OSCP1,1,Li_2024
OSTM1,1,Bramble_2016
OTUB2,1,Bramble_2016
OTX1,1,Bramble_2016
OTX2,1,Bramble_2016
P2RY12,1,Li_2024
P2RY13,1,Li_2024
P4HA1,1,Bramble_2016
PABPC5,1,Bramble_2016
PABPN1,1,Bramble_2016
PACRG,1,Bramble_2016
PACS1,1,Bramble_2016
PAFAH1B2,1,Bramble_2016
PAFAH1B3,1,Li_2024
PAK4,1,Bramble_2016
PAK6,1,Bramble_2016
PALLD,1,Bramble_2016
PAPOLA,1,Bramble_2016
PAPOLG,1,Bramble_2016
PAPSS2,1,Bramble_2016
PAQR7,1,Bramble_2016
PARD3B,1,Bramble_2016
PARP2,1,Bramble_2016
PARP4,1,Bramble_2016
PATL1,1,Bramble_2016
PAWR,1,Bramble_2016
PAX6,1,Bramble_2016
PAXIP1,1,Bramble_2016
PBLD,1,Bramble_2016
PBX1,1,Bramble_2016
PBX4,1,Bramble_2016
PBXIP1,1,Bramble_2016
PCBP1,1,Bramble_2016
PCBP2,1,Bramble_2016
PCDH11Y,1,Bramble_2016
PCDH19,1,Bramble_2016
PCDH20,1,Bramble_2016
PCDH7,1,Bramble_2016
PCDH9,1,Bramble_2016
PCDHA5,1,Bramble_2016
PCDHB12,1,Bramble_2016
PCDHB13,1,Bramble_2016
PCDHB5,1,Bramble_2016
PCGF3,1,Bramble_2016
PCK2,1,Bramble_2016
PCOLCE2,1,Li_2024
PCSK2,1,Li_2024
PCSK4,1,Bramble_2016
PCSK5,1,Li_2024
PCSK9,1,Bramble_2016
PCYOX1L,1,Bramble_2016
PCYT2,1,Bramble_2016
PDCD2,1,Bramble_2016
PDCD2L,1,Bramble_2016
PDCD5,1,Bramble_2016
PDE4A,1,Bramble_2016
PDE4DIP,1,Bramble_2016
PDE5A,1,Bramble_2016
PDE6G,1,Bramble_2016
PDE7A,1,Bramble_2016
PDHX,1,Bramble_2016
PDIA3,1,Bramble_2016
PDIA5,1,Bramble_2016
PDIK1L,1,Bramble_2016
PDK1,1,Bramble_2016
PDK2,1,Bramble_2016
PDK4,1,Bramble_2016
PDLIM2,1,Bramble_2016
PDP1,1,Bramble_2016
PDP2,1,Bramble_2016
PDPK1,1,Bramble_2016
PDRG1,1,Bramble_2016
PDS5A,1,Bramble_2016
PDS5B,1,Bramble_2016
PDXK,1,Bramble_2016
PDZD8,1,Bramble_2016
PDZRN3,1,Bramble_2016
PDZRN4,1,Bramble_2016
PEG3,1,Bramble_2016
PELO,1,Bramble_2016
PELP1,1,Bramble_2016
PERP,1,Bramble_2016
PEX14,1,Bramble_2016
PEX16,1,Bramble_2016
PEX5L,1,Bramble_2016
PFDN2,1,Bramble_2016
PFDN5,1,Bramble_2016
PFKL,1,Bramble_2016
PFKM,1,Bramble_2016
PFN2,1,Bramble_2016
PGAM1,1,Bramble_2016
PGAM2,1,Bramble_2016
PGD,1,Bramble_2016
PGM5,1,Bramble_2016
PGP,1,Bramble_2016
PGS1,1,Bramble_2016
PHACTR2,1,Bramble_2016
PHACTR4,1,Bramble_2016
PHEX,1,Bramble_2016
PHF10,1,Bramble_2016
PHF13,1,Bramble_2016
PHF2,1,Bramble_2016
PHF21A,1,Bramble_2016
PHF3,1,Bramble_2016
PHGDH,1,Bramble_2016
PHIP,1,Bramble_2016
PHKG2,1,Bramble_2016
PHLDA1,1,Bramble_2016
PHLDA3,1,Bramble_2016
PHLPP2,1,Bramble_2016
PHOSPHO2,1,Bramble_2016
PHRF1,1,Bramble_2016
PHYHIPL,1,Bramble_2016
PI4K2A,1,Bramble_2016
PIGN,1,Bramble_2016
PIGS,1,Bramble_2016
PIGT,1,Bramble_2016
PIGX,1,Bramble_2016
PIK3C2A,1,Bramble_2016
PIK3IP1,1,Matassa_2025
PIK3R3,1,Bramble_2016
PIKFYVE,1,Bramble_2016
PIM1,1,Bramble_2016
PIM2,1,Bramble_2016
PIP4K2B,1,Bramble_2016
PIR,1,Bramble_2016
PITPNB,1,Bramble_2016
PITPNM2,1,Bramble_2016
PKM,1,Li_2024
