Name,Mean_log2_abundance,Compound.ID,Super.Class,Class
Pe O-17:0_18:1,24.04738874841879,C8-Pos-000135,Lipids and lipid-like molecules,Glycerophospholipids
Dl-4-Hydroxyphenyllactic Acid,24.03276373098066,Amide-Neg-000415,Organic compounds,Phenylpropanoids and polyketides
"15-Deoxy-Δ12,14-Prostaglandin A1",24.016782973128883,C8-Pos-000645,Lipids and lipid-like molecules,Fatty Acyls
Ethyl Palmitoleate,23.985277541185145,C8-Pos-000290,Lipids and lipid-like molecules,Fatty Acyls
Malonic Acid,23.983111990261683,Amide-Neg-000303,Organic acids and derivatives,Carboxylic acids and derivatives
Cytosine,23.971653469414495,Amide-Pos-000137,Organoheterocyclic compounds,Diazines
Ps 16:4_26:4,23.970167813303746,C8-Pos-000203,Lipids and lipid-like molecules,Glycerophospholipids
"7,9-Di-Tert-Butyl-1-Oxaspiro[4.5]Deca-6,9-Diene-2,8-Dione",23.94603803860196,C8-Pos-000323,Organic compounds,Organoheterocyclic compounds
Pinolenic Acid,23.93662464577287,C8-Neg-000114,Lipids and lipid-like molecules,Fatty Acyls
Asp-Asp,23.935091369724677,Amide-Neg-000615,Organic acids and derivatives,Carboxylic acids and derivatives
Lpi 20:4,23.934094427581122,C8-Neg-000130,Lipids and lipid-like molecules,Glycerophospholipids
Cyclohexylamine,23.913970848971175,Amide-Pos-000120,Organic nitrogen compounds,Organonitrogen compounds
Pentadecanoic Acid,23.894483277727556,C8-Neg-000065,Lipids and lipid-like molecules,Fatty Acyls
Phosphatidylserine 18:1-22:6,23.876518042706838,C8-Neg-000030,Lipids and lipid-like molecules,Glycerophospholipids
"5-[(1s,2r,4ar)-5-(Hydroxymethyl)-1,2,4a-Trimethyl-1,2,3,4,4a,7,8,8a-Octahydro-1-Naphthalenyl]-3-Methylpentanoic Acid",23.86220417223871,C8-Neg-000099,Lipids and lipid-like molecules,Prenol lipids
N-Acetylglycine,23.859926028087717,Amide-Neg-000212,Organic acids and derivatives,Carboxylic acids and derivatives
2-Arachidonoyl Glycerol,23.85157862412155,C8-Pos-000093,Lipids and lipid-like molecules,Endocannabinoids
Spectral Match To Oleoyl L-Carnitine From Nist14,23.849321602031477,C18-Pos-000280,Lipids and lipid-like molecules,Fatty Acyls
"Ncgc00347859-02!2,3-Dihydroxypropyl 13-Methyltetradecanoate",23.840581961613104,C8-Pos-000151,Lipids and lipid-like molecules,Glycerolipids
1-Stearoyl-2-Arachidonyl-Sn-Glycero-3-Phosphocholine,23.84014865957253,C8-Pos-000019,Lipids and lipid-like molecules,Glycerophospholipids
L-Tyrosine,23.838496162324013,Amide-Neg-000325,Organic acids and derivatives,Carboxylic acids and derivatives
Sm 8:1;2o/24:1,23.799816815038437,C8-Pos-000503,Organic nitrogen compounds,Organonitrogen compounds
Calcitriol,23.770182820096316,C8-Neg-000216,Lipids and lipid-like molecules,Steroids and steroid derivatives
1-Methyladenine,23.76365213508454,Amide-Pos-000562,Organoheterocyclic compounds,Imidazopyrimidines
Cytidine-5'-Monophospho-N-Acetylneuraminic Acid,23.762234361252816,Amide-Neg-000618,Organic compounds,"Nucleosides, nucleotides, and analogues"
Lpc 22:5-Sn1,23.760340644275306,C8-Pos-000318,Lipids and lipid-like molecules,Glycerophospholipids
(+/-)8-Hepe,23.716488553634164,C8-Pos-000489,Lipids and lipid-like molecules,Fatty Acyls
Pe O-28:2_7:0,23.710560238755953,C8-Pos-000134,Lipids and lipid-like molecules,Glycerophospholipids
Bis(2-Ethylhexyl) Sebacate,23.710125669219195,C8-Pos-000030,Lipids and lipid-like molecules,Fatty Acyls
Benzoic Acid,23.699724353122875,Amide-Pos-000547,Benzenoids,Benzene and substituted derivatives
N-Methylglutamic Acid,23.69868412465147,Amide-Neg-000401,Organic acids and derivatives,Carboxylic acids and derivatives
"Spectral Match To 1,2-Dilinoleoyl-Sn-Glycero-3-Phosphocholine From Nist14",23.688856200588106,C8-Pos-000266,Lipids and lipid-like molecules,Glycerophospholipids
Pe 22:5_22:5,23.683954491495875,C8-Pos-000328,Lipids and lipid-like molecules,Glycerophospholipids
Pe 12:0_20:1,23.67938598047928,C8-Pos-000337,Lipids and lipid-like molecules,Glycerophospholipids
"3,5-Di-Tert-Butyl-4-Hydroxybenzaldehyde",23.674598997891458,C18-Pos-000251,Organic oxygen compounds,Organooxygen compounds
Pc 12:0_28:7,23.637321573713933,C8-Pos-000043,Lipids and lipid-like molecules,Glycerophospholipids
Melamine,23.63062131545567,Amide-Pos-000234,Organoheterocyclic compounds,Triazines
Triethanolamine,23.602015949073998,Amide-Pos-000076,Organic nitrogen compounds,Organonitrogen compounds
Pg 34:2,23.592883716918774,C8-Neg-000138,Lipids and lipid-like molecules,Glycerophospholipids
Tiglate,23.570211371995658,Amide-Neg-000365,Lipids and lipid-like molecules,Fatty Acyls
Phosphatidylethanolamine 16:0-22:4,23.562124480105965,C8-Neg-000104,Lipids and lipid-like molecules,Glycerophospholipids
Ps 20:1_22:6,23.54846957541026,C8-Neg-000078,Lipids and lipid-like molecules,Glycerophospholipids
Xylitol,23.544144453472104,Amide-Neg-000260,Organic oxygen compounds,Organooxygen compounds
Peg N5,23.533628308249668,C18-Pos-000162,Organic oxygen compounds,Organooxygen compounds
Pc 15:1_15:1,23.411616191611582,C8-Pos-000041,Lipids and lipid-like molecules,Glycerophospholipids
Pe 16:1_22:6,23.376401120994554,C8-Pos-000192,Lipids and lipid-like molecules,Glycerophospholipids
Inosine,23.363544607180252,Amide-Pos-000056,"Nucleosides, nucleotides, and analogues",Purine nucleosides
Pe 18:0_22:3,23.350897894302847,C8-Neg-000108,Lipids and lipid-like molecules,Glycerophospholipids
"Dodecanamide,N-[3-(Dimethyloxidoamino)Propyl]",23.30698202218677,C8-Pos-000388,Lipids and lipid-like molecules,Fatty Acyls
Kynurenic Acid,23.295706618489877,Amide-Pos-000403,Organoheterocyclic compounds,Quinolines and derivatives
Phosphatidylethanolamine 16:1-20:4,23.29421748880491,C8-Neg-000163,Lipids and lipid-like molecules,Glycerophospholipids
N-[3-(Dimethylamino)Propyl]Dodecanamide,23.281399613196722,C8-Pos-000400,Lipids and lipid-like molecules,Fatty Acyls
L(+)-Ornithine,23.26834364521206,Amide-Pos-000324,Organic acids and derivatives,Carboxylic acids and derivatives
1-O-Octadecyl-Sn-Glyceryl-3-Phosphorylcholine,23.24194452511208,C8-Pos-000614,Lipids and lipid-like molecules,Glycerophospholipids
