Name,Mean_log2_abundance,Compound.ID,Super.Class,Class
Dodecyltrimethylammonium,19.80471515537924,C18-Pos-000157,Organic nitrogen compounds,Organonitrogen compounds
Pc(15:0_16:0),19.791272179796394,C8-Pos-000277,Lipids and lipid-like molecules,Glycerophospholipids
1-Aminocyclopropanecarboxylate,19.77748043851081,Amide-Pos-000132,Organic acids and derivatives,Carboxylic acids and derivatives
2-Hydroxycaproic Acid,19.765833099312637,C18-Neg-000102,Lipids and lipid-like molecules,Fatty Acyls
1-Stearoyl-2-Arachidonoyl-Sn-Glycero-3-Phospho-(1'-Myo-Inositol),19.73627623950363,C8-Neg-000009,Organic compounds,Lipids and lipid-like molecules
Monocaprin,19.70424906034697,C8-Pos-000613,Lipids and lipid-like molecules,Glycerolipids
Docosatrienoic Acid,19.695644211568634,C8-Neg-000018,Lipids and lipid-like molecules,Fatty Acyls
2-Amino-4-Methylpyrimidine,19.67738829705444,Amide-Pos-000241,Organoheterocyclic compounds,Diazines
Ethyl Oleate,19.666553475750302,C8-Pos-000358,Lipids and lipid-like molecules,Fatty Acyls
16-Deoxyvertaline B,19.66457163025855,C8-Pos-000466,Organic compounds,Lipids and lipid-like molecules
"N3,N4-Dimethyl-L-Arginine",19.66396426825332,Amide-Pos-000192,Organic acids and derivatives,Carboxylic acids and derivatives
Pc 13:0_24:5,19.662089446331382,C8-Pos-000345,Lipids and lipid-like molecules,Glycerophospholipids
"N6,N6-Dimethyllysine",19.654224870630788,Amide-Pos-000367,Organic compounds,Organic acids and derivatives
"1,2-Ethanediol, 1-[(2s,4ar,4bs,7s,8as)-2,3,4,4a,4b,5,6,7,8,8a,9,10-Dodecahydro-7-Hydroxy-2,4b,8,8-Tetramethyl-2-Phenanthrenyl]-",19.644018273785328,C8-Pos-000440,Lipids and lipid-like molecules,Prenol lipids
Hypotaurine,19.58913981941411,Amide-Pos-000158,Organic acids and derivatives,Sulfinic acids and derivatives
1-Palmitoyl-2-Oleoyl-Phosphatidylglycerol,19.57538073041547,C8-Pos-000161,Lipids and lipid-like molecules,Glycerophospholipids
"3,3',5,5'-Tetra-Tert-Butylbiphenyl-2,2'-Diol",19.569658875107855,C8-Neg-000147,Benzenoids,Benzene and substituted derivatives
"2-[(2s,4ar,8as)-2-Hydroxy-4a-Methyl-8-Methylidene-3,4,5,6,7,8a-Hexahydro-1h-Naphthalen-2-Yl]Prop-2-Enoic Acid",19.553733477925498,C8-Neg-000204,Lipids and lipid-like molecules,Prenol lipids
2-(Tetradecylamino)Ethanol,19.5472603584299,C18-Pos-000229,Organic nitrogen compounds,Organonitrogen compounds
Pe O-28:4_13:1,19.541724389038983,C8-Pos-000118,Lipids and lipid-like molecules,Glycerophospholipids
Uridine,19.531687211266558,Amide-Pos-000394,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides
Pe(O-22:6_16:1),19.526728126268203,C8-Neg-000035,Lipids and lipid-like molecules,Glycerophospholipids
Lupeol,19.523130834031775,C8-Pos-000269,Lipids and lipid-like molecules,Prenol lipids
Tridecanoic Acid,19.518240919318682,C8-Pos-000635,Lipids and lipid-like molecules,Fatty Acyls
Lpe 20:1,19.51299488863592,C8-Pos-000550,Lipids and lipid-like molecules,Glycerophospholipids
2-Oleoyl-1-Palmitoyl-Sn-Glycero-3-Phosphoserine,19.496931633365964,Amide-Pos-000421,Lipids and lipid-like molecules,Glycerophospholipids
Lpc 20:4-Sn2,19.492566379695955,C8-Pos-000128,Lipids and lipid-like molecules,Glycerophospholipids
Bis(2-Ethylhexyl)Adipate,19.49162545818298,C8-Pos-000036,Lipids and lipid-like molecules,Fatty Acyls
Spectral Match To 1-Myristoyl-Sn-Glycero-3-Phosphocholine From Nist14,19.484330688824816,Amide-Pos-000483,Lipids and lipid-like molecules,Glycerophospholipids
Pc O-40:5,19.479408777397865,C8-Pos-000207,Lipids and lipid-like molecules,Glycerophospholipids
Cmpf,19.4681350442757,C18-Neg-000214,Lipids and lipid-like molecules,Fatty Acyls
Glyoxylic Acid,19.457890427353213,Amide-Neg-000574,Organic acids and derivatives,Carboxylic acids and derivatives
Np-022805,19.453867047426264,C8-Pos-000398,Lipids and lipid-like molecules,Prenol lipids
(R)-Butyrylcarnitine,19.439858594867882,C18-Pos-000134,Lipids and lipid-like molecules,Fatty Acyls
Solanidine,19.437511545744684,C8-Pos-000378,Lipids and lipid-like molecules,Steroids and steroid derivatives
18-Hete,19.434977751425293,C8-Pos-000587,Lipids and lipid-like molecules,Fatty Acyls
Uracil,19.41467152361324,Amide-Pos-000277,Organoheterocyclic compounds,Diazines
Lpc 16:2-Sn1,19.411598354415464,C8-Pos-000310,Lipids and lipid-like molecules,Glycerophospholipids
Crotonic Acid,19.39835038892613,Amide-Pos-000166,Lipids and lipid-like molecules,Fatty Acyls
L-Glutamic Acid,19.386823751737797,Amide-Pos-000054,Organic acids and derivatives,Carboxylic acids and derivatives
Lpe 24:5,19.380428878941814,C8-Pos-000377,Lipids and lipid-like molecules,Glycerophospholipids
Glutathionesulfonic Acid,19.37854577376438,Amide-Pos-000524,Organic acids and derivatives,Carboxylic acids and derivatives
"(3ar,8r,8ar,9ar)-8-Hydroxy-8a-Methyl-3,5-Bis(Methylene)Decahydronaphtho[2,3-B]Furan-2(3h)-One",19.368259686480247,C8-Pos-000574,Lipids and lipid-like molecules,Prenol lipids
Pc O-30:0,19.364262988660585,C8-Pos-000486,Lipids and lipid-like molecules,Glycerophospholipids
Creatine,19.35313102914418,Amide-Pos-000025,Organic acids and derivatives,Carboxylic acids and derivatives
Pe O-16:0_22:4,19.352270904570712,C8-Neg-000152,Lipids and lipid-like molecules,Glycerophospholipids
(Z)-2-Oct-7-Enylpent-2-Enedioic Acid,19.351129459044962,C8-Neg-000148,Lipids and lipid-like molecules,Fatty Acyls
Pe 16:1_24:6,19.345975489762505,C8-Pos-000090,Lipids and lipid-like molecules,Glycerophospholipids
"Spectral Match To Cholesta-4,6-Dien-3-One From Nist14",19.341240817881687,C8-Pos-000321,Lipids and lipid-like molecules,Steroids and steroid derivatives
Pg 40:6,19.33336591042508,C8-Neg-000153,Lipids and lipid-like molecules,Glycerophospholipids
Lpe 22:5,19.33013752184277,C8-Pos-000139,Lipids and lipid-like molecules,Glycerophospholipids
6-Oxohexanoic Acid,19.326962319633473,Amide-Neg-000245,Lipids and lipid-like molecules,Fatty Acyls
"(Αs,1s,2r)-Α-Amino-2-Carboxycyclopropaneacetic Acid",19.31961277080041,Amide-Pos-000112,Organic acids and derivatives,Carboxylic acids and derivatives
1-Palmitoylglycerol,19.312721154186008,C8-Pos-000001,Lipids and lipid-like molecules,Glycerolipids
Sm 8:1;2o/26:1,19.311164113988582,C8-Pos-000217,Organic nitrogen compounds,Organonitrogen compounds
Pc 20:3_22:6,19.310836499651607,C8-Pos-000369,Lipids and lipid-like molecules,Glycerophospholipids
Β-Hydroxypropionic Acid,19.30206750554346,Amide-Neg-000013,Organic acids and derivatives,Hydroxy acids and derivatives
Inosine-5'-Monophosphate (Imp),19.299249328844564,Amide-Pos-000198,"Nucleosides, nucleotides, and analogues",Purine nucleotides
"Spectral Match To 1,2-Di-(9z-Octadecenoyl)-Sn-Glycero-3-Phosphoethanolamine From Nist14",19.287783383780635,Amide-Pos-000417,Lipids and lipid-like molecules,Glycerophospholipids
Phosphocreatine,19.28716374684543,Amide-Neg-000608,Organic acids and derivatives,Carboxylic acids and derivatives
Peg N8,19.28644284762593,C18-Pos-000186,Organic oxygen compounds,Organooxygen compounds
Butylamine,19.281443647293013,Amide-Pos-000139,Organic nitrogen compounds,Organonitrogen compounds
Pi 20:4_20:4,19.27639461973915,C8-Neg-000074,Lipids and lipid-like molecules,Glycerophospholipids
"Trans-4'-Ethyl-(1,1'-Bicyclohexyl)-4-Carboxylic Acid",19.25838512076571,C8-Pos-000475,Organic acids and derivatives,Carboxylic acids and derivatives
Proline Betaine,19.253660474550728,Amide-Pos-000148,Organic acids and derivatives,Carboxylic acids and derivatives
Ascorbic Acid,19.22061264803301,Amide-Neg-000012,Organoheterocyclic compounds,Dihydrofurans
2-Hydroxypropyl Stearate,19.19307699761744,C8-Pos-000455,Lipids and lipid-like molecules,Fatty Acyls
3-Epilupeol,19.182704565778177,C8-Pos-000481,Lipids and lipid-like molecules,Prenol lipids
Monoerucin,19.1822342461768,C8-Pos-000231,Lipids and lipid-like molecules,Glycerolipids
Pe O-18:2_18:1,19.1750940110515,C8-Neg-000195,Lipids and lipid-like molecules,Glycerophospholipids
Lpc 22:4-Sn2,19.168488634094725,C8-Pos-000412,Lipids and lipid-like molecules,Glycerophospholipids
Pe O-28:3_13:1,19.146343067055668,C8-Pos-000255,Lipids and lipid-like molecules,Glycerophospholipids
"1,2-Dipentadecanoyl-Sn-Glycero-3-Phosphocholine",19.1229087150637,C8-Pos-000010,Lipids and lipid-like molecules,Glycerophospholipids
N-Acetyl-L-Glutamine,19.106658869497643,Amide-Neg-000605,Organic acids and derivatives,Carboxylic acids and derivatives
Pg 36:4,19.093893813973594,C8-Neg-000154,Lipids and lipid-like molecules,Glycerophospholipids
"N6,N6,N6-Trimethyl-L-Lysine",19.09349075937013,Amide-Pos-000259,Organic acids and derivatives,Carboxylic acids and derivatives
O-Octanoylcarnitine,19.08883298343359,C8-Pos-000665,Lipids and lipid-like molecules,Fatty Acyls
Diphenylphosphate,19.080083432123374,C8-Pos-000276,Organic acids and derivatives,Organic phosphoric acids and derivatives
Pe 17:2_17:2,19.065863541961612,C8-Pos-000348,Lipids and lipid-like molecules,Glycerophospholipids
Lpe 20:3,19.05095175130977,C8-Pos-000372,Lipids and lipid-like molecules,Glycerophospholipids
L-Serine,19.008633565251003,Amide-Neg-000157,Organic acids and derivatives,Carboxylic acids and derivatives
7α-Hydroxytestosterone,19.008624621847662,C8-Pos-000589,Lipids and lipid-like molecules,Steroids and steroid derivatives
(2r)-3-Hydroxyisovaleroylcarnitine,19.002396016685076,Amide-Pos-000436,Lipids and lipid-like molecules,Fatty Acyls
Phosphatidylinositol 18:0-22:6,18.999403046486993,C8-Neg-000141,Lipids and lipid-like molecules,Glycerophospholipids
Pc O-34:0,18.977493928243376,C8-Pos-000513,Lipids and lipid-like molecules,Glycerophospholipids
Dl-Α-Aminocaprylic Acid,18.970212688584358,C18-Pos-000279,Organic acids and derivatives,Carboxylic acids and derivatives
Phloroglucinol,18.96574047333079,C18-Pos-000099,Benzenoids,Phenols
D-(+)-Tryptophan,18.95679690116135,Amide-Neg-000507,Organoheterocyclic compounds,Indoles and derivatives
"1,2-Dilinoleoyl-Sn-Glycero-3-Phosphoethanolamine",18.954687272741737,C8-Pos-000110,Lipids and lipid-like molecules,Glycerophospholipids
Pc 18:5_24:6,18.940280116464017,C8-Pos-000559,Lipids and lipid-like molecules,Glycerophospholipids
Ethyldiethanolamine,18.938797151362024,Amide-Pos-000349,Organic nitrogen compounds,Organonitrogen compounds
"6h-2-Benzopyran-3-Carboxylic Acid, 7-Ethyl-7,8-Dihydro-8-Hydroxy-4,7-Dimethyl-6-Oxo-",18.918771135968555,C8-Pos-000687,Organoheterocyclic compounds,Azaphilones
"3-(3,5-Di-Tert-Butyl-4-Hydroxyphenyl)Propanoic Acid",18.900065388675078,C8-Neg-000038,Phenylpropanoids and polyketides,Phenylpropanoic acids
Glycolic Acid,18.89861160696026,Amide-Neg-000185,Organic acids and derivatives,Hydroxy acids and derivatives
Dl-Β-Leucine,18.870173434534017,Amide-Neg-000139,Organic acids and derivatives,Carboxylic acids and derivatives
Octyl Α-Ketoglutarate,18.863128375607932,C8-Pos-000341,Organic compounds,Organic acids and derivatives
"1-(4,6-Dimethylpyrimidin-2-Yl)Piperidine-4-Carboxylic Acid",18.861308507316235,C8-Pos-000705,Organoheterocyclic compounds,Piperidines
"(2r)-2,3-Dihydroxypropanoic Acid",18.861190423970864,Amide-Neg-000402,Organic oxygen compounds,Organooxygen compounds
"Spectral Match To 1-Heptadecanoyl-2-(5z,8z,11z,14z-Eicosatetraenoyl)-Sn-Glycero-3-Phosphocholine From Nist14",18.85984092396275,C8-Pos-000308,Lipids and lipid-like molecules,Glycerophospholipids
Itaconic Acid,18.82930744877882,Amide-Neg-000007,Lipids and lipid-like molecules,Fatty Acyls
2-Methylbenzoic Acid,18.828482265964045,Amide-Neg-000398,Benzenoids,Benzene and substituted derivatives
Adenosine Triphosphate (Atp),18.82339547360709,Amide-Pos-000156,"Nucleosides, nucleotides, and analogues",Purine nucleotides
Lpc 20:1-Sn1,18.780441460757892,C8-Pos-000333,Lipids and lipid-like molecules,Glycerophospholipids
"N,N-Bis(2-Hydroxyethyl)Dodecanamide",18.778025729705682,C18-Pos-000273,Lipids and lipid-like molecules,Fatty Acyls
Lpe 20:4,18.77438341627039,C8-Pos-000081,Lipids and lipid-like molecules,Glycerophospholipids
D-(+)-Proline,18.774033561336864,Amide-Pos-000065,Organic acids and derivatives,Carboxylic acids and derivatives
4033-40-3,18.7697942967963,Amide-Pos-000312,Organic acids and derivatives,Carboxylic acids and derivatives
"2,2,6,6-Tetramethyl-1-Piperidinol (Tempo)",18.769328413557282,C18-Pos-000085,Organoheterocyclic compounds,Piperidines
Corticosterone,18.766722083505726,C8-Pos-000625,Lipids and lipid-like molecules,Steroids and steroid derivatives
Isoamylamine,18.764871494489917,Amide-Pos-000149,Organic nitrogen compounds,Organonitrogen compounds
1-Palmitoyl-Sn-Glycero-3-Phosphocholine,18.759599771122872,C8-Pos-000009,Lipids and lipid-like molecules,Glycerophospholipids
"1,2-Di-(9z-Tetradecenoyl)-Sn-Glycero-3-Phosphocholine",18.750190099226234,C8-Pos-000598,Lipids and lipid-like molecules,Glycerophospholipids
2'-Deoxyadenosine,18.746903842605573,Amide-Pos-000194,"Nucleosides, nucleotides, and analogues",Purine nucleosides
"Methyl 2-Amino-3,3-Dimethylbutanoate",18.744792504798795,C18-Pos-000248,Organic acids and derivatives,Carboxylic acids and derivatives
"1,3-Di-O-Tolylguanidine",18.725233462096696,C8-Pos-000722,Benzenoids,Benzene and substituted derivatives
Pe 14:0_22:6,18.717450227183818,C8-Neg-000166,Lipids and lipid-like molecules,Glycerophospholipids
Cytidine 5'-Diphosphocholine,18.712760042458033,Amide-Pos-000238,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides
L-(+)-Lactic Acid,18.702310828140078,Amide-Neg-000001,Organic acids and derivatives,Hydroxy acids and derivatives
Quinoline,18.675832159812813,C18-Pos-000287,Organoheterocyclic compounds,Quinolines and derivatives
Cytidine 5'-Monophosphate (Hydrate),18.66967194325226,Amide-Pos-000413,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides
Phosphatidylethanolamine Alkenyl 18:1-20:4,18.663616147852885,C8-Neg-000061,Lipids and lipid-like molecules,Glycerophospholipids
Guanosine Monophosphate (Gmp),18.658756180887508,C18-Neg-000041,"Nucleosides, nucleotides, and analogues",Purine nucleotides
D-Arabinonic Acid,18.645156790265137,Amide-Neg-000170,Organic oxygen compounds,Organooxygen compounds
1-Linoleoyl Glycerol,18.62432114239359,C8-Pos-000160,Organic compounds,Lipids and lipid-like molecules
"1,2-Dioleoyl-Sn-Glycero-3-Phosphatidylcholine",18.598723671223745,C8-Pos-000014,Lipids and lipid-like molecules,Glycerophospholipids
"3-(5,6-Dihydroxyheptyl)-4-Methyl-2h-Furan-5-One",18.59584864385171,C8-Pos-000708,Organic compounds,Lipids and lipid-like molecules
D-Sedoheptulose 7-Phosphate,18.58497945888243,Amide-Neg-000588,Organic oxygen compounds,Organooxygen compounds
Docosapentaenoic Acid Methyl Ester,18.565861112417213,C8-Pos-000299,Lipids and lipid-like molecules,Fatty Acyls
Hexadecanamide,18.563478287135187,C18-Pos-000152,Lipids and lipid-like molecules,Fatty Acyls
4-Indolecarbaldehyde,18.560458747433383,C18-Pos-000267,Organoheterocyclic compounds,Indoles and derivatives
5-Methylcytidine,18.54343026138494,Amide-Pos-000460,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides
Caprolactam,18.536856254082462,Amide-Pos-000202,Organoheterocyclic compounds,Lactams
Pe 11:0_11:0,18.536388863184044,C8-Pos-000621,Lipids and lipid-like molecules,Glycerophospholipids
Cyclic Adenosine Diphosphate Ribose,18.5298276123212,Amide-Neg-000614,Organic oxygen compounds,Organooxygen compounds
L-Tyrosine Methyl Ester,18.51590220970065,C18-Pos-000300,Organic acids and derivatives,Carboxylic acids and derivatives
Uridine 5'-Diphosphate,18.51440024849676,Amide-Pos-000409,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides
Guanine,18.511748718858115,Amide-Pos-000116,Organic compounds,Organoheterocyclic compounds
Lpc 32:5-Sn1,18.47850342914999,C8-Pos-000473,Lipids and lipid-like molecules,Glycerophospholipids
"1-(3-Ethyl-2,4-Dihydroxy-6-Methoxyphenyl)-1-Butanone",18.466544121442414,C8-Pos-000580,Organic oxygen compounds,Organooxygen compounds
"N-[(3s)-2,5-Dioxooxolan-3-Yl]Acetamide",18.46449916665864,C18-Pos-000117,Organic acids and derivatives,Carboxylic acids and derivatives
Methyltestosterone,18.460823786081793,C8-Pos-000522,Lipids and lipid-like molecules,Steroids and steroid derivatives
L-Glutathione Oxidized,18.44382685106123,Amide-Pos-000237,Organic acids and derivatives,Carboxylic acids and derivatives
"2-[(2s,4ar,8as)-2-Hydroxy-4a-Methyl-8-Methylenedecahydro-2-Naphthalenyl]Acrylic Acid",18.416182558126458,C8-Neg-000201,Lipids and lipid-like molecules,Prenol lipids
"Spectral Match To 1-Hexadecanoyl-2-(5z,8z,11z,14z-Eicosatetraenoyl)-Sn-Glycero-3-Phosphoserine From Nist14",18.370674249184226,C8-Pos-000399,Lipids and lipid-like molecules,Glycerophospholipids
Dibutyl Hexanedioate,18.37016391257535,C8-Pos-000222,Lipids and lipid-like molecules,Fatty Acyls
"4-[(1e,3e)-Hepta-1,3-Dienyl]-3-(Hydroxymethyl)Cyclohexane-1,2-Diol",18.337120501836335,C8-Pos-000523,Organic oxygen compounds,Organooxygen compounds
Gamma-Glu-Glu,18.336856477426487,Amide-Pos-000399,Organic acids and derivatives,Carboxylic acids and derivatives
Trans-Cinnamic Acid,18.327935913569192,Amide-Neg-000603,Phenylpropanoids and polyketides,Cinnamic acids and derivatives
Cortisone,18.3114367358244,C8-Pos-000623,Lipids and lipid-like molecules,Steroids and steroid derivatives
Threonine,18.295448774012932,Amide-Neg-000067,Organic acids and derivatives,Carboxylic acids and derivatives
2'-Deoxyguanosine 5'-Monophosphate (Dgmp),18.27578801545229,Amide-Neg-000119,"Nucleosides, nucleotides, and analogues",Purine nucleotides
Uric Acid,18.259332738673876,Amide-Neg-000536,Organoheterocyclic compounds,Imidazopyrimidines
Spermidine,18.24812412456262,Amide-Pos-000195,Organic nitrogen compounds,Organonitrogen compounds
Dihomo-Γ-Linolenic Acid Ethyl Ester,18.247006039096437,C8-Pos-000629,Lipids and lipid-like molecules,Fatty Acyls
1-Stearoyl-2-Arachidonoyl-Sn-Glycero-3-Phospho-(1'-Sn-Glycerol),18.240193150040074,C8-Neg-000140,Lipids and lipid-like molecules,Glycerophospholipids
Panaxadiol,18.229019148551117,C8-Pos-000541,Lipids and lipid-like molecules,Prenol lipids
5-(6-Methyl-7-Oxooctyl)Furan-2(5h)-One,18.22600306264215,C18-Pos-000258,Organoheterocyclic compounds,Dihydrofurans
Muscone,18.222883710858373,C8-Pos-000063,Organic oxygen compounds,Organooxygen compounds
Myristoyl-L-Carnitine,18.220817816294723,C18-Pos-000286,Lipids and lipid-like molecules,Fatty Acyls
4-Oxoproline,18.20947850559439,Amide-Neg-000183,Organic acids and derivatives,Carboxylic acids and derivatives
Dl-Alanine,18.2007667744745,Amide-Pos-000133,Organic acids and derivatives,Carboxylic acids and derivatives
"Δ-Ribono-1,4-Lactone",18.192941993443576,Amide-Neg-000061,Organic oxygen compounds,Organooxygen compounds
Lpc 22:3-Sn1,18.182410100152072,C8-Pos-000575,Lipids and lipid-like molecules,Glycerophospholipids
Monoolein,18.152253576799662,C8-Pos-000034,Lipids and lipid-like molecules,Glycerolipids
L-N-Acetylhistidine,18.14615487275271,Amide-Pos-000114,Organic acids and derivatives,Carboxylic acids and derivatives
Prolinamide,18.143927367782844,Amide-Pos-000220,Organic acids and derivatives,Carboxylic acids and derivatives
Phosphatidylethanolamine Lyso 20:4,18.133791840608264,C8-Neg-000020,Lipids and lipid-like molecules,Glycerophospholipids
"2,4-Di-Tert-Butylphenyl 3,5-Di-Tert-Butyl-4-Hydroxybenzoate",18.12662084148406,C8-Pos-000224,Phenylpropanoids and polyketides,Depsides and depsidones
Friedelin,18.108908198361746,C8-Pos-000667,Lipids and lipid-like molecules,Prenol lipids
Phosphatidylethanolamine Lyso 18:2,18.094538792572813,C8-Neg-000199,Lipids and lipid-like molecules,Glycerophospholipids
O-Acetylserine,18.093403560537265,Amide-Neg-000304,Organic acids and derivatives,Carboxylic acids and derivatives
Pc 8:0_18:0,18.071218495479588,C8-Pos-000334,Lipids and lipid-like molecules,Glycerophospholipids
Pe 20:2_22:6,18.06647762331361,C8-Pos-000215,Lipids and lipid-like molecules,Glycerophospholipids
Erythritol,18.036895072544812,Amide-Neg-000519,Organic oxygen compounds,Organooxygen compounds
Spectral Match To 1-(9z-Octadecenoyl)-Sn-Glycero-3-Phosphoethanolamine From Nist14,18.036680265041905,C18-Pos-000278,Lipids and lipid-like molecules,Glycerophospholipids
Pe O-18:2_20:4,18.035330267338146,C8-Pos-000111,Lipids and lipid-like molecules,Glycerophospholipids
Bis(4-Ethylbenzylidene)Sorbitol,18.013052958844643,C18-Pos-000262,Organoheterocyclic compounds,Dioxanes
"Cholestan-3-One, (5α)-",18.01102711199437,C8-Pos-000611,Lipids and lipid-like molecules,Steroids and steroid derivatives
"Octadecyl 3-(3,5-Di-Tert-Butyl-4-Hydroxyphenyl)Propionate",18.00553860231714,C8-Pos-000067,Lipids and lipid-like molecules,Fatty Acyls
Α-Asp-Gly,18.004394984134283,Amide-Pos-000534,Organic acids and derivatives,Carboxylic acids and derivatives
"1,4-Anhydro-6-O-[(9z)-9-Octadecenoyl]-D-Glucitol",18.001181994862613,C8-Pos-000370,Lipids and lipid-like molecules,Fatty Acyls
"1-(1z-Octadecenyl)-2-(4z,7z,10z,13z,16z,19z-Docosahexaenoyl)-Sn-Glycero-3-Phosphocholine",18.000802737178986,C8-Pos-000191,Lipids and lipid-like molecules,Glycerophospholipids
Taurine,17.989416021542894,Amide-Pos-000028,Organic acids and derivatives,Organic sulfonic acids and derivatives
Palmitoyl Ethanolamide,17.97660513815376,C8-Pos-000241,Organic acids and derivatives,Carboximidic acids and derivatives
Pc O-32:6,17.972356716347964,C8-Pos-000556,Lipids and lipid-like molecules,Glycerophospholipids
2-Furoic Acid,17.970639751844015,Amide-Neg-000150,Organoheterocyclic compounds,Furans
2-Oleoyl-1-Palmitoyl-Sn-Glycero-3-Phosphocholine,17.962603794366274,C8-Pos-000004,Lipids and lipid-like molecules,Glycerophospholipids
Dulcitol,17.95639094064751,Amide-Neg-000313,Organic oxygen compounds,Organooxygen compounds
Lpe O-18:1,17.95559838601245,C8-Pos-000280,Lipids and lipid-like molecules,Glycerophospholipids
Adenosine Diphosphate (Adp),17.95437154688554,Amide-Pos-000111,"Nucleosides, nucleotides, and analogues",Purine nucleotides
Pe 15:1_15:1,17.949389026932423,C8-Pos-000659,Lipids and lipid-like molecules,Glycerophospholipids
Pmeoh 16:0_18:1,17.949109069050884,C8-Neg-000115,Lipids and lipid-like molecules,Glycerophospholipids
L-Isoleucine,17.941871562760166,Amide-Pos-000404,Organic acids and derivatives,Carboxylic acids and derivatives
Ophthalmic Acid,17.936987105906766,Amide-Neg-000573,Organic acids and derivatives,Peptidomimetics
7-Aminonimetazepam,17.934590159050305,C8-Pos-000592,Organoheterocyclic compounds,Benzodiazepines
Oxacyclohexadecen-2-One,17.921773642800517,C8-Pos-000571,Phenylpropanoids and polyketides,Macrolides and analogues
1-Methylnicotinamide,17.920310106487978,Amide-Pos-000239,Organoheterocyclic compounds,Pyridines and derivatives
Uridine 5'-Diphosphogalactose,17.91170931823738,Amide-Neg-000485,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides
Kojic Acid,17.898588581098615,Amide-Neg-000287,Organoheterocyclic compounds,Pyrans
S-Succinylcysteine,17.89653805994795,Amide-Pos-000516,Organic acids and derivatives,Carboxylic acids and derivatives
Ino,17.891750119546554,Amide-Neg-000016,"Nucleosides, nucleotides, and analogues",Purine nucleosides
Linoelaidic Acid,17.87808166793666,C8-Neg-000017,Lipids and lipid-like molecules,Fatty Acyls
4-Methyloxazole-5-Carboxylic Acid,17.870471386066885,Amide-Neg-000492,Organoheterocyclic compounds,Azoles
Dl-Malic Acid,17.867043641486855,Amide-Neg-000022,Organic acids and derivatives,Hydroxy acids and derivatives
Υ-L-Glutamyl-L-Glutamic Acid,17.841255290131368,Amide-Pos-000489,Organic acids and derivatives,Carboxylic acids and derivatives
Dg 16:0_24:6,17.830989337139894,C8-Pos-000251,Lipids and lipid-like molecules,Glycerolipids
2-Hydroxymyristic Acid,17.822409147392985,C8-Neg-000196,Lipids and lipid-like molecules,Fatty Acyls
Pe 18:4_24:5,17.809065909614446,C8-Pos-000339,Lipids and lipid-like molecules,Glycerophospholipids
2-Methylbutyryl-L-Carnitine,17.794752525960362,Amide-Pos-000091,Lipids and lipid-like molecules,Fatty Acyls
"Ncgc00381029-01!1-(3-Ethyl-2,4-Dihydroxy-6-Methoxyphenyl)Butan-1-One",17.792682388860424,C8-Pos-000532,Organic oxygen compounds,Organooxygen compounds
Pc 16:1_22:6,17.772334606788068,C8-Pos-000050,Lipids and lipid-like molecules,Glycerophospholipids
Glycerophosphate(2),17.767449545349145,Amide-Pos-000479,Lipids and lipid-like molecules,Glycerophospholipids
Pantothenic Acid,17.756391499882266,C18-Pos-000008,Organic acids and derivatives,Carboxylic acids and derivatives
Citruline,17.743250325833746,Amide-Neg-000596,Organic acids and derivatives,Carboxylic acids and derivatives
Monolaurin,17.715290353259004,C8-Pos-000145,Lipids and lipid-like molecules,Glycerolipids
"L-Threonic Acid-1,4-Lactone",17.70463330263554,Amide-Neg-000017,Organoheterocyclic compounds,Lactones
Prohexadione,17.691595241687427,C8-Pos-000315,Organic oxygen compounds,Organooxygen compounds
(R)-Pantetheine,17.686479854246134,C18-Pos-000303,Organic acids and derivatives,Carboxylic acids and derivatives
Phosphatidylethanolamine Lyso 22:4,17.661827730496782,C18-Neg-000227,Lipids and lipid-like molecules,Glycerophospholipids
Lpe 18:2,17.657466030811726,C8-Pos-000472,Lipids and lipid-like molecules,Glycerophospholipids
(5z)-3-Hydroxy-5-Dodecenoic Acid,17.643606892604264,C8-Pos-000525,Organic acids and derivatives,Hydroxy acids and derivatives
"(2-Aminoethoxy)[2,3-Bis(Octadecanoyloxy)Propoxy]Phosphinic Acid",17.63737079883764,C8-Pos-000344,Lipids and lipid-like molecules,Glycerophospholipids
Palmitic Acid,17.62915133448259,C8-Pos-000543,Lipids and lipid-like molecules,Fatty Acyls
Theophylline,17.61789892870779,C18-Pos-000283,Organoheterocyclic compounds,Imidazopyrimidines
Triphenyl Phosphate,17.59639337826033,C8-Pos-000025,Organic acids and derivatives,Organic phosphoric acids and derivatives
Pc 16:2_28:7,17.584509250909672,C8-Pos-000196,Lipids and lipid-like molecules,Glycerophospholipids
"3-(Hepta-1,3-Dienyl)Hexanedioic Acid",17.581106285961543,C18-Neg-000205,Lipids and lipid-like molecules,Fatty Acyls
5-Oxotetrahydro-2-Furancarboxylic Acid,17.58008501538485,Amide-Neg-000469,Organoheterocyclic compounds,Lactones
Hypaphorine,17.56707715630185,C18-Pos-000160,Organic acids and derivatives,Carboxylic acids and derivatives
