Name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Compound.ID,Super.Class,Class
Sphp(D16:2),0.06037059640127665,21.52676301481887,1.7737548506777854,0.08879140600932882,0.47294777323568893,-4.591235939150129,C8-Pos-000909,Lipids and lipid-like molecules,Sphingolipids
N-Acetylalanine,-0.22972366133304006,19.771732442824415,-1.7714379180539879,0.08918443723872992,0.47294777323568893,-4.5947829195589325,Amide-Neg-000318,Organic acids and derivatives,Carboxylic acids and derivatives
Uridine 5'-Diphosphate,-0.23166149497833752,16.26778197498107,-1.7285184615796712,0.09929965246870476,0.48973892625235405,-4.613425415966328,Amide-Pos-001617,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides
Ala-Pro-Asn,0.07228286867454474,23.98602530036321,1.7227235560699652,0.10036291869301987,0.48973892625235405,-4.629520732994974,C8-Neg-000301,Organic acids and derivatives,Carboxylic acids and derivatives
Pc(10:0cooh_30:8),0.16130160944161728,20.429608518456078,1.735575936290106,0.09601653347298739,0.48639444000892995,-4.632295003310185,C8-Pos-005152,Lipids and lipid-like molecules,Glycerophospholipids
N-Acetylglycine,0.11024431903150028,18.008165350874705,1.7441633054797985,0.09392418931639422,0.48639444000892995,-4.6362735106841075,Amide-Neg-000219,Organic acids and derivatives,Carboxylic acids and derivatives
Cerp(D18:0_20:3),0.3004361856009719,19.839511456008278,1.740238101149149,0.09462368773913912,0.48639444000892995,-4.642204334454601,C8-Pos-003565,Lipids and lipid-like molecules,Sphingolipids
Pc 16:0_16:1,-0.1475914696776203,14.589238166148915,-1.55223068044627,0.14459449375982766,0.5541708062973184,-4.651499547650565,C8-Pos-003874,Lipids and lipid-like molecules,Glycerophospholipids
Pe(O-26:3_7:0),0.1733596618757779,16.51152290279749,1.7306423659077887,0.09635242240176897,0.48639444000892995,-4.656660177714819,C8-Pos-003685,Lipids and lipid-like molecules,Glycerophospholipids
2-Deoxyribose 5-Phosphate,0.08676858181332739,19.1396740345955,1.7146954535955183,0.09928476953674323,0.48973892625235405,-4.680548625953056,Amide-Neg-001061,Organic oxygen compounds,Organooxygen compounds
Pe(21:0_21:5),-0.06421227601313162,20.11156811349039,-1.706896059526009,0.10074629340048427,0.48973892625235405,-4.692170249871259,C8-Pos-004916,Lipids and lipid-like molecules,Glycerophospholipids
1h-Imidazole-1-Acetic Acid,-0.07355782888064355,18.509086144204062,-1.6734931834075228,0.10721334463711389,0.5161051100799178,-4.741479196019396,Amide-Pos-000303,Organic acids and derivatives,Carboxylic acids and derivatives
D-Glucose 6-Phosphate,-0.041527676567983944,22.465432969670946,-1.618078006816893,0.12404246939415461,0.5541708062973184,-4.7460694894311715,Amide-Neg-001431,Organic oxygen compounds,Organooxygen compounds
Tg(5:0_15:0cho_28:3),-0.06470650875773543,21.28528651233028,-1.6688655238850716,0.10813630877864945,0.5161051100799178,-4.748250808052498,C8-Pos-004667,Lipids and lipid-like molecules,Glycerolipids
Pc(18:1_5:1cho),-0.15618855788122527,20.46429801702843,-1.5535139350551437,0.1398488541337522,0.5541708062973184,-4.759566308283929,C8-Neg-002843,Lipids and lipid-like molecules,Glycerophospholipids
D-Mannose,0.05785996047037809,19.17394390013809,1.6430668069378533,0.11340504426371469,0.5363752093554073,-4.7857331222157615,Amide-Neg-001092,Organic oxygen compounds,Organooxygen compounds
Tg(15:1cho_15:2),0.14997376027144058,16.1048130959457,1.4040040259980169,0.18067562498119502,0.5928616381674039,-4.804904267111089,C8-Pos-002684,Lipids and lipid-like molecules,Glycerolipids
Pe(P-11:0_23:0),-0.09159562521876341,16.09889460698849,-1.6014576666764473,0.12291923918214752,0.5541708062973184,-4.8080780785962505,C8-Pos-003830,Lipids and lipid-like molecules,Glycerophospholipids
1-Palmitoyl-Sn-Glycero-3-Phosphocholine,-0.10493064844796299,16.531206573032325,-1.527487416818724,0.14401607015768136,0.5541708062973184,-4.8129260019172415,C8-Pos-002038,Lipids and lipid-like molecules,Glycerophospholipids
"2,5-Bis(5-Tert-Butyl-Benzoxazol-2-Yl)Thiophene",-0.047092687618548255,17.993891921156933,-1.6236679613224803,0.11750695645318013,0.5508138583742819,-4.813614905175463,C8-Pos-001637,Organoheterocyclic compounds,Benzoxazoles
Pe(20:5_22:2),-0.14394953289826604,23.515200732460027,-1.5191861221630145,0.14708876930320433,0.555551107080448,-4.820492690791771,C8-Pos-004871,Lipids and lipid-like molecules,Glycerophospholipids
D-Asparagine,-0.14703872160388298,18.828036730334933,-1.442260357661332,0.16639863982635072,0.581187904271958,-4.829747261622352,Amide-Neg-000331,Organic acids and derivatives,Carboxylic acids and derivatives
Pc(19:4cho_29:7),0.19982991186080032,17.95355808767287,1.4133390343533887,0.177964409300879,0.5928616381674039,-4.835804679303086,C8-Pos-005546,Lipids and lipid-like molecules,Glycerophospholipids
Taurine,0.07621587375860517,24.837167363304513,1.6080354615600423,0.1209019022303315,0.5541708062973184,-4.8358928787328725,Amide-Pos-000156,Organic acids and derivatives,Organic sulfonic acids and derivatives
"L-Threonic Acid-1,4-Lactone",0.1288574246407361,21.390548488610676,1.6036069613588602,0.1218783548394134,0.5541708062973184,-4.8421728887412785,Amide-Neg-000220,Organoheterocyclic compounds,Lactones
Tg(11:0_9:2cho_26:8),0.05163893327973042,20.857069789089415,1.4711695831096987,0.15950810837364254,0.581187904271958,-4.861444863306996,C8-Pos-004421,Lipids and lipid-like molecules,Glycerolipids
4-Quinolinol,0.06609606841662796,28.669805146265904,1.5856282498125793,0.12591007119642278,0.5541708062973184,-4.867526652573247,Amide-Pos-000461,Organoheterocyclic compounds,Quinolines and derivatives
Dg(21:1_19:4),0.10348183631021975,19.046668983216065,1.1788443101794406,0.2612964611292928,0.708515572341268,-4.873962624708977,C8-Pos-003575,Lipids and lipid-like molecules,Glycerolipids
Cl(18:0_20:1cho_23:1_21:2),-0.0693117398021158,24.198361053105295,-1.5736622937336546,0.12865419044601303,0.5541708062973184,-4.884274562897724,C8-Neg-003309,Lipids and lipid-like molecules,Glycerophospholipids
L-Threonine,-0.051019452000171085,20.13183287022231,-1.5727177048361205,0.12887289930317686,0.5541708062973184,-4.885592310414785,Amide-Pos-000255,Organic acids and derivatives,Carboxylic acids and derivatives
Pc(17:4cooh_23:5),0.07949859845311388,16.888349394828634,1.570483528804242,0.12939141992630845,0.5541708062973184,-4.888706569454511,C8-Pos-005012,Lipids and lipid-like molecules,Glycerophospholipids
Oahfa(15:1_27:4),0.1337931922898563,17.566519413029436,1.5599446128766972,0.13186062713816307,0.5541708062973184,-4.903349000941473,C8-Neg-002972,Lipids and lipid-like molecules,Fatty acyls
