Name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Compound.ID,Super.Class,Class
Tg(O-25:8_2:0_19:4),-0.04050532810972791,16.64140722105302,-0.5382792824789533,0.5994795345934837,0.8847897992367497,-5.551474779384183,C8-Pos-004104,Lipids and lipid-like molecules,Glycerolipids
Dl-Alanine,0.07113399066713355,15.84686601857736,0.9256493734583903,0.36384287855931863,0.8072032562487759,-5.558262818479053,Amide-Neg-000047,Organic acids and derivatives,Carboxylic acids and derivatives
N-(Octadecanoyl)Sphing-4-Enine-1-Phosphocholine,-0.08746229889576419,18.810575731236774,-0.9152234562173682,0.36917872599606505,0.8072032562487759,-5.567278085241903,Amide-Pos-002226,Lipids and lipid-like molecules,Sphingolipids
Pi 38:6,0.027709234291092507,25.329120919366712,0.9152174265911208,0.3691818267835072,0.8072032562487759,-5.5672832716368,C8-Neg-003536,Lipids and lipid-like molecules,Glycerophospholipids
Lpe 24:4,0.012476752496002557,19.71862999826929,0.9135615119702617,0.3700340470329574,0.8072032562487759,-5.568706409479235,C8-Pos-002633,Lipids and lipid-like molecules,Glycerophospholipids
Nicotinamide Adenine Dinucleotide (Nad+),-0.01962855460031013,17.73095137843689,-0.9134784000733751,0.3700768549925434,0.8072032562487759,-5.568777775041372,C18-Pos-002114,"Nucleosides, nucleotides, and analogues",(5'->5')-dinucleotides
Acetyl-D-Alanine,-0.061907328865329736,22.42401056256808,-0.9081803613691172,0.372812435473568,0.8072032562487759,-5.5733145895550065,Amide-Neg-000316,Organic acids and derivatives,Carboxylic acids and derivatives
Pi(22:0_12:1),0.036353374405284404,18.50846130694177,0.8878137944236427,0.3842445076414329,0.8072032562487759,-5.57460514744931,C8-Neg-003398,Lipids and lipid-like molecules,Glycerophospholipids
Phosphoserine,-0.05354314376046102,24.69071967628978,-0.906348893827625,0.3737611833688015,0.8072032562487759,-5.574877208422638,Amide-Pos-000781,Organic acids and derivatives,Carboxylic acids and derivatives
Lpc(16:2),0.02506047997261777,21.095594468981183,0.9026657626854837,0.37567394732968484,0.8072032562487759,-5.578010799215489,C8-Neg-001880,Lipids and lipid-like molecules,Glycerophospholipids
Yrquylsqfnxrba-Izzdovswsa-N,0.01443058195502103,27.476072289745574,0.9025442206447692,0.37573717726914957,0.8072032562487759,-5.57811400438922,C18-Neg-000934,Lipids and lipid-like molecules,Prenol lipids
2-Docosahexaenoyl-1-Stearoyl-Sn-Glycero-3-Phosphoserine,-0.07046113391018125,16.797404136621164,-0.9022139920156677,0.37590900773222713,0.8072032562487759,-5.578394346652214,C8-Pos-004831,Lipids and lipid-like molecules,Glycerophospholipids
Tg(20:2cho_26:3),-0.05260623649405293,20.678954137346683,-0.8912237124386013,0.38203780014633626,0.8072032562487759,-5.579263153063637,C8-Pos-004352,Lipids and lipid-like molecules,Glycerolipids
Dgdg(2:0_27:3),-0.125240466811934,17.184922621082478,-0.9005284418224807,0.37678686692494,0.8072032562487759,-5.579823780661098,C8-Neg-003430,Lipids and lipid-like molecules,Glycerolipids
3-(Ethenyloxy)Propan-1-Amine,0.03796463355769552,17.760801551223707,0.6658998720721424,0.5144098914922587,0.8526130798214232,-5.582965164927196,Amide-Pos-000094,Organic oxygen compounds,Organooxygen compounds
Pet(16:0_27:7),-0.054356223068092596,19.079466145132688,-0.8931786928518554,0.3806304231112291,0.8072032562487759,-5.58602767193354,C8-Pos-004866,Lipids and lipid-like molecules,Glycerophospholipids
Dl-P-Hydroxyphenyllactic Acid,-0.04943712724291513,21.073538022636047,-0.8015428472288214,0.4313900116603967,0.8164350736804741,-5.590630777638997,Amide-Neg-000783,Benzenoids,Benzene and substituted derivatives
N-Acetyl-Neuraminic Acid,0.01289688150064272,18.97466329869961,0.8804140783472358,0.38736632211798006,0.8072032562487759,-5.596689612078995,Amide-Pos-001317,Organic oxygen compounds,Organooxygen compounds
S-Adenosyl-L-Homocysteine,-0.024482691858275625,22.74737018484568,-0.8802421699166905,0.38745756299941236,0.8072032562487759,-5.596832225588174,C18-Pos-000925,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides
