Name,Compound.ID,Wilcoxon_statistic,p_value,Mean_Female,Mean_Male,logFC,FDR,Bonferroni,Significant_FDR,Significant_Bonferroni,Direction
1-Stearoyl-2-arachidonoyl-sn-glycero-3-phosphoserine,C8-Pos-000066,42,0.23721752775378105,17.17133790237418,17.465597618432877,0.024513557014603685,0.962267616477685,1,FALSE,FALSE,Higher in Males
"Octadecyl 3-(3,5-di-tert-butyl-4-hydroxyphenyl)propionate",C8-Pos-000067,50,0.7133031738784575,23.157775076111204,23.13672688695289,-0.0013118672379278462,0.9854833483314056,1,FALSE,FALSE,Higher in Females
PC(18:0_20:3),C8-Pos-000069,80,0.6650055421020291,18.727539630072414,18.821227202468364,0.007199324397324415,0.976056521472333,1,FALSE,FALSE,Higher in Males
PS 22:5_22:5,C8-Pos-000071,97,0.1572127533400039,18.737616787303146,17.708150634413595,-0.08152391930273283,0.962267616477685,1,FALSE,FALSE,Higher in Females
Mono(2-ethylhexyl) phthalate (MEHP),C8-Pos-000072,68,0.8398599725400034,22.892537631097987,22.97491348649304,0.005182034882967779,0.9968772717540041,1,FALSE,FALSE,Higher in Males
PC 20:2_20:2,C8-Pos-000073,73,0.9769702553219757,22.188155106257714,22.234876114847822,0.003034650738510162,1,1,FALSE,FALSE,Higher in Males
Octinoxate,C8-Pos-000078,66,0.7508318840891169,20.08429805991819,20.247380216600938,0.011667211038171133,0.9892971093001639,1,FALSE,FALSE,Higher in Males
PE O-16:1_20:4,C8-Pos-000079,73,0.6891216451070523,21.851612972731484,21.828448851578806,-0.001530161105574899,0.982042033132202,1,FALSE,FALSE,Higher in Females
LPE 20:4,C8-Pos-000081,51,0.9394400080349974,21.294640813659168,21.296441512985588,1.2199079469172837e-4,1,1,FALSE,FALSE,Higher in Males
PE O-16:1_22:6,C8-Pos-000082,92,0.11655091953221396,19.48212506912846,19.22117170867705,-0.019454767701955453,0.962267616477685,1,FALSE,FALSE,Higher in Females
1-Palmitoyl-2-stearoyl-sn-glycero-3-phosphocholine,C8-Pos-000083,19,0.8303242576557953,25.911106603213632,25.84722882741137,-0.0035610185835793914,0.9968772717540041,1,FALSE,FALSE,Higher in Females
Cocamidopropyl betaine,C8-Pos-000087,52,0.6209281438231146,17.066836538063804,17.178217073710567,0.009384637843821344,0.962267616477685,1,FALSE,FALSE,Higher in Males
Palmitoylcarnitine,C8-Pos-000088,81,0.623604884395689,23.838561781036773,23.864595467206332,0.0015746829278491118,0.962267616477685,1,FALSE,FALSE,Higher in Males
PE 16:1_22:5,C8-Pos-000089,29,0.2311903868525416,16.813258213203902,16.954716354812117,0.012087319763923436,0.962267616477685,1,FALSE,FALSE,Higher in Males
PE 16:1_24:6,C8-Pos-000090,55,0.07504923472080163,20.998101329692577,20.923156628724037,-0.00515835969062536,0.962267616477685,1,FALSE,FALSE,Higher in Females
LPE 22:6,C8-Pos-000091,83,0.5443701458566099,23.004332138130057,22.963674487918027,-0.0025520621813321038,0.962267616477685,1,FALSE,FALSE,Higher in Females
2-Docosahexaenoyl-1-stearoyl-sn-glycero-3-phosphoethanolamine,C8-Pos-000092,96,0.17485330689329268,21.571053695555232,21.610605997431243,0.002642877839140917,0.962267616477685,1,FALSE,FALSE,Higher in Males
2-Arachidonoyl glycerol,C8-Pos-000093,50,0.6497226287855105,24.538489196267083,24.49663121207408,-0.002463064039898998,0.976056521472333,1,FALSE,FALSE,Higher in Females
