Name,pathway_id,pathway_label,pathway_source
Citric Acid,WP4206,Hereditary leiomyomatosis and renal cell carcinoma pathway,wiki
Citric Acid,WP4290,Metabolic reprogramming in colon cancer,wiki
Citric Acid,WP4661,Amino acid metabolism pathway excerpt: histidine catabolism extension,wiki
Citric Acid,WP4966,Fluoroacetic acid toxicity,wiki
Citric Acid,WP5213,Amino acid metabolism in triple-negative breast cancer cells,wiki
Citric Acid,WP78,TCA cycle (aka Krebs or citric acid cycle),wiki
D-(-)-Glutamine,WP2868,TCA cycle nutrient use and invasiveness of ovarian cancer,wiki
L-Threonic Acid,R-HSA-196836,Vitamin C (ascorbate) metabolism,reactome
2-Oxobutyric Acid,map00270,Methionine Metabolism,kegg
2-Oxobutyric Acid,map00330,Arginine and proline metabolism,kegg
2-Oxobutyric Acid,map00450,Selenocompound metabolism,kegg
2-Oxobutyric Acid,map00640,Propanoate metabolism,kegg
2-Oxobutyric Acid,R-HSA-1614558,Degradation of cysteine and homocysteine,reactome
2-Oxobutyric Acid,R-HSA-1614603,Cysteine formation from homocysteine,reactome
2-Oxobutyric Acid,R-HSA-1614635,Sulfur amino acid metabolism,reactome
2-Oxobutyric Acid,R-HSA-2408508,"Metabolism of ingested SeMet, Sec, MeSec into H2Se",reactome
2-Oxobutyric Acid,R-HSA-549127,Organic cation transport,reactome
2-Oxobutyric Acid,R-HSA-549132,Organic cation/anion/zwitterion transport,reactome
2-Oxobutyric Acid,R-HSA-71288,Creatine metabolism,reactome
2-Oxobutyric Acid,R-HSA-8849175,Threonine catabolism,reactome
2-Oxobutyric Acid,WP111,Electron transport chain: OXPHOS system in mitochondria,wiki
2-Oxobutyric Acid,WP1495,Glycine metabolism,wiki
2-Oxobutyric Acid,WP1533,Vitamin B12 metabolism,wiki
2-Oxobutyric Acid,WP1941,Peroxisomal beta-oxidation of tetracosanoyl-CoA,wiki
2-Oxobutyric Acid,WP1946,Cori cycle,wiki
2-Oxobutyric Acid,WP2485,NAD biosynthesis II (from tryptophan),wiki
2-Oxobutyric Acid,WP2525,"Trans-sulfuration, one-carbon metabolism and related pathways",wiki
2-Oxobutyric Acid,WP2533,Glycerophospholipid biosynthetic pathway,wiki
2-Oxobutyric Acid,WP2766,Citric acid cycle and respiratory electron transport,wiki
2-Oxobutyric Acid,WP3574,Sulfur amino acid metabolism,wiki
2-Oxobutyric Acid,WP3580,Methionine de novo and salvage pathway,wiki
2-Oxobutyric Acid,WP3630,"NAD metabolism, sirtuins and aging",wiki
2-Oxobutyric Acid,WP3644,NAD+ metabolism,wiki
2-Oxobutyric Acid,WP3645,NAD+ biosynthetic pathways,wiki
2-Oxobutyric Acid,WP3803,Threonine catabolism,wiki
2-Oxobutyric Acid,WP4191,Caloric restriction and aging,wiki
2-Oxobutyric Acid,WP43,Oxidation by cytochrome P450,wiki
2-Oxobutyric Acid,WP4504,Cysteine and methionine catabolism,wiki
2-Oxobutyric Acid,WP4519,"Cerebral organic acidurias, including diseases",wiki
2-Oxobutyric Acid,WP4583,Biomarkers for urea cycle disorders,wiki
2-Oxobutyric Acid,WP4584,Biomarkers for pyrimidine metabolism disorders,wiki
2-Oxobutyric Acid,WP4629,Aerobic glycolysis,wiki
2-Oxobutyric Acid,WP4688,Serine metabolism,wiki
2-Oxobutyric Acid,WP497,Urea cycle and metabolism of amino groups,wiki
2-Oxobutyric Acid,WP5002,Creatine metabolism,wiki
2-Oxobutyric Acid,WP5044,Kynurenine pathway and links to cell senescence,wiki
2-Oxobutyric Acid,WP5046,NAD metabolism in oncogene-induced senescence and mitochondrial dysfunction-associated senescence,wiki
2-Oxobutyric Acid,WP5050,TCA cycle in senescence,wiki
2-Oxobutyric Acid,WP5175,Disorders in ketone body synthesis,wiki
2-Oxobutyric Acid,WP5190,Creatine pathway,wiki
2-Oxobutyric Acid,WP5219,Diet-dependent trimethylamine/trimethylamine N-oxide metabolism,wiki
2-Oxobutyric Acid,WP5283,Chronic hyperglycemia impairment of neuron function,wiki
2-Oxobutyric Acid,WP5345,1p36 copy number variation syndrome,wiki
2-Oxobutyric Acid,WP5346,8p23.1 copy number variation syndrome,wiki
2-Oxobutyric Acid,WP5405,13q12 or CRYL1 copy number variation,wiki
2-Oxobutyric Acid,WP5414,IDO metabolic pathway,wiki
2-Oxobutyric Acid,WP623,Oxidative phosphorylation,wiki
2-Oxobutyric Acid,WP698,Glucuronidation,wiki
2-Oxobutyric Acid,WP78,TCA cycle (aka Krebs or citric acid cycle),wiki
3-Hydroxy-3-Methylglutaric Acid,WP4686,"Leucine, isoleucine and valine metabolism",wiki
L-Aspartic Acid,map00250,"Alanine, aspartate and glutamate metabolism",kegg
