"Name","n_occurrences","compound_ids","is_duplicate"
"L-(-)-Methionine",3,"Amide-Pos-000496; C18-Pos-000574; C18-Pos-000575",TRUE
"L-Glutarylcarnitine",3,"Amide-Pos-001103; C18-Pos-001541; C18-Pos-001543",TRUE
"L-Phenylalanine",3,"Amide-Neg-000631; C18-Pos-000721; C18-Pos-000722",TRUE
"L-Pipecolinic Acid",3,"Amide-Pos-000330; C18-Pos-000353; C18-Pos-000354",TRUE
"L-Threonic Acid Calcium Salt",3,"Amide-Neg-000404; Amide-Neg-000405; C18-Neg-000102",TRUE
"L-Tyrosine",3,"Amide-Pos-000643; C18-Pos-000831; C18-Pos-000832",TRUE
"Myristyl Sulfate",3,"Amide-Neg-001639; Amide-Neg-001640; C8-Neg-000367",TRUE
"N,N-Diethylethanolamine",3,"Amide-Pos-000240; Amide-Pos-000242; C18-Pos-000263",TRUE
"N-Acetyl-L-Alanine",3,"C18-Neg-000058; C18-Neg-000059; C18-Pos-000380",TRUE
"N-Acetyl-L-Methionine",3,"Amide-Neg-000866; C18-Neg-000383; C18-Pos-000777",TRUE
"N8-Acetylspermidine",3,"Amide-Pos-000660; Amide-Pos-000661; C18-Pos-000876",TRUE
"Nicotinamide Adenine Dinucleotide (Nad+)",3,"Amide-Pos-002116; C18-Pos-002110; C18-Pos-002114",TRUE
"O-Phosphocolamine",3,"Amide-Neg-000449; Amide-Pos-000437; Amide-Pos-000438",TRUE
"Ondansetron",3,"Amide-Pos-001175; C18-Pos-001705; C8-Pos-000454",TRUE
"Palmitoyl Ethanolamide",3,"C18-Pos-001759; C8-Pos-000383; C8-Pos-000497",TRUE
"Peg N11",3,"Amide-Pos-001857; C18-Pos-004284; C8-Pos-002320",TRUE
"Peg N6",3,"Amide-Pos-001134; C18-Pos-001609; C8-Pos-000389",TRUE
"Peg N8",3,"Amide-Pos-001506; C18-Pos-002558; C8-Pos-001222",TRUE
"Pentadecanoic Acid",3,"Amide-Neg-001316; C8-Neg-000128; C8-Neg-000129",TRUE
"Pro-Asp",3,"Amide-Neg-001250; Amide-Pos-000865; Amide-Pos-000866",TRUE
"Propionylcarnitine",3,"Amide-Pos-000824; C18-Pos-001104; C18-Pos-001106",TRUE
"Ps 22:3_22:4",3,"C8-Neg-003553; C8-Pos-005221; C8-Pos-005224",TRUE
"S-4-(2-Oxo-Butyl)Glutathione",3,"Amide-Pos-001532; C18-Pos-002636; C18-Pos-002638",TRUE
"S-Adenosyl-L-Homocysteine",3,"Amide-Pos-001546; C18-Pos-000924; C18-Pos-000925",TRUE
"Triphenyl Phosphate",3,"C18-Pos-002056; C8-Pos-000692; C8-Pos-000693",TRUE
"Tris(2-Butoxyethyl) Phosphate",3,"Amide-Pos-001587; Amide-Pos-001589; C8-Pos-001323",TRUE
"Udp-N-Acetylglucosamine",3,"Amide-Neg-001697; Amide-Pos-002021; C8-Pos-003037",TRUE
"Uracil",3,"Amide-Pos-000180; C18-Pos-000187; C18-Pos-000190",TRUE
"Xanthine",3,"Amide-Neg-000523; C18-Neg-000153; C18-Pos-000634",TRUE
"(R)-Butyrylcarnitine",2,"Amide-Pos-000872; C18-Pos-001205",TRUE
"(Rac)-Idroxioleic Acid",2,"C8-Neg-000383; C8-Neg-000385",TRUE
"(±)12-Hete",2,"C8-Pos-000511; C8-Pos-000513",TRUE
"(±)14(15)-Eet",2,"C8-Neg-000488; C8-Pos-000512",TRUE
"(±)5-Hepe",2,"C8-Pos-000501; C8-Pos-000504",TRUE
"1,2-Dihydroxyheptadec-16-Yn-4-Yl Acetate",2,"C8-Pos-000702; C8-Pos-000705",TRUE
"1,2-Dimyristoyl-Sn-Glycero-3-Pc",2,"Amide-Pos-002141; C8-Pos-003474",TRUE
"1,2-Dimyristoyl-Sn-Glycero-3-Phosphoethanolamine",2,"C8-Neg-002672; C8-Pos-003221",TRUE
"1,3,5-Trimethyl-2-Nitrobenzene",2,"Amide-Pos-000587; Amide-Pos-000588",TRUE
"1,3-Benzodioxolylbutanamine (Bdb)",2,"C18-Pos-000931; C18-Pos-000934",TRUE
"1,8-Diaza-2,9-Diketocyclotetradecane",2,"Amide-Pos-000852; Amide-Pos-000853",TRUE
"1-(5z,8z,11z,14z-Eicosatetraenoyl)-Sn-Glycero-3-Phosphocholine",2,"C18-Pos-004978; C18-Pos-004979",TRUE
"1-Hexadecanoyl-Sn-Glycero-3-Phosphoethanolamine",2,"C18-Pos-003617; C18-Pos-003618",TRUE
"1-Linoleoyl Glycerol",2,"C8-Pos-000787; C8-Pos-000790",TRUE
"1-Methylhistidine",2,"Amide-Pos-000599; Amide-Pos-000606",TRUE
"1-Myristoyl-Sn-Glycero-3-Phosphocholine",2,"Amide-Pos-001742; C18-Pos-003814",TRUE
"1-Octadecanoyl-Sn-Glycero-3-Phosphoserine",2,"Amide-Neg-002166; C18-Neg-002219",TRUE
"1-Oleoyl-2-Myristoyl-Sn-Glycero-3-Phosphocholine",2,"Amide-Pos-002228; Amide-Pos-002229",TRUE
"1-Palmitoyl-2-Hydroxy-Sn-Glycero-3-Phosphoethanolamine",2,"Amide-Pos-001731; C18-Neg-002016",TRUE
"1-Stearoylglycerol",2,"C8-Pos-000832; C8-Pos-000833",TRUE
"1-Β-D-Arabinofuranosyluracil 5'-Monophosphate",2,"C18-Neg-001402; C18-Neg-001407",TRUE
"11-Hydroxy-Δ(9)-Thc",2,"C8-Pos-000731; C8-Pos-000732",TRUE
"13-((1-Carboxy-2-Hydroxyethyl)Amino)-13-Oxotridecanoic Acid",2,"C8-Pos-000606; C8-Pos-000754",TRUE
"16-Deoxyvertaline B",2,"C8-Pos-001479; C8-Pos-001480",TRUE
"16-Hydroxyhexadecanoic Acid",2,"Amide-Neg-001504; C8-Neg-000245",TRUE
"2'-Guanylic Acid",2,"C18-Neg-001640; C18-Neg-001641",TRUE
"2(2-Ethoxyethoxy)Ethanol",2,"C18-Pos-000658; C18-Pos-000671",TRUE
"2,3,5,6-Tetrafluoro-4-Hydroxybenzoic Acid",2,"Amide-Neg-001016; Amide-Neg-001020",TRUE
"2,6-Dimethylmorpholine",2,"Amide-Pos-000080; Amide-Pos-000232",TRUE
"2-(5-Oxovaleryl)Phosphatidylcholine",2,"C18-Pos-005996; C8-Pos-002923",TRUE
"2-Acetamido-N-Β-Aspartyl-2-Deoxyhexopyranosylamine",2,"Amide-Neg-001864; Amide-Pos-001270",TRUE
"2-Aminoisobutyric Acid",2,"Amide-Pos-000144; Amide-Pos-000149",TRUE
"2-Arachidonoyl Glycerol",2,"C8-Pos-001010; C8-Pos-001012",TRUE
"2-Docosahexaenoyl-1-Palmitoyl-Sn-Glycero-3-Phosphoethanolamine",2,"Amide-Pos-002285; C8-Pos-004152",TRUE
"2-Ethyl-N-({(2r,4s,5r)-5-[6-(2-Furyl)-2-Methyl-4-Pyrimidinyl]-1-Azabicyclo[2.2.2]Oct-2-Yl}Methyl)Butanamide",2,"C18-Pos-002886; C8-Pos-001303",TRUE
"2-Furoic Acid",2,"Amide-Neg-000149; Amide-Neg-000150",TRUE
"2-Hydroxy-6-[(Z)-Nonadec-8-Enyl]Benzoic Acid",2,"C8-Pos-001203; C8-Pos-001204",TRUE
"2-Methyl-2,3,4,5-Tetrahydro-1,5-Benzoxazepin-4-One",2,"Amide-Pos-000725; Amide-Pos-000726",TRUE
"2-Methylcitrate",2,"Amide-Neg-000985; Amide-Neg-000988",TRUE
"2-Methylglutaric Acid",2,"Amide-Neg-000492; C18-Neg-000138",TRUE
"2-Methylsuccinic Acid",2,"Amide-Neg-000333; Amide-Neg-000334",TRUE
"2-Oleoyl-1-Stearoyl-Sn-Glycero-3-Phosphoserine",2,"Amide-Neg-002264; C8-Pos-004420",TRUE
"2-Oxoadipic Acid",2,"Amide-Neg-000581; Amide-Neg-000587",TRUE
"2-Oxobutanoic Acid",2,"Amide-Neg-000108; C18-Neg-000004",TRUE
"2-Oxoglutaric Acid",2,"Amide-Neg-000482; C18-Neg-000136",TRUE
"2-Phenylpropylamine",2,"Amide-Pos-000419; Amide-Pos-000420",TRUE
"2-Sc S-(2-Succinyl)-L-Cysteine",2,"Amide-Neg-001285; Amide-Pos-000901",TRUE
"3-Epi-25-Hydroxy Vitamin D3",2,"C8-Pos-001190; C8-Pos-001340",TRUE
"3-Hydroxybutyric Acid",2,"Amide-Neg-000118; Amide-Neg-000125",TRUE
"3-Hydroxystigmast-5-En-7-One",2,"C8-Pos-001621; C8-Pos-001626",TRUE
"3-Methylhistidine",2,"Amide-Pos-000601; Amide-Pos-000602",TRUE
"3-Phenyl-1-Propanol",2,"Amide-Pos-000253; Amide-Pos-000254",TRUE
"3-[(2-Chloro-1,3-Thiazol-5-Yl)Methyl]-5-Methyl-1,3,5-Oxadiazinan-4-Ylideneamin",2,"C18-Pos-001329; C18-Pos-001330",TRUE
"4,4,5,5,6,6,7,7,8,8,8-Undecafluorooctanoic Acid",2,"C18-Neg-001502; C18-Neg-001503",TRUE
"4-Acetamidobutanoic Acid",2,"C18-Pos-000329; C18-Pos-000543",TRUE
"4-Methoxychalcone",2,"C8-Pos-000082; C8-Pos-000155",TRUE
"4-Oxoproline",2,"C18-Neg-000045; C18-Neg-000051",TRUE
"5'-Cytidylic Acid",2,"Amide-Pos-001290; Amide-Pos-001291",TRUE
"5,5-Dimethyloxazolidine-2,4-Dione",2,"Amide-Neg-000292; Amide-Neg-000296",TRUE
"5-Methylcytosine",2,"Amide-Pos-000295; Amide-Pos-000296",TRUE
"6-Gingerol",2,"Amide-Neg-001642; C18-Neg-001096",TRUE
"7-Methylguanine",2,"Amide-Pos-000582; Amide-Pos-000584",TRUE
"7-Methylguanosine",2,"Amide-Pos-001185; C18-Pos-001732",TRUE
"8z,11z,14z-Eicosatrienoic Acid",2,"C8-Neg-000432; C8-Neg-000433",TRUE
