"gene","estimate","std_error","t_value","p_value","r_squared","n_samples","adj_p_value"
"CDKN1C",0.00280438047448896,0.000115914221235125,24.1935842263949,3.45265463866746e-85,0.548919923900621,483,1.08267772118379e-84
"CES5A",0.00212709120957136,8.79240097709225e-05,24.1923817523028,3.49834001166806e-85,0.548895309965312,483,1.0969096949383e-84
"KCNJ9",0.00176479962577232,7.29523627566023e-05,24.1911236194005,3.54678752761899e-85,0.548869555161116,483,1.11200523050077e-84
"OCEL1",0.00180483345008468,7.4607602604928e-05,24.1910125385193,3.551097082556e-85,0.548867281185822,483,1.11326102783385e-84
"TSC22D2",0.00248210578393534,0.00010261513913966,24.1884950383118,3.65018449924953e-85,0.548815741217483,483,1.14422671414344e-84
"PCYT2",0.00217454803185174,8.99017611572056e-05,24.1880470845197,3.66810339066466e-85,0.548806569732272,483,1.14974530323591e-84
"GRK7",0.00177311780904984,7.33075565266989e-05,24.1873811249467,3.69490566144713e-85,0.548792934382863,483,1.15804715156786e-84
"TMEM150C",0.00370212446936091,0.000153062672009325,24.1869844604266,3.71096286620122e-85,0.548784812566542,483,1.16298017769203e-84
"GSAP",0.00290778338012201,0.000120224197300109,24.186340565564,3.73717686025092e-85,0.54877162830129,483,1.17109512706639e-84
"HIC1",0.00138037469499616,5.7072995363188e-05,24.1861266648446,3.74592602824331e-85,0.548767248419181,483,1.17373631516708e-84
"ENSG00000219410",0.00178841008552393,7.39458292414603e-05,24.1854084790112,3.77545211305934e-85,0.548752542336247,483,1.18288666563746e-84
"ASXL3-DT",0.0017643458760601,7.29528147787363e-05,24.1847539592723,3.80256348341342e-85,0.548739139470936,483,1.1912789605175e-84
"ENSG00000269694",0.00155634537510431,6.43528319662739e-05,24.1845669809833,3.81034416123665e-85,0.54873531056132,483,1.1936143575345e-84
"ANTKMT",0.00284780457307951,0.00011775535531121,24.1840769411564,3.830811710886e-85,0.548725275441208,483,1.19992325744712e-84
"CD81-AS1",0.0027379456229595,0.000113213522642418,24.1839098285743,3.83781664038887e-85,0.548721853225368,483,1.20201454868481e-84
"ZNF793-AS1",0.00195319089934906,8.07650213715206e-05,24.1836238780195,3.8498326872754e-85,0.548715997319968,483,1.20567484330107e-84
"TMC5",0.00171237253443735,7.08156400919967e-05,24.1807111001581,3.97439670227854e-85,0.548656342602698,483,1.24457880819748e-84
"THBS4",0.00229988269643078,9.51140638013301e-05,24.1802589912956,3.99408922448163e-85,0.548647082484164,483,1.25063851131673e-84
"ENSG00000289832",0.00111459546000945,4.60970384922568e-05,24.1793290082329,4.03490396451203e-85,0.548628033869728,483,1.26331045006414e-84
"KATNAL2",0.00257272406759173,0.00010640434299797,24.1787505575858,4.06050098713569e-85,0.548616185165862,483,1.27121602919188e-84
"FLJ40288",0.00130897052487629,5.41406198617221e-05,24.1772356544765,4.12830941066094e-85,0.548585153017196,483,1.29233419710795e-84
"ENSG00000289309",0.00138600900774133,5.73280915381626e-05,24.1767861192218,4.14864811509983e-85,0.54857594403105,483,1.29859000859513e-84
"ENSG00000233735",0.00231656752295835,9.58183552863587e-05,24.1766571345872,4.15450236170396e-85,0.54857330166947,483,1.30031128215316e-84
"ENSG00000267098",0.00247034802914316,0.000102180904145548,24.1762201049264,4.17439940459449e-85,0.548564348614459,483,1.30642711872244e-84
"DENND3-AS1",0.00152591440415908,6.3117007722852e-05,24.1759623786254,4.18617779787745e-85,0.548559068704297,483,1.31000130044889e-84
"ENSG00000260495",0.00207008645430257,8.56312644485285e-05,24.1744235313361,4.25720005390706e-85,0.548527541708627,483,1.33211276092677e-84
"SPINK13",0.00238226606476719,9.85473202239629e-05,24.1738289722455,4.28496240256184e-85,0.548515360090803,483,1.34068521910739e-84
"AKAP13-AS1",0.00313250777570933,0.000129583084759851,24.1737398173121,4.2891409906477e-85,0.548513533410018,483,1.34187792155272e-84
"ARHGAP5",0.00272938651203024,0.000112907598910239,24.1736299272479,4.29429701938088e-85,0.548511281879479,483,1.34337619090178e-84
"HIRIP3",0.00232174882718781,9.60500937239402e-05,24.1722702932576,4.35860618376115e-85,0.548483423414036,483,1.36337737780203e-84
"GLT1D1",0.00321025208365817,0.000132819021841247,24.1701229172977,4.46214275215555e-85,0.548439420556752,483,1.39564447833805e-84
"LINC02211",0.00178061832595193,7.36713067743363e-05,24.1697670900038,4.47953517772687e-85,0.54843212868712,483,1.40096467571355e-84
"TIMM8B",0.00287739942604904,0.000119050799226805,24.1695095264945,4.49216687946197e-85,0.548426850429905,483,1.40479518544063e-84
"MIR124-2HG",0.0036393545765662,0.000150578102075246,24.1692153534221,4.50663762240577e-85,0.548420821849607,483,1.40920009850112e-84
"HIVEP1",0.00279002322745944,0.000115444656473654,24.1676255331589,4.58565372488098e-85,0.548388239652515,483,1.43378550393391e-84
"FBXO16",0.00271131294923094,0.000112188343915602,24.1675102296779,4.59143806921308e-85,0.548385876492969,483,1.43547146468633e-84
"CDR2",0.00292004491859101,0.000120826407847561,24.1672741134128,4.60330592670587e-85,0.548381037218016,483,1.43905893023436e-84
"DOCK4",0.00288594042877074,0.00011942050414913,24.166205370954,4.65740886129211e-85,0.548359132309196,483,1.45584794157759e-84
"TMCC1-DT",0.00233943931573366,9.68065652613365e-05,24.1661225085114,4.66163008195072e-85,0.548357433915117,483,1.45704301528242e-84
"PLEKHD1",0.00170278887370533,7.0466781551337e-05,24.1644195494412,4.74923572426478e-85,0.548322527592646,483,1.48429836450639e-84
"ALMS1P1",0.00277616899353093,0.000114898034609306,24.162023336351,4.87530084437765e-85,0.54827340635747,483,1.52356793398446e-84
"ENSG00000263089",0.00175018191406537,7.24360197454149e-05,24.1617626177777,4.88921764524434e-85,0.548268061399398,483,1.52778660309479e-84
"POU2F2",0.00334908455038809,0.000138612234664472,24.1615363787689,4.90132617531885e-85,0.5482634232467,483,1.53143955033181e-84
"FLACC1",0.00278052870982736,0.00011508163626017,24.1613588421815,4.91084910840664e-85,0.548259783511825,483,1.5342840625138e-84
"MORN3",0.00268161958981201,0.000110988247186305,24.1612932701841,4.9143710212597e-85,0.548258439191076,483,1.53525336572664e-84
"ENSG00000259543",0.00362793949594008,0.000150159230762523,24.1606158843319,4.95090204446659e-85,0.548244551547012,483,1.5465336954741e-84
"IDI1",0.00296746535454878,0.000122830242651644,24.159077524293,5.03487709738741e-85,0.548213010638217,483,1.57263112273034e-84
"ENSG00000256443",0.00172647152795075,7.14647688526827e-05,24.1583588062769,5.0745969346617e-85,0.548198273982288,483,1.58490227129997e-84
"ENSG00000286918",0.00139851639181752,5.7898426008356e-05,24.1546530404071,5.28442515632948e-85,0.548122282340862,483,1.65029518319499e-84
"HEIH",0.00218678677446482,9.05404733884358e-05,24.1525882583261,5.40508010036017e-85,0.548079935215606,483,1.68783101854277e-84
"MTLN",0.00260863696872711,0.000108011486654463,24.1514773060419,5.47113460200787e-85,0.548057148634935,483,1.70831195915632e-84
"GJC1",0.00346897780471787,0.000143641220885806,24.1502946252155,5.54234158002316e-85,0.548032889467247,483,1.73039808252446e-84
"IDH3G",0.00275764445441332,0.000114189366516155,24.1497482519371,5.57555004302702e-85,0.548021681771692,483,1.7406177720679e-84
"DPF1",0.00311392562459847,0.000128944334097359,24.1493792371467,5.59809123652334e-85,0.548014112040464,483,1.74750581290892e-84
