Name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Compound.ID,Super.Class,Class,Direction,FDR_label
Ps(22:0_22:4),3.045138002457231,21.437949694061214,1.773923909458888,0.08991875783669138,0.6726368013824302,-4.2284898597501765,C8-Neg-003577,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
Cholest-4-En-3-One,6.5561792874542215,16.745763175725383,1.7284462600769288,0.10202561469416786,0.6726368013824302,-4.253448107196002,C8-Pos-001061,Lipids and lipid-like molecules,Steroids and steroid derivatives,Higher in Males,
L-Aspartic Acid,-8.88865973396221,18.05227564062134,-1.7492520728369085,0.09418658533746709,0.6726368013824302,-4.261032627388167,C18-Pos-000393,Organic acids and derivatives,Carboxylic acids and derivatives,Higher in Females,
D-(+)-Glucose,5.331032931387746,18.797435757465806,1.7488814635637882,0.09425199679393474,0.6726368013824302,-4.261519005538799,Amide-Neg-000605,Organic oxygen compounds,Organooxygen compounds,Higher in Males,
Pc(18:1_22:6),3.9472891808876223,19.927963888370915,1.7424113446826965,0.09540024055923155,0.6726368013824302,-4.269998398373319,C8-Pos-004991,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
Pc(30:8_11:3cooh),2.0705575348772274,21.75612800224696,1.741997234203215,0.09547413829192658,0.6726368013824302,-4.2705403467004315,C8-Neg-003628,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
Pc(20:4cooh_23:6),5.282812409428336,17.486150437855173,1.7410757432740016,0.09630255494371806,0.6726368013824302,-4.273363826923434,C8-Neg-003538,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
Cl(12:0cooh_22:0_24:1_21:2),2.11223331509436,19.26297918330438,1.7191777273844222,0.10614290606606845,0.6726368013824302,-4.2759196608359336,C8-Neg-003274,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
Solanidine,-3.181540312791219,18.306150296594375,-1.7238614566577894,0.09875884206779578,0.6726368013824302,-4.294184276262848,C8-Pos-001317,Lipids and lipid-like molecules,Steroids and steroid derivatives,Higher in Females,
Peg N8,10.110555707418577,17.028558103303713,1.7034377798269285,0.10397589027586371,0.6726368013824302,-4.295355036156479,C8-Pos-001222,Organic oxygen compounds,Organooxygen compounds,Higher in Males,
L-Glutamic Acid,11.2476323887114,19.21819065661258,1.6595077288265967,0.12289900779302755,0.6726368013824302,-4.296162990723037,Amide-Pos-000319,Organic acids and derivatives,Carboxylic acids and derivatives,Higher in Males,
"N6,N6,N6-Trimethyl-L-Lysine",10.043918866940304,15.872244253649683,1.7111129674081393,0.10252644196791419,0.6726368013824302,-4.303640978322878,Amide-Pos-000686,Organic acids and derivatives,Carboxylic acids and derivatives,Higher in Males,
Ethyl 3-Oxo-3-(1h-Pyrazol-5-Ylamino)Propanoate,2.505683356614762,21.190626169152733,1.7158341777597705,0.10024323877439659,0.6726368013824302,-4.304592827828161,Amide-Pos-000718,Organic nitrogen compounds,Organonitrogen compounds,Higher in Males,
D-Tyrosine,5.595264564296207,21.084548384610773,1.6479848925536398,0.11669985649252598,0.6726368013824302,-4.310849797577639,Amide-Neg-000781,Organic acids and derivatives,Carboxylic acids and derivatives,Higher in Males,
Pe(19:1cooh_24:4),-4.2645489566586114,20.20666346754718,-1.6944288592099392,0.10429470664940377,0.6726368013824302,-4.332176195723071,C8-Neg-003487,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Females,
Pe 21:2_21:2,4.019153254842868,17.437654073302543,1.6899916033213633,0.10515174690180258,0.6726368013824302,-4.337862675424503,C8-Pos-004750,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
Dg(2:0_18:2),1.6775948660292668,19.33769179800047,1.6897436239962143,0.10519981902973513,0.6726368013824302,-4.338180148170061,C8-Pos-001468,Lipids and lipid-like molecules,Glycerolipids,Higher in Males,
Pi(29:7_11:0),14.399926741656369,18.847622350326215,1.6815126815070005,0.10680604198260156,0.6726368013824302,-4.348698429295175,C8-Pos-005326,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
L-2-Aminoadipic Acid,4.699953688406555,24.147198587378288,1.6583169023604083,0.11367120864863249,0.6726368013824302,-4.3535002254847806,Amide-Pos-000447,Organic acids and derivatives,Carboxylic acids and derivatives,Higher in Males,
Gly-Met-Arg,6.347610851594695,17.032353621320393,1.6726964841911867,0.10854946916186196,0.6726368013824302,-4.359922929584064,C8-Pos-001359,Organic acids and derivatives,Carboxylic acids and derivatives,Higher in Males,
Pc(9:0cho_26:1),13.057034976474151,17.974074207391617,1.6395017263519156,0.11674381551280069,0.6726368013824302,-4.361660083640203,C8-Pos-004612,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
L-Glutathione (Reduced),23.34188033542078,24.57907822303517,1.5749325402283725,0.14125372829031035,0.6726368013824302,-4.364166138833618,C18-Pos-001855,Organic acids and derivatives,Carboxylic acids and derivatives,Higher in Males,
Hypoxanthtine,2.5543917110069327,20.928021088792192,1.6699834209014004,0.1097619757616039,0.6726368013824302,-4.364492026605914,Amide-Pos-000411,Organoheterocyclic compounds,Imidazopyrimidines,Higher in Males,
