Name,Compound.ID_Batch1,Compound.ID_Batch2,Sample10,Sample19,Sample32,Sample35,Sample01,Sample08,Sample09,Sample20,Sample02,Sample03,Sample04,Sample06,Sample07,Sample13,Sample15,Sample17,Sample18,Sample21,Sample23,Sample24,Sample26,Sample31,Sample33,Sample37,Sample40,Sample41,Sample42,Sample43,Sample46,Sample47,Sample49,Sample50,Detected_Batch1,Detected_Batch2,Detected_Both
"1,2-Diarachidonoyl-sn-glycero-3-phosphocholine",C8-Pos-000151,C8-Pos-000097,9604753.81471503,12593431.2480752,11537147.6177212,12010634.5628928,16628857.3860272,11887601.2856025,10696183.2477489,10008130.9439009,20874825.2887667,23316845.5035795,24860049.0072765,22907948.6861897,25669132.8736795,27894809.962235,28592369.7143085,28319503.304912,24991662.3736632,17904653.2851935,21039652.8035011,24482826.6125442,22428304.9105601,19468824.2734131,32721314.9648025,22427752.6062925,23164408.3384013,17295625.2758251,22703896.9662792,23903351.221258,26071995.0848123,21591271.0286475,20980663.9652781,20497741.44868,TRUE,TRUE,TRUE
"1,2-Dilinolenoyl-sn-glycero-3-phosphoethanolamine",C8-Pos-000165,C8-Pos-000295,5828527.29554278,10467873.6319372,8747881.12138463,8579131.62594968,9214572.25294699,13593173.3293563,6571385.59536466,NA,4770618.11958427,3785265.92205277,3793073.41281718,3082820.50428629,3852002.14493506,3046841.75428259,3339040.13582722,3024374.7836943,3047771.31424712,2878434.52551971,2781710.49433277,2582214.8646656,4056498.05364188,2981317.5119412,3134579.45446256,3435725.51414515,3600378.4921719,3917590.66590502,3312210.43800647,2879058.87435311,3570597.8032774,4209741.56161992,3655098.09567768,2796113.65002437,TRUE,TRUE,TRUE
"1,2-Dilinoleoyl-sn-glycero-3-phosphocholine",C8-Pos-000016,NA,450350747.485388,779091412.902727,676499392.53529,607790238.194414,664351433.924971,760532194.685799,486748766.679337,523281886.92455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
"1,2-Dilinoleoyl-sn-glycero-3-phosphoethanolamine",C8-Pos-000053,C8-Pos-000110,44625606.6853289,77624340.0963603,78231158.0226542,67278322.6608085,66644810.0978992,120608840.195802,64293482.9088989,60477565.2636902,20233391.2288661,19479551.9061302,24438932.128186,18398199.037255,24348226.3872894,18280323.4434448,26453090.4642314,14909947.8483666,13796997.3365006,17506393.9067703,14663877.2571827,10834248.586722,18378548.1001752,13176942.2689194,18734004.0026558,21925818.704878,16097127.561677,17579492.2861758,16771578.0712626,14139842.4684991,20324225.1164088,17954769.47162,17082111.0302239,23143432.7635333,TRUE,TRUE,TRUE
"1,2-Dilinoleoylglycerol",C8-Pos-000185,NA,NA,8472047.01172181,6810196.42026294,7953202.81549076,7399857.20443528,9662853.09739001,7241739.94348958,10657340.1497888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
"1,2-Dimyristoyl-sn-glycero-3-phosphoethanolamine",C8-Pos-000387,NA,448576.535473632,736596.787861968,517692.564023508,1097227.37668398,1115130.14274142,1491432.74375365,508574.382432754,433286.037829401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
"1,2-Dioleoyl-sn-glycero-3-phospho-L-serine",C8-Neg-000039,NA,1260552.62762425,16340045.0000221,12504805.8935495,10446251.2046085,11128025.5376534,4252956.5756493,5673033.24372886,994544.520480574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
"1,2-Dioleoyl-sn-glycero-3-phospho-rac-1-glycerol",C8-Neg-000135,NA,186428.030175472,846838.33339518,387791.763273296,511018.972466877,207691.424944265,1514917.33123486,149307.33422288,75166.7934911806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
"1,2-Dipalmitoleoyl-sn-glycero-3-phosphocholine",C8-Pos-000012,C8-Pos-000008,476221479.302931,974704607.469279,1018285602.71122,912492125.637419,1046340246.2802,1047710686.41892,523227831.720197,463702842.843491,473983934.269542,607391018.557895,450275247.494813,603746930.200183,581138444.154186,623128367.036754,525249944.218973,660549574.651823,557441007.633149,619774912.997127,739765822.904286,822210296.994865,567392450.309982,620166230.224499,729472897.005037,527332488.868741,649871390.170449,511607092.66464,497907009.337001,580503949.483304,672483286.207528,569546777.792681,636733277.322426,526876779.878017,TRUE,TRUE,TRUE
"1,2-Dipalmitoleoyl-sn-glycero-3-phosphoethanolamine",C8-Pos-000262,NA,3029719.45236997,2709718.53993248,4022053.01763826,3755799.78004625,4627223.19926268,2533507.0413623,3520771.2032889,2959980.29632175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
