Compound.ID,Name,Super.Class,Class,n_genes,n_cell_types
Amide-Neg-000749,"N2-[5-Phenyl-4-(Trifluoromethyl)-1,3-Thiazol-2-Yl]Thiophene-2-Carboxamide",Organoheterocyclic compounds,Azoles,2,2
Amide-Neg-000787,D-(-)-Mannitol,Organic oxygen compounds,Organooxygen compounds,2,2
Amide-Neg-001431,D-Glucose 6-Phosphate,Organic oxygen compounds,Organooxygen compounds,2,2
Amide-Pos-000200,Creatine,Organic acids and derivatives,Carboxylic acids and derivatives,2,1
Amide-Pos-000303,1h-Imidazole-1-Acetic Acid,Organic acids and derivatives,Carboxylic acids and derivatives,2,2
Amide-Pos-000372,Asparagine,Organic acids and derivatives,Carboxylic acids and derivatives,2,2
Amide-Pos-000448,Proline Betaine,Organic acids and derivatives,Carboxylic acids and derivatives,2,2
Amide-Pos-000604,D-Histidine Methyl Ester,Organic acids and derivatives,Carboxylic acids and derivatives,2,2
Amide-Pos-000621,Citrulline,Organic acids and derivatives,Carboxylic acids and derivatives,2,2
Amide-Pos-000754,Acetyl-L-Carnitine,Lipids and lipid-like molecules,Fatty Acyls,2,2
Amide-Pos-000757,Sb01966,Organic oxygen compounds,Organooxygen compounds,2,2
Amide-Pos-000937,Cytarabine,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,2,2
Amide-Pos-000960,Pro-Glu,Organic acids and derivatives,Carboxylic acids and derivatives,2,2
Amide-Pos-001385,"[2,2'-Biquinoline]-4,4'-Dicarboxylic Acid",Organoheterocyclic compounds,Quinolines and derivatives,2,2
Amide-Pos-001617,Uridine 5'-Diphosphate,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,2,2
Amide-Pos-001703,Guanosine 5'-Diphosphate (Gdp),"Nucleosides, nucleotides, and analogues",Purine nucleotides,2,2
Amide-Pos-001947,Udp-Β-D-Glucose (Sodium Salt),"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,2,1
Amide-Pos-002176,"1,2-Dipentadecanoyl-Sn-Glycero-3-Phosphocholine",Lipids and lipid-like molecules,Glycerophospholipids,2,1
Amide-Pos-002228,1-Oleoyl-2-Myristoyl-Sn-Glycero-3-Phosphocholine,Lipids and lipid-like molecules,Glycerophospholipids,2,1
Amide-Pos-002276,2-Oleoyl-1-Palmitoyl-Sn-Glycero-3-Phosphocholine,Lipids and lipid-like molecules,Glycerophospholipids,2,3
C18-Neg-001640,2'-Guanylic Acid,Organic oxygen compounds,Organooxygen compounds,2,1
C18-Pos-000375,L-Isoleucine,Organic acids and derivatives,Carboxylic acids and derivatives,2,2
C18-Pos-000384,Cis-4-Hydroxy-D-Proline,Organic acids and derivatives,Carboxylic acids and derivatives,2,1
C18-Pos-000538,Indole-3-Carboxaldehyde,Organoheterocyclic compounds,Indoles and derivatives,2,2
C18-Pos-001046,L-Kynurenine,Organic oxygen compounds,Organooxygen compounds,2,2
C18-Pos-001104,Propionylcarnitine,Lipids and lipid-like molecules,Fatty Acyls,2,2
C18-Pos-001412,Glucose 1-Phosphate,Organic oxygen compounds,Organooxygen compounds,2,2
C18-Pos-001618,Guanosine,"Nucleosides, nucleotides, and analogues",Purine nucleosides,2,2
C18-Pos-001733,N2-Methylguanosine,"Nucleosides, nucleotides, and analogues",Purine nucleosides,2,2
C18-Pos-002507,2-(Alpha-D-Mannopyranosyl)-L-Tryptophan,Organoheterocyclic compounds,Indoles and derivatives,2,2
C8-Neg-000301,Ala-Pro-Asn,Organic acids and derivatives,Carboxylic acids and derivatives,2,2
C8-Neg-000566,Docosatrienoic Acid,Lipids and lipid-like molecules,Fatty Acyls,2,1
C8-Neg-000679,Lithocholic Acid,Lipids and lipid-like molecules,Steroids and steroid derivatives,2,1
C8-Neg-001716,Lpi(O-14:1),Lipids and lipid-like molecules,Glycerophospholipids,2,2
C8-Neg-003063,Pi(O-5:0_21:0),Lipids and lipid-like molecules,Glycerophospholipids,2,1
C8-Neg-003216,Sqdg(2:0_28:0),Lipids and lipid-like molecules,Glycerolipids,2,2
C8-Neg-003242,Cl(18:0_17:1cho_22:4_22:4),Lipids and lipid-like molecules,Glycerophospholipids,2,2
C8-Neg-003536,Pi 38:6,Lipids and lipid-like molecules,Glycerophospholipids,2,1
C8-Neg-003546,Ps(23:4_21:5),Lipids and lipid-like molecules,Glycerophospholipids,2,1
C8-Neg-003554,Ps(24:2_20:5),Lipids and lipid-like molecules,Glycerophospholipids,2,2
C8-Neg-003571,Pc(20:2_21:4),Lipids and lipid-like molecules,Glycerophospholipids,2,2
C8-Neg-003619,Ps(22:3_24:7),Lipids and lipid-like molecules,Glycerophospholipids,2,2
C8-Neg-003713,Pc(20:3_25:5),Lipids and lipid-like molecules,Glycerophospholipids,2,2
C8-Neg-003730,Pc(18:3cho_26:8),Lipids and lipid-like molecules,Glycerophospholipids,2,2
C8-Neg-003807,Sqdg(14:0_30:6),Lipids and lipid-like molecules,Glycerolipids,2,2
C8-Pos-000148,Palmitoleic Acid,Lipids and lipid-like molecules,Fatty Acyls,2,2
C8-Pos-000382,D-Sphingosine,Organic nitrogen compounds,Organonitrogen compounds,2,2
C8-Pos-000495,"17-(1-Hydroxyethyl)-10,13-Dimethyl-2,3,6,7,8,9,10,11,12,13,14,15,16,17-Tetradecahydro-1h-Cyclopenta[A]Phenanthren-3-One",Lipids and lipid-like molecules,Steroids and steroid derivatives,2,2
C8-Pos-000616,Progesterone,Lipids and lipid-like molecules,Steroids and steroid derivatives,2,2
C8-Pos-000832,1-Stearoylglycerol,Lipids and lipid-like molecules,Glycerolipids,2,2
C8-Pos-000887,5-(Z-Heptadec-8-Enyl) Resorcinol,Benzenoids,Phenols,2,2
C8-Pos-001297,Bis(4-Ethylbenzylidene)Sorbitol,Organoheterocyclic compounds,Dioxanes,2,1
C8-Pos-001356,Citroflex A-4,Organic acids and derivatives,Carboxylic acids and derivatives,2,2
C8-Pos-001872,Pe(O-10:0_6:0),Lipids and lipid-like molecules,Glycerophospholipids,2,1
C8-Pos-002720,Lpc 22:6-Sn1,Lipids and lipid-like molecules,Glycerophospholipids,2,2
C8-Pos-002819,Pe(7:0_16:0cho),Lipids and lipid-like molecules,Glycerophospholipids,2,1
C8-Pos-003474,"1,2-Dimyristoyl-Sn-Glycero-3-Pc",Lipids and lipid-like molecules,Glycerophospholipids,2,2
C8-Pos-003694,Tg(15:1cooh_24:0),Lipids and lipid-like molecules,Glycerolipids,2,2
C8-Pos-003759,Pe 16:0_18:1,Lipids and lipid-like molecules,Glycerophospholipids,2,2
C8-Pos-003944,Pc(O-24:5_10:0),Lipids and lipid-like molecules,Glycerophospholipids,2,1
C8-Pos-003992,Bismepa(18:0_19:1),Lipids and lipid-like molecules,"Derivatized lipids (biotinylation, diazomethane)",2,1
C8-Pos-004019,Pa(18:1_20:0),Lipids and lipid-like molecules,Glycerophospholipids,2,1
C8-Pos-004340,Pc(19:1_15:0),Lipids and lipid-like molecules,Glycerophospholipids,2,2
C8-Pos-004421,Tg(11:0_9:2cho_26:8),Lipids and lipid-like molecules,Glycerolipids,2,1
C8-Pos-004446,Pc 38:4,Lipids and lipid-like molecules,Glycerophospholipids,2,2
C8-Pos-004628,Pc(9:0_28:7),Lipids and lipid-like molecules,Glycerophospholipids,2,2
C8-Pos-004650,Tg(39:10_9:2cho),Lipids and lipid-like molecules,Glycerolipids,2,2
C8-Pos-004750,Pe 21:2_21:2,Lipids and lipid-like molecules,Glycerophospholipids,2,2
C8-Pos-004762,Pc(24:6_14:1),Lipids and lipid-like molecules,Glycerophospholipids,2,2
C8-Pos-004831,2-Docosahexaenoyl-1-Stearoyl-Sn-Glycero-3-Phosphoserine,Lipids and lipid-like molecules,Glycerophospholipids,2,2
C8-Pos-004855,Pc(14:1_25:7),Lipids and lipid-like molecules,Glycerophospholipids,2,1
C8-Pos-004875,Ps 20:2_20:2,Lipids and lipid-like molecules,Glycerophospholipids,2,2
C8-Pos-005020,Pc(11:1_29:4),Lipids and lipid-like molecules,Glycerophospholipids,2,2
C8-Pos-005046,Ps(18:3_24:4),Lipids and lipid-like molecules,Glycerophospholipids,2,1
C8-Pos-005260,Tg(15:0_15:0_24:6),Lipids and lipid-like molecules,Glycerolipids,2,1
Amide-Neg-000047,Dl-Alanine,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
Amide-Neg-000051,Dl-Lactic Acid,Organic acids and derivatives,Hydroxy acids and derivatives,1,1
Amide-Neg-000104,Ethyl Acetoacetate,Organic acids and derivatives,Keto acids and derivatives,1,1
Amide-Neg-000196,Maleic Acid,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
Amide-Neg-000220,"L-Threonic Acid-1,4-Lactone",Organoheterocyclic compounds,Lactones,1,1
Amide-Neg-000235,D-Threonine,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
Amide-Neg-000318,N-Acetylalanine,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
Amide-Neg-000323,6-Aminocaproic Acid,Lipids and lipid-like molecules,Fatty Acyls,1,1
Amide-Neg-000331,D-Asparagine,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
Amide-Neg-000333,2-Methylsuccinic Acid,Lipids and lipid-like molecules,Fatty Acyls,1,1
Amide-Neg-000449,O-Phosphocolamine,Organic acids and derivatives,Organic phosphoric acids and derivatives,1,1
Amide-Neg-000499,D-(+)-Ribonic Acid Gamma-Lactone,Organic oxygen compounds,Organooxygen compounds,1,1
Amide-Neg-000527,D-(+)-Arabitol,Organic oxygen compounds,Organooxygen compounds,1,1
Amide-Neg-000605,D-(+)-Glucose,Organic oxygen compounds,Organooxygen compounds,1,1
Amide-Neg-000658,Dihydroxyacetone Phosphate,Organic oxygen compounds,Organooxygen compounds,1,1
Amide-Neg-000766,I-Inositol,Organic oxygen compounds,Organooxygen compounds,1,1
Amide-Neg-000781,D-Tyrosine,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
Amide-Neg-000783,Dl-P-Hydroxyphenyllactic Acid,Benzenoids,Benzene and substituted derivatives,1,1
Amide-Neg-001243,D-Ribose 5-Phosphate,Organic oxygen compounds,Organooxygen compounds,1,1
Amide-Neg-001626,Uridine 5'-Diphosphoglucuronic Acid,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,1,1
Amide-Neg-001697,Udp-N-Acetylglucosamine,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,1,1
Amide-Neg-001873,"D-Fructose-1,6-Bisphosphate",Organic oxygen compounds,Organooxygen compounds,1,1
Amide-Neg-002264,2-Oleoyl-1-Stearoyl-Sn-Glycero-3-Phosphoserine,Lipids and lipid-like molecules,Glycerophospholipids,1,1
Amide-Pos-000026,Beta-Alanine,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
Amide-Pos-000235,"N,N-Dimethyl-Beta-Alanine Hcl",Organic nitrogen compounds,Organonitrogen compounds,1,1
Amide-Pos-000236,Dl-Valine,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
Amide-Pos-000314,4-Piperidinecarboxamide,Organoheterocyclic compounds,Piperidines,1,1
Amide-Pos-000365,Triethanolamine,Organic nitrogen compounds,Organonitrogen compounds,1,1
Amide-Pos-000447,L-2-Aminoadipic Acid,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
Amide-Pos-000467,Acetylcholine,Organic nitrogen compounds,Organonitrogen compounds,1,1
Amide-Pos-000558,Delta-Valerobetaine,Lipids and lipid-like molecules,Fatty Acyls,1,1
Amide-Pos-000601,3-Methylhistidine,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
Amide-Pos-000682,"Ne,Ne,Ne-Trimethyllysine",Organic acids and derivatives,Carboxylic acids and derivatives,1,1
Amide-Pos-000781,Phosphoserine,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
Amide-Pos-000866,Pro-Asp,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
Amide-Pos-001025,5-Methylcytidine,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,1,1
Amide-Pos-001079,Inosine,"Nucleosides, nucleotides, and analogues",Purine nucleosides,1,1
Amide-Pos-001381,O-Dodecanoylcarnitine,Lipids and lipid-like molecules,Fatty Acyls,1,1
Amide-Pos-001479,Xanthosine 5'-Monophosphate,"Nucleosides, nucleotides, and analogues",Purine nucleotides,1,1
Amide-Pos-001508,Tetradecanoyl-L-Carnitine,Lipids and lipid-like molecules,Fatty Acyls,1,1
Amide-Pos-001677,Adenosine 5'-Diphosphate,"Nucleosides, nucleotides, and analogues",Purine nucleotides,1,1
Amide-Pos-001983,Gdp-L-Fucose,"Nucleosides, nucleotides, and analogues",Purine nucleotides,1,1
Amide-Pos-002226,N-(Octadecanoyl)Sphing-4-Enine-1-Phosphocholine,Lipids and lipid-like molecules,Sphingolipids,1,1
Amide-Pos-002283,2-Oleoyl-1-Palmitoyl-Sn-Glycero-3-Phosphoserine,Lipids and lipid-like molecules,Glycerophospholipids,1,1
Amide-Pos-002307,"1,2-Dioleoyl-Sn-Glycero-3-Phosphatidylcholine",Lipids and lipid-like molecules,Glycerophospholipids,1,1
C18-Pos-000393,L-Aspartic Acid,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
C18-Pos-000721,L-Phenylalanine,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
C18-Pos-000839,Triethyl Phosphate,Organic acids and derivatives,Organic phosphoric acids and derivatives,1,1
C18-Pos-000888,(2s)-2-[(2-Azaniumylacetyl)Amino]-4-Methylpentanoate,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
C18-Pos-001015,D-(+)-Tryptophan,Organoheterocyclic compounds,Indoles and derivatives,1,1
C18-Pos-001333,Asp-Leu,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
C18-Pos-001425,(2r)-3-Hydroxyisovaleroylcarnitine,Lipids and lipid-like molecules,Fatty Acyls,1,1
C18-Pos-001855,L-Glutathione (Reduced),Organic acids and derivatives,Carboxylic acids and derivatives,1,1
C18-Pos-002017,Uridine Monophosphate,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,1,1
C18-Pos-002221,Cocamidopropyl Betaine,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
C18-Pos-004537,1-Linoleoyl-Sn-Glycero-3-Phosphorylcholine,Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Neg-000519,4-Dodecylbenzenesulfonic Acid,Benzenoids,Benzene and substituted derivatives,1,1
C8-Neg-002321,"(2s)-2-Hydroxy-3-[(Hydroxy{[(1s,2r,3r,4s,5s,6r)-2,3,4,5,6-Pentahydroxycyclohexyl]Oxy}Phosphoryl)Oxy]Propyl (12z)-12-Octadecenoate",Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Neg-002641,Lpc(23:5),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Neg-003309,Cl(18:0_20:1cho_23:1_21:2),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Neg-003393,Ps(18:2_22:4),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Neg-003419,Ps(23:1_17:2),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Neg-003470,Pc(20:2cho_22:5),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Neg-003489,Ps(16:1_26:4),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-000007,9-Methoxy-9-Oxononanoic Acid,Lipids and lipid-like molecules,Fatty Acyls,1,1
C8-Pos-000098,Dibenzoylmethane,Phenylpropanoids and polyketides,"Linear 1,3-diarylpropanoids",1,1
C8-Pos-000500,Rjipnphmqgdubw-Lrankocbsa-N,Lipids and lipid-like molecules,Prenol lipids,1,1
C8-Pos-000582,Monopalmitolein (9c),Lipids and lipid-like molecules,Glycerolipids,1,1
C8-Pos-000709,Stearoyl Ethanolamide,Organic nitrogen compounds,Organonitrogen compounds,1,1
C8-Pos-000768,Penicillin G,Organic acids and derivatives,Carboxylic acids and derivatives,1,1
C8-Pos-000909,Sphp(D16:2),Lipids and lipid-like molecules,Sphingolipids,1,1
C8-Pos-000955,3-Hexadecyl-4-Methoxy-5-Methyloxolan-2-One,Organoheterocyclic compounds,Lactones,1,1
C8-Pos-001064,4-Cholestenone,Lipids and lipid-like molecules,Steroids and steroid derivatives,1,1
C8-Pos-001317,Solanidine,Lipids and lipid-like molecules,Steroids and steroid derivatives,1,1
C8-Pos-001468,Dg(2:0_18:2),Lipids and lipid-like molecules,Glycerolipids,1,1
C8-Pos-001474,Diosgenin,Lipids and lipid-like molecules,Prenol lipids,1,1
C8-Pos-002412,Lpe 22:3,Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-002633,Lpe 24:4,Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-003647,Lpe 34:1,Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-003830,Pe(P-11:0_23:0),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-003942,Pe(16:1_20:4),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-004173,Pe 16:0_22:5,Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-004241,Hex1cer(D24:2_12:0),Lipids and lipid-like molecules,Sphingolipids,1,1
C8-Pos-004445,Pc(P-12:1_26:4),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-004505,Pe(P-19:4_23:5),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-004593,Pc(32:2_4:0),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-004612,Pc(9:0cho_26:1),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-004614,Pc(15:2cho_22:2),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-004631,Pc(15:1cho_22:2),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-004731,Pe 18:0_24:5,Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-004801,Pc(16:1cooh_23:3),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-004803,Pi(O-16:2_18:3),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-004898,"1,2-Dieicosenoyl-Sn-Glycero-3-Phosphocholine",Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-005012,Pc(17:4cooh_23:5),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-005302,Pe(26:4_19:6cooh),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-005326,Pi(29:7_11:0),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-005434,Pi(18:0_22:6),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-005546,Pc(19:4cho_29:7),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-005741,Pc(28:1_21:0cooh),Lipids and lipid-like molecules,Glycerophospholipids,1,1
