gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,dropped_covariates,Compound.ID,Name,cell_type,n_samples,FDR_global,Super.Class,Class,Sub.Class,Pathways,KEGG,Exogenous_Flag,Annotation_Confidence,n_nonzero,max_cooks,loo_unstable
LPP,0.42375555385094804,7.588086566478009,6.429569557731218,4.340947930114601e-6,0.10217723237903749,0.9719895985883271,,Amide-Pos-000661,N8-Acetylspermidine,EN-Newborn,17,0.07568108883282289,Organic acids and derivatives,Carboximidic acids and derivatives,Carboximidic acids,NA,C01029,NA,high,17,0.26884728402150954,FALSE
SPON1,2.010612316572384,5.083690936286617,12.74371083487999,1.568714683794644e-11,3.767738927537976e-7,15.115042481225872,,Amide-Pos-000690,Gly-Asp,EN-Newborn,20,1.5779561254189065e-5,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,high,20,0.49476601094198874,FALSE
NECTIN3,0.9751904406934359,6.776384991429442,9.891128628650614,1.7393170096383786e-9,2.0887457968747288e-5,11.869207472668368,,Amide-Pos-000690,Gly-Asp,EN-Newborn,20,3.810435731931701e-4,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,high,20,0.29646235562902495,FALSE
ENSG00000233928,1.3444167177155033,3.4936382038095646,8.308016197064479,3.558217089859675e-8,2.848708602141656e-4,8.143978140468679,,Amide-Pos-000690,Gly-Asp,EN-Newborn,20,0.0032634904167337902,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,high,19,0.34263320372186473,FALSE
FRMPD4,0.968839162977682,7.920051039480065,8.154191772507998,4.853998535793064e-8,2.9145834208169454e-4,8.664794780386512,,Amide-Pos-000690,Gly-Asp,EN-Newborn,20,0.004028765862640874,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,high,20,0.35543756752822175,FALSE
SLC8A3,0.918148646953963,5.39496275372347,7.8089563724723146,9.857697480137907e-8,4.2226698410603795e-4,7.91061215587088,,Amide-Pos-000690,Gly-Asp,EN-Newborn,20,0.006387704057933343,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,high,20,0.2180653832615503,FALSE
KCNMA1,1.0913899578363118,5.984771879729846,7.5421080708153925,1.7232252510732402e-7,4.2226698410603795e-4,7.4456820339147844,,Amide-Pos-000690,Gly-Asp,EN-Newborn,20,0.009385390323552737,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,high,20,0.35367910295495897,FALSE
GRIN2B,0.8719746955307677,8.425624607612063,7.541361579352622,1.725942929588977e-7,4.2226698410603795e-4,7.379243806025901,,Amide-Pos-000690,Gly-Asp,EN-Newborn,20,0.00939068236179401,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,high,20,1.060799275868079,FALSE
PHLPP1,-0.42918855583203913,7.381736031745732,-7.400976723773112,2.3243804179310903e-7,4.2226698410603795e-4,7.137121443393003,,Amide-Pos-000690,Gly-Asp,EN-Newborn,20,0.011529945259187793,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,high,20,0.2728113274306685,FALSE
ERICH3,1.359920289834696,3.550264247722664,7.3811775242897655,2.4245576893711857e-7,4.2226698410603795e-4,6.620510771039086,,Amide-Pos-000690,Gly-Asp,EN-Newborn,20,0.011883797606733911,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,high,19,0.18791709276819016,FALSE
