set_id,set_label,condition,source,level,set_type,gene_symbol
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,RDX
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,REST
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,RGL3
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,RRBP1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,RRP1B
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,SAP130
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,SCARB1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,SCUBE1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,SEMA3C
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,SEMA5A
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,SERPINA1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,SERPINH1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,SGCD
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,SHROOM3
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,SIPA1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,SKI
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,SKP2
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,SLC22A1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,SLC2A12
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,SLC5A3
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,SMAD3
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,SMAD7
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,SMG6
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,SORT1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,SREBF1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,ST3GAL4
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,STAT2
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,SWAP70
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,SYN3
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,TARID
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,TBX20
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,TBX3
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,TCF21
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,TCF7L2
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,TFAP2B
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,TGFB1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,TIPARP
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,TNS1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,TRIB1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,TRIM5
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,TSPAN14
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,TWIST1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,UHRF1BP1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,UMPS
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,UNC13D
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,VEGFA
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,VPS11
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,WIPI1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,WT1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,XPO6
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,ZC3HC1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,ZEB2
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,ZKSCAN1
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,ZNF652
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,ZNF781
cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control,ZNF827
ibd_alegbe,IBD (Alegbe 2026),IBD,Alegbe 2026,paper,control,ABO
ibd_alegbe,IBD (Alegbe 2026),IBD,Alegbe 2026,paper,control,ADSL
ibd_alegbe,IBD (Alegbe 2026),IBD,Alegbe 2026,paper,control,ARPC3
ibd_alegbe,IBD (Alegbe 2026),IBD,Alegbe 2026,paper,control,CCND3
ibd_alegbe,IBD (Alegbe 2026),IBD,Alegbe 2026,paper,control,CCR1
ibd_alegbe,IBD (Alegbe 2026),IBD,Alegbe 2026,paper,control,CDK18
ibd_alegbe,IBD (Alegbe 2026),IBD,Alegbe 2026,paper,control,CTTNBP2
ibd_alegbe,IBD (Alegbe 2026),IBD,Alegbe 2026,paper,control,FLRT3
ibd_alegbe,IBD (Alegbe 2026),IBD,Alegbe 2026,paper,control,FOXO1
ibd_alegbe,IBD (Alegbe 2026),IBD,Alegbe 2026,paper,control,FUBP1
ibd_alegbe,IBD (Alegbe 2026),IBD,Alegbe 2026,paper,control,GATD3
ibd_alegbe,IBD (Alegbe 2026),IBD,Alegbe 2026,paper,control,GPR183
ibd_alegbe,IBD (Alegbe 2026),IBD,Alegbe 2026,paper,control,IGFBP3
ibd_alegbe,IBD (Alegbe 2026),IBD,Alegbe 2026,paper,control,LRRK2-DT
ibd_alegbe,IBD (Alegbe 2026),IBD,Alegbe 2026,paper,control,MAML2
ibd_alegbe,IBD (Alegbe 2026),IBD,Alegbe 2026,paper,control,ME2
ibd_alegbe,IBD (Alegbe 2026),IBD,Alegbe 2026,paper,control,MTHFD2L
ibd_alegbe,IBD (Alegbe 2026),IBD,Alegbe 2026,paper,control,MYC
ibd_alegbe,IBD (Alegbe 2026),IBD,Alegbe 2026,paper,control,OSER1
ibd_alegbe,IBD (Alegbe 2026),IBD,Alegbe 2026,paper,control,PRKAB1
ibd_alegbe,IBD (Alegbe 2026),IBD,Alegbe 2026,paper,control,RASGRP1
ibd_alegbe,IBD (Alegbe 2026),IBD,Alegbe 2026,paper,control,REXO1
ibd_alegbe,IBD (Alegbe 2026),IBD,Alegbe 2026,paper,control,STK10
ibd_alegbe,IBD (Alegbe 2026),IBD,Alegbe 2026,paper,control,TET2
ibd_alegbe,IBD (Alegbe 2026),IBD,Alegbe 2026,paper,control,VDR
ibd_alegbe,IBD (Alegbe 2026),IBD,Alegbe 2026,paper,control,YEATS4
t2d_xue,T2D (Xue 2018),T2D,Xue 2018,paper,control,ANKFY1
t2d_xue,T2D (Xue 2018),T2D,Xue 2018,paper,control,ANKH
t2d_xue,T2D (Xue 2018),T2D,Xue 2018,paper,control,ARAP1
t2d_xue,T2D (Xue 2018),T2D,Xue 2018,paper,control,ARG1
t2d_xue,T2D (Xue 2018),T2D,Xue 2018,paper,control,ATP5G1
t2d_xue,T2D (Xue 2018),T2D,Xue 2018,paper,control,C15orf38
t2d_xue,T2D (Xue 2018),T2D,Xue 2018,paper,control,CAMK1D
t2d_xue,T2D (Xue 2018),T2D,Xue 2018,paper,control,CAMKK2
t2d_xue,T2D (Xue 2018),T2D,Xue 2018,paper,control,CD101
t2d_xue,T2D (Xue 2018),T2D,Xue 2018,paper,control,CENPW
t2d_xue,T2D (Xue 2018),T2D,Xue 2018,paper,control,CEP68
t2d_xue,T2D (Xue 2018),T2D,Xue 2018,paper,control,CUTA
t2d_xue,T2D (Xue 2018),T2D,Xue 2018,paper,control,CWF19L1
t2d_xue,T2D (Xue 2018),T2D,Xue 2018,paper,control,EHHADH
t2d_xue,T2D (Xue 2018),T2D,Xue 2018,paper,control,HLA-DQB1
t2d_xue,T2D (Xue 2018),T2D,Xue 2018,paper,control,KLHDC5
t2d_xue,T2D (Xue 2018),T2D,Xue 2018,paper,control,LOC283070
t2d_xue,T2D (Xue 2018),T2D,Xue 2018,paper,control,LTA
t2d_xue,T2D (Xue 2018),T2D,Xue 2018,paper,control,MED23
t2d_xue,T2D (Xue 2018),T2D,Xue 2018,paper,control,MICB
t2d_xue,T2D (Xue 2018),T2D,Xue 2018,paper,control,NUDT5
t2d_xue,T2D (Xue 2018),T2D,Xue 2018,paper,control,P2RX4
t2d_xue,T2D (Xue 2018),T2D,Xue 2018,paper,control,PABPC4
t2d_xue,T2D (Xue 2018),T2D,Xue 2018,paper,control,PLEKHA1
