Compound.ID,Name,Super.Class,Class,n_genes,n_cell_types
C8-Pos-004362,"1,3,5-Tris(3,5-Di-Tert-Butyl-4-Hydroxybenzyl)-1,3,5-Triazine-2,4,6(1h,3h,5h)-Trione",Benzenoids,Benzene and substituted derivatives,1,1
C8-Pos-004445,Pc(P-12:1_26:4),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-004446,Pc 38:4,Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-004505,Pe(P-19:4_23:5),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-004612,Pc(9:0cho_26:1),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-004631,Pc(15:1cho_22:2),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-004641,N-Nervonoyl-D-Erythro-Sphingosylphosphorylcholine,Lipids and lipid-like molecules,Sphingolipids,1,1
C8-Pos-004801,Pc(16:1cooh_23:3),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-004855,Pc(14:1_25:7),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-004875,Ps 20:2_20:2,Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-005012,Pc(17:4cooh_23:5),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-005013,Pc(18:2_20:4cooh),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-005020,Pc(11:1_29:4),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-005046,Ps(18:3_24:4),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-005152,Pc(10:0cooh_30:8),Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-005189,Ps 22:4_22:5,Lipids and lipid-like molecules,Glycerophospholipids,1,1
C8-Pos-005260,Tg(15:0_15:0_24:6),Lipids and lipid-like molecules,Glycerolipids,1,1
C8-Pos-005434,Pi(18:0_22:6),Lipids and lipid-like molecules,Glycerophospholipids,1,1
