"Name","n_occurrences","compound_ids","is_duplicate"
"1,2-Di-(9z,12z,15z-Octadecatrienoyl)-Sn-Glycero-3-Phosphocholine",2,"C8-Pos-000059; C8-Pos-000086",TRUE
"1,2-Dihydroxyheptadec-16-Yn-4-Yl Acetate",2,"C8-Pos-000214; C8-Pos-000326",TRUE
"1,2-Dipalmitoleoyl-Sn-Glycero-3-Phosphocholine",2,"C8-Pos-000008; C8-Pos-000015",TRUE
"1,2-Dipentadecanoyl-Sn-Glycero-3-Phosphocholine",2,"Amide-Pos-000138; C8-Pos-000010",TRUE
"1-(1z-Octadecenyl)-2-(4z,7z,10z,13z,16z,19z-Docosahexaenoyl)-Sn-Glycero-3-Phosphoethanolamine",2,"C8-Neg-000059; C8-Neg-000175",TRUE
"1-(2-Hydroxyethyl)-2,2,6,6-Tetramethyl-4-Piperidinol",2,"Amide-Pos-000232; Amide-Pos-000293",TRUE
"1-Aminocyclopropanecarboxylate",2,"Amide-Pos-000132; Amide-Pos-000346",TRUE
"1-Deoxy-1-(Methylamino)-D-Galactitol",2,"Amide-Pos-000223; Amide-Pos-000389",TRUE
"1-Hydroxy-2,5-Pyrrolidinedione",2,"Amide-Neg-000243; C18-Pos-000196",TRUE
"1-Linoleoyl-Sn-Glycero-3-Phosphorylcholine",2,"C8-Pos-000263; C8-Pos-000409",TRUE
"1-Myristoyl-Sn-Glycero-3-Phosphocholine",2,"C18-Pos-000213; C18-Pos-000299",TRUE
"1-Palmitoyl-2-Docosahexaenoyl-Sn-Glycero-3-Phosphocholine",2,"C8-Pos-000029; C8-Pos-000108",TRUE
"1-Palmitoyl-2-Linoleoyl-Sn-Glycero-3-Phosphocholine",2,"C8-Pos-000011; C8-Pos-000149",TRUE
"1-Palmitoyl-3-Oleoyl-Sn-Glycero-2-Phosphoethanolamine",2,"Amide-Pos-000369; C8-Pos-000169",TRUE
"1-Pyridin-3-Yl-1,4-Diazepane",2,"Amide-Pos-000269; C18-Pos-000201",TRUE
"1-Stearoyl-2-Arachidonoyl-Sn-Glycero-3-Phospho-(1'-Myo-Inositol)",2,"C8-Neg-000009; C8-Pos-000120",TRUE
"1-Stearoyl-2-Arachidonyl-Sn-Glycero-3-Phosphocholine",2,"C8-Pos-000019; C8-Pos-000037",TRUE
