Name,Covariance,Correlation,Compound.ID,Sub.Class,Class,Reliable,Name_display
1-Palmitoyl-2-Stearoyl-Sn-Glycero-3-Phosphocholine,-0.1251607705594225,-0.13323110493815765,C8-Pos-000083,Glycerophosphocholines,Glycerophospholipids,FALSE,1-Palmitoyl-2-Ste...
"1,2-Diarachidonoyl-Sn-Glycero-3-Phosphocholine",-4.910070604418479,-0.29209864706678607,C8-Pos-000097,Glycerophosphocholines,Glycerophospholipids,FALSE,"1,2-Diarachidonoy..."
N-(Octadecanoyl)Sphing-4-Enine-1-Phosphocholine,-0.0822155894885248,-0.1882969141818381,C8-Pos-000099,Sphingolipids,Lipids and lipid-like molecules,FALSE,N-(Octadecanoyl)S...
1-Hexadecanoyl-2-(14-Pentadecenoyl)-Sn-Glycero-3-Phosphocholine,-0.11490956674960376,-0.16958644318443622,C8-Pos-000133,Glycerophosphocholines,Glycerophospholipids,FALSE,1-Hexadecanoyl-2-...
"1-Hexadecyl-2-(5z,8z,11z,14z-Eicosatetraenoyl)-Sn-Glycero-3-Phosphocholine",0.04332381643825301,0.053370495960085106,C8-Pos-000187,Glycerophosphocholines,Glycerophospholipids,FALSE,1-Hexadecyl-2-(5z...
"1-(1z-Octadecenyl)-2-(4z,7z,10z,13z,16z,19z-Docosahexaenoyl)-Sn-Glycero-3-Phosphocholine",-0.31211411337110817,-0.1716349098702638,C8-Pos-000191,Glycerophosphocholines,Glycerophospholipids,FALSE,1-(1z-Octadecenyl...
1-(1z-Octadecenyl)-2-(9z-Octadecenoyl)-Sn-Glycero-3-Phosphocholine,0.6021050110615712,0.06533497684959413,C8-Pos-000211,Glycerophosphocholines,Glycerophospholipids,FALSE,1-(1z-Octadecenyl...
1-Linoleoyl-Sn-Glycero-3-Phosphorylcholine,0.2673384063781774,0.39790758690349515,C8-Pos-000263,Glycerophosphocholines,Glycerophospholipids,FALSE,1-Linoleoyl-Sn-Gl...
"Spectral Match To 1,2-Dilinoleoyl-Sn-Glycero-3-Phosphocholine From Nist14",0.4224193285743931,0.547342665340974,C8-Pos-000266,Glycerophosphocholines,Glycerophospholipids,TRUE,Spectral Match To...
Spectral Match To 1-(1z-Hexadecenyl)-Sn-Glycero-3-Phosphocholine From Nist14,0.8011491923379729,0.06725073614881384,C8-Pos-000298,Glycerophosphocholines,Glycerophospholipids,FALSE,Spectral Match To...
"Spectral Match To 1-Heptadecanoyl-2-(5z,8z,11z,14z-Eicosatetraenoyl)-Sn-Glycero-3-Phosphocholine From Nist14",0.5550630769510344,0.28871762667014067,C8-Pos-000308,Glycerophosphocholines,Glycerophospholipids,FALSE,Spectral Match To...
"1,2-Didocosahexaenoyl-Sn-Glycero-3-Phosphocholine",-1.391351273204957,-0.23647540321009003,C8-Pos-000322,Glycerophosphocholines,Glycerophospholipids,FALSE,"1,2-Didocosahexae..."
2-(5-Oxovaleryl)Phosphatidylcholine,-0.7078476486429176,-0.3899089178364276,C8-Pos-000442,Glycerophosphocholines,Glycerophospholipids,FALSE,2-(5-Oxovaleryl)P...
1-Hexadecyl-Sn-Glycero-3-Phosphocholine,0.2774442339542931,0.209083607736726,C8-Pos-000467,Glycerophosphocholines,Glycerophospholipids,FALSE,1-Hexadecyl-Sn-Gl...
1-Pentadecanoyl-Sn-Glycero-3-Phosphocholine,-0.2125377959170887,-0.24862042127145134,C8-Pos-000534,Glycerophosphocholines,Glycerophospholipids,FALSE,1-Pentadecanoyl-S...
"1,2-Didecanoyl-Sn-Glycero-3-Phosphocholine",0.07401540782595707,0.41546753328752944,C8-Pos-000565,Glycerophosphocholines,Glycerophospholipids,FALSE,"1,2-Didecanoyl-Sn..."
"1,2-Di-(9z-Tetradecenoyl)-Sn-Glycero-3-Phosphocholine",0.02181333927186758,0.0406491442716056,C8-Pos-000598,Glycerophosphocholines,Glycerophospholipids,FALSE,"1,2-Di-(9z-Tetrad..."
1-Palmitoyl-2-Azelaoylphosphatidylcholine,4.30998651072989,0.298283785938378,C8-Pos-000603,Glycerophosphocholines,Glycerophospholipids,FALSE,1-Palmitoyl-2-Aze...
1-O-Octadecyl-Sn-Glyceryl-3-Phosphorylcholine,-1.1094285260320687,-0.5530647563813484,C8-Pos-000614,Glycerophosphocholines,Glycerophospholipids,TRUE,1-O-Octadecyl-Sn-...
N-Lauroyl-D-Erythro-Sphingosylphosphorylcholine,0.34641768643206133,0.27397976686789777,C8-Pos-000616,Sphingolipids,Lipids and lipid-like molecules,FALSE,N-Lauroyl-D-Eryth...
