Compound.ID,Name,Super.Class,Class,n_genes,n_cell_types
C8-Neg-003644,Pc(21:1cooh_23:6),Lipids and lipid-like molecules,Glycerophospholipids,183,3
C18-Pos-002054,Peg N7,Organic oxygen compounds,Organooxygen compounds,179,4
Amide-Pos-000230,Prolinamide,Organic acids and derivatives,Carboxylic acids and derivatives,162,3
C8-Pos-003874,Pc 16:0_16:1,Lipids and lipid-like molecules,Glycerophospholipids,162,1
Amide-Pos-000461,4-Quinolinol,Organoheterocyclic compounds,Quinolines and derivatives,157,3
C8-Pos-003565,Cerp(D18:0_20:3),Lipids and lipid-like molecules,Sphingolipids,154,5
Amide-Neg-000523,Xanthine,Organoheterocyclic compounds,Imidazopyrimidines,151,2
C8-Neg-002972,Oahfa(15:1_27:4),Lipids and lipid-like molecules,Fatty acyls,151,4
C8-Pos-004333,Pe(17:5cho_22:6),Lipids and lipid-like molecules,Glycerophospholipids,146,4
C18-Neg-002092,1-Stearoyl-2-Hydroxy-Sn-Glycero-3-Phosphoethanolamine,Lipids and lipid-like molecules,Glycerophospholipids,145,7
C8-Pos-005013,Pc(18:2_20:4cooh),Lipids and lipid-like molecules,Glycerophospholipids,145,8
Amide-Neg-000787,D-(-)-Mannitol,Organic oxygen compounds,Organooxygen compounds,143,3
Amide-Neg-000015,Glycolic Acid,Organic acids and derivatives,Hydroxy acids and derivatives,140,3
Amide-Neg-000344,L-Ornithine,Organic acids and derivatives,Carboxylic acids and derivatives,139,5
Amide-Neg-000574,N-Acetyl-L-Valine,Organic acids and derivatives,Carboxylic acids and derivatives,136,8
Amide-Pos-002120,Dihydronicotinamide-Adenine Dinucleotide,"Nucleosides, nucleotides, and analogues",(5'->5')-dinucleotides,136,7
C18-Pos-001159,Biotin,Organoheterocyclic compounds,Biotin and derivatives,135,8
Amide-Neg-000316,Acetyl-D-Alanine,Organic acids and derivatives,Carboxylic acids and derivatives,131,3
C18-Pos-000567,Phloretic Acid,Phenylpropanoids and polyketides,Phenylpropanoic acids,128,6
C8-Pos-004947,Pc O-42:6,Lipids and lipid-like molecules,Glycerophospholipids,127,4
C8-Pos-001413,Miltefosine,Organic nitrogen compounds,Organonitrogen compounds,125,2
Amide-Neg-000587,2-Oxoadipic Acid,Organic acids and derivatives,Keto acids and derivatives,122,2
Amide-Pos-000747,"N3,N4-Dimethyl-L-Arginine",Organic acids and derivatives,Carboxylic acids and derivatives,120,3
C8-Pos-003179,Nervonic Ceramide,Lipids and lipid-like molecules,Sphingolipids,116,3
C8-Pos-003290,Tg(2:0_11:0_23:4),Lipids and lipid-like molecules,Glycerolipids,109,4
Amide-Pos-000661,N8-Acetylspermidine,Organic acids and derivatives,Carboximidic acids and derivatives,108,6
C8-Pos-001297,Bis(4-Ethylbenzylidene)Sorbitol,Organoheterocyclic compounds,Dioxanes,108,4
Amide-Pos-001947,Udp-Β-D-Glucose (Sodium Salt),"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,107,2
Amide-Pos-000240,"N,N-Diethylethanolamine",Organic nitrogen compounds,Organonitrogen compounds,106,4
Amide-Pos-000913,Anserine,Organic acids and derivatives,Peptidomimetics,105,5
C8-Neg-000301,Ala-Pro-Asn,Organic acids and derivatives,Carboxylic acids and derivatives,105,2
C18-Pos-001343,3-Hydroxybutyrylcarnitine,Lipids and lipid-like molecules,Fatty Acyls,104,6
C8-Neg-003216,Sqdg(2:0_28:0),Lipids and lipid-like molecules,Glycerolipids,102,2
