gene,n_metabolites,n_cell_types,n_tests
L3MBTL4,28,7,31
LINC02237,28,3,30
LINC02755,28,4,46
LTBP1,28,5,28
MAP3K1,28,4,32
MEG8,28,5,37
MT-CO2,28,9,32
PARK7,28,5,30
PRDX5,28,6,32
QSOX2,28,3,28
RBMS1,28,5,40
SATB1,28,5,36
SLC5A8,28,5,37
SYT10,28,3,33
TAF4B,28,5,39
TMTC1,28,4,35
TRPC5,28,5,33
TUBB4B,28,7,33
UNC5D,28,5,38
UQCRQ,28,7,32
ANKRD7,27,3,36
ANKS1B,27,3,29
CNTN6,27,5,29
CTNNA2,27,3,29
DLGAP2,27,5,34
DOCK11,27,4,32
ELFN1,27,4,34
ENSG00000189229,27,7,51
ENSG00000261227,27,4,42
ENSG00000270207,27,3,32
ENSG00000287722,27,5,45
ERICH2-DT,27,4,40
GLRA3,27,5,28
GNG3,27,9,30
GRM5,27,5,30
HES6,27,4,27
HMGB1,27,7,28
HS6ST2,27,6,35
KCNMB2,27,4,28
KIT,27,4,38
LIN28B,27,5,36
LINC00581,27,3,37
LINC02945,27,2,28
LINC03000,27,6,31
LRFN5,27,6,29
MAPK10,27,2,27
MIR4500HG,27,6,31
MSRB3,27,5,33
MTUS2,27,5,39
NCKAP5,27,5,36
NDUFB4,27,7,29
NEDD8,27,8,28
NHS,27,6,33
NPSR1-AS1,27,4,32
PDE1A,27,4,38
PTCHD4,27,6,34
PWRN1,27,5,28
RGS8,27,3,35
SERTAD4,27,4,42
ST6GALNAC3,27,5,32
SUSD4,27,4,42
TBL1X,27,5,50
TCEAL9,27,7,33
TNR,27,7,43
TPD52L1,27,4,39
ZFHX4-AS1,27,5,36
ABTB3,26,4,35
ADGRL3,26,5,27
ADRA1A,26,4,30
ARHGAP15-AS1,26,3,27
ARHGAP20,26,5,26
ARHGAP6,26,5,43
ARL14EP-DT,26,6,34
AURKAIP1,26,7,27
B3GALT5,26,6,35
BCL11B,26,5,53
BMP6,26,3,27
CACNB2,26,5,31
CAMKMT,26,4,34
COX5A,26,7,29
DDAH1,26,4,31
DLX6-AS1,26,7,35
DYNLRB1,26,8,26
ELOVL7,26,3,28
EML6,26,6,38
ENSG00000247134,26,5,29
ENSG00000251244,26,3,30
ENSG00000286072,26,7,45
EPB41L3,26,4,30
EPB41L4A-AS1,26,5,29
EPB41L4B,26,6,41
FAM222A,26,2,28
GAD2,26,4,36
GJD2-DT,26,3,35
GNG2,26,5,34
GPX1,26,7,29
GSTP1,26,7,32
IL1RAPL1,26,6,36
LIMCH1,26,6,39
LINC02217,26,3,26
LINC02964,26,4,46
MAP3K5,26,6,32
MCTP2,26,3,28
MDFIC,26,4,31
ME1,26,5,32
MED12L,26,4,40
MPDZ,26,4,38
MPP7,26,5,35
MRFAP1,26,6,27
MT3,26,7,29
