gene_set,n_hits,set_size,odds_ratio,pval,hit_genes,padj,collection
GOBP_CEREBELLAR_PURKINJE_CELL_LAYER_FORMATION (GO_BP),1,11,60.96602340509169,0.018230867542863072,RORA,0.10383668035282881,GO_BP
GOBP_LIMB_BUD_FORMATION (GO_BP),1,11,60.96602340509169,0.018230867542863072,SEMA3C,0.10383668035282881,GO_BP
GOBP_OLFACTORY_BULB_INTERNEURON_DIFFERENTIATION (GO_BP),1,11,60.96602340509169,0.018230867542863072,ROBO1,0.10383668035282881,GO_BP
GOBP_PRESYNAPTIC_MEMBRANE_ORGANIZATION (GO_BP),1,11,60.96602340509169,0.018230867542863072,PTPRD,0.10383668035282881,GO_BP
GOBP_REGULATION_OF_MYOBLAST_PROLIFERATION (GO_BP),1,11,60.96602340509169,0.018230867542863072,MALAT1,0.10383668035282881,GO_BP
GOBP_REGULATION_OF_POSTSYNAPTIC_DENSITY_ORGANIZATION (GO_BP),1,11,60.96602340509169,0.018230867542863072,PTPRD,0.10383668035282881,GO_BP
REACTOME_DSCAM_INTERACTIONS (Reactome),1,11,60.96602340509169,0.018230867542863072,DCC,0.10383668035282881,Reactome
GOBP_FOREBRAIN_DEVELOPMENT (GO_BP),3,339,5.643170928577971,0.018997809621606746,ROBO1;NRG3;RELN,0.10412934330325777,GO_BP
GOBP_NEGATIVE_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT (GO_BP),2,127,9.953660845620345,0.019137468865479224,DCC;SEMA3C,0.10412934330325777,GO_BP
GOBP_NEGATIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT (GO_BP),2,128,9.874545673729958,0.01942082217340194,DCC;SEMA3C,0.10412934330325777,GO_BP
GOBP_POSITIVE_REGULATION_OF_PROTEIN_KINASE_ACTIVITY (GO_BP),3,342,5.593299759486946,0.019441026159538115,ROBO1;NRG3;RELN,0.10412934330325777,GO_BP
GOBP_BASE_CONVERSION_OR_SUBSTITUTION_EDITING (GO_BP),1,12,55.4458709214874,0.01987201208077438,ADARB2,0.10412934330325777,GO_BP
GOBP_CARDIAC_NEURAL_CREST_CELL_DIFFERENTIATION_INVOLVED_IN_HEART_DEVELOPMENT (GO_BP),1,12,55.4458709214874,0.01987201208077438,SEMA3C,0.10412934330325777,GO_BP
GOBP_CELL_PROLIFERATION_IN_HINDBRAIN (GO_BP),1,12,55.4458709214874,0.01987201208077438,RORA,0.10412934330325777,GO_BP
GOBP_PYRAMIDAL_NEURON_DIFFERENTIATION (GO_BP),1,12,55.4458709214874,0.01987201208077438,UNC5D,0.10412934330325777,GO_BP
