gene_set,n_hits,set_size,odds_ratio,pval,hit_genes,padj,collection
GOBP_REGULATION_OF_CELL_JUNCTION_ASSEMBLY (GO_BP),4,178,6.251371897293452,0.004741026492810779,PRKCH;LRRTM2;IL1RAPL1;SMAD3,0.07679679277610849,GO_BP
GOBP_EPITHELIAL_CELL_DEVELOPMENT (GO_BP),4,179,6.21541814548123,0.004835516862847495,FAT1;RARB;CCDC88C;ONECUT2,0.0776371596470574,GO_BP
GOBP_REGULATION_OF_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION (GO_BP),3,90,9.309353545403889,0.004881600173239784,RELN;DOCK1;IL1RAPL1,0.0776371596470574,GO_BP
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS (GO_BP),5,289,4.817220728287185,0.00491173867154853,RAMP1;GALNT7;DPY19L1;TMTC1;B3GLCT,0.0776371596470574,GO_BP
GOBP_POSITIVE_REGULATION_OF_CELL_JUNCTION_ASSEMBLY (GO_BP),3,93,9.001148375843025,0.00534826188867869,LRRTM2;IL1RAPL1;SMAD3,0.08306729592697672,GO_BP
GOBP_RETINOIC_ACID_RECEPTOR_SIGNALING_PATHWAY (GO_BP),2,29,19.828776874304683,0.005395117374005565,RARB;RXRG,0.08306729592697672,GO_BP
REACTOME_SUMOYLATION_OF_INTRACELLULAR_RECEPTORS (Reactome),2,29,19.828776874304683,0.005395117374005565,RORA;THRB,0.08306729592697672,Reactome
HALLMARK_HYPOXIA (Hallmark),4,185,6.008081146247839,0.005429152795069935,PAM;RORA;MAP3K1;EGFR,0.08306729592697672,Hallmark
GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY (GO_BP),5,297,4.6837989061282945,0.005504068698291433,GLI3;CCDC88C;FOXO1;EGFR;SMAD3,0.08306729592697672,GO_BP
GOMF_CHROMATIN_DNA_BINDING (GO_MF),3,94,8.901650625730918,0.005509565546177027,THRB;FOXO1;SMAD3,0.08306729592697672,GO_MF
GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE (GO_BP),3,95,8.804423221591092,0.0056737678302777855,PRKCH;MTCL1;EGFR,0.08488996143011038,GO_BP
GOBP_REGULATION_OF_CELL_SUBSTRATE_ADHESION (GO_BP),4,188,5.9094832776817094,0.005743466173915346,ONECUT2;DOCK1;SMAD3;UTRN,0.08497679555111798,GO_BP
GOBP_EPITHELIAL_CELL_MORPHOGENESIS (GO_BP),2,30,19.135184504882908,0.005766282555254435,FAT1;CCDC88C,0.08497679555111798,GO_BP
GOBP_REGULATION_OF_CATION_TRANSMEMBRANE_TRANSPORT (GO_BP),5,302,4.604805813509853,0.005898962745230059,CACNG5;RELN;DRD3;CNKSR3;UTRN,0.08628333567649937,GO_BP
GOBP_POSTSYNAPTIC_SPECIALIZATION_ORGANIZATION (GO_BP),2,31,18.47241306402638,0.006148819213524445,RELN;LRRTM2,0.08927174561857713,GO_BP
GOMF_TRANSCRIPTION_COREGULATOR_BINDING (GO_MF),3,99,8.436238597355937,0.006359835511563554,RORA;THRB;SMAD3,0.09165645296076887,GO_MF
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION (KEGG),3,100,8.347034690196553,0.006538732704891275,PRKCH;RAMP1;GUCY1B1,0.0925289119002434,KEGG
GOBP_NEUROTRANSMITTER_REUPTAKE (GO_BP),2,32,17.855734101911565,0.00654263762206314,SLC6A1;DRD3,0.0925289119002434,GO_BP
GOBP_REGULATION_OF_CELL_DEVELOPMENT (GO_BP),6,439,3.8097803866052127,0.006561999364353996,GLI3;PRKCH;RELN;DOCK1;DRD3;IL1RAPL1,0.0925289119002434,GO_BP
GOCC_GLUTAMATERGIC_SYNAPSE (GO_CC),5,313,4.438051239014543,0.006837387558289334,CACNG5;GUCY1B1;DRD3;LRRTM2;IL1RAPL1,0.09456521649751823,GO_CC
GOBP_REGULATION_OF_SYNAPSE_STRUCTURE_OR_ACTIVITY (GO_BP),4,198,5.602851570729889,0.006878398982556967,RELN;LRRTM2;NEUROD2;IL1RAPL1,0.09456521649751823,GO_BP
GOBP_CEREBRAL_CORTEX_RADIALLY_ORIENTED_CELL_MIGRATION (GO_BP),2,33,17.27450662248125,0.006947648559001339,GLI3;RELN,0.09456521649751823,GO_BP
GOBP_GLIAL_CELL_PROLIFERATION (GO_BP),2,33,17.27450662248125,0.006947648559001339,PRKCH;PENK,0.09456521649751823,GO_BP
