gene,loeuf,exp_lof,n_metabolites,is_hit,is_recurrent,mean_expr
ACOX1,0.70432,75.53,0,FALSE,FALSE,4.702376681315965
ACOX2,0.94578,77.485,0,FALSE,FALSE,1.3341967863224344
ACOX3,1.0887,81.465,0,FALSE,FALSE,4.545193544822538
ACOXL,1.1878,71.9,0,FALSE,FALSE,1.26002040381184
ACOXL-AS1,NA,NA,0,FALSE,FALSE,0.24612258312108684
ACP1,1.3943,23.37,0,FALSE,FALSE,4.787239034337431
ACP2,0.848,54.722,0,FALSE,FALSE,2.365759886791108
ACP3,1.0915,45.633,0,FALSE,FALSE,1.0368178048328183
ACP4,1.3157,47.253,0,FALSE,FALSE,0.6209553080980935
ACP6,1.2683,48.137,0,FALSE,FALSE,3.8991490934413244
ACP7,1.1905,60.628,0,FALSE,FALSE,0.196273463295698
ACRBP,0.94987,68.973,0,FALSE,FALSE,1.0585437311938732
ACRV1,0.87182,29.248,0,FALSE,FALSE,1.1476775186961856
ACSBG1,0.6351,80.208,0,FALSE,FALSE,3.8331740399742023
ACSBG2,1.026,74.659,0,FALSE,FALSE,2.4163183866530282
ACSF2,0.82668,79.252,0,FALSE,FALSE,2.1691444084948266
ACSF3,1.7694,53.218,0,FALSE,FALSE,4.068724339852657
ACSL1,0.54076,98.376,0,FALSE,FALSE,4.245347036855561
ACSL3,0.53438,84.707,0,FALSE,FALSE,6.705630332756052
ACSL3-AS1,NA,NA,0,FALSE,FALSE,0.9630566124483936
ACSL4,0.31979,49.11,0,FALSE,FALSE,6.23790810621889
ACSL5,0.7452,84.926,0,FALSE,FALSE,1.8423322421345814
ACSL6,0.61041,98.189,0,FALSE,FALSE,4.941844144208466
ACSL6-AS1,NA,NA,0,FALSE,FALSE,0.9510756783457985
ACSM1,1.2569,75.791,0,FALSE,FALSE,0.5704063452202007
ACSM2A,1.144,76.574,0,FALSE,FALSE,1.2961555043787694
ACSM3,1.0185,74.126,0,FALSE,FALSE,2.6772724566034647
ACSM4,1.1093,73.028,0,FALSE,FALSE,0.4522756212786931
ACSM5,0.97771,71.555,0,FALSE,FALSE,1.4273920762372847
ACSM6,NA,NA,0,FALSE,FALSE,3.9820866058815265
ACSS1,0.72179,75.263,0,FALSE,FALSE,3.648688475121797
ACSS2,0.79677,90.587,0,FALSE,FALSE,3.740999138936801
ACSS3,0.93638,84.159,0,FALSE,FALSE,4.971969761152634
ACTA1,0.97472,35.822,0,FALSE,FALSE,0.4621613627573979
ACTA2,0.49182,39.532,0,FALSE,FALSE,2.1242570939036045
ACTA2-AS1,NA,NA,0,FALSE,FALSE,0.10556839641420175
ACTB,0.20618,30.536,1,TRUE,FALSE,8.153503403501446
ACTG1,0.63846,34.28,0,FALSE,FALSE,8.102671801434365
ACTL10,NA,NA,0,FALSE,FALSE,0.12760294913855597
ACTL6A,0.17752,59.221,0,FALSE,FALSE,3.8620732893333525
ACTL6B,0.96425,63.317,0,FALSE,FALSE,4.7229971912960345
ACTL8,0.83195,9.3199,0,FALSE,FALSE,0.14102635781937028
ACTMAP,NA,NA,0,FALSE,FALSE,1.0954144725343213
ACTN1,0.34013,119.63,0,FALSE,FALSE,4.663169427898972
ACTN2,0.44764,113.8,0,FALSE,FALSE,5.759522909096028
ACTN3,0.90554,119.62,0,FALSE,FALSE,0.2721235965715779
ACTN4,0.23382,114.16,0,FALSE,FALSE,5.524038012195122
ACTR10,0.98706,56.176,0,FALSE,FALSE,5.9514398557932875
ACTR1A,0.33426,50.745,0,FALSE,FALSE,4.9629110985401
ACTR1B,0.91542,49.448,0,FALSE,FALSE,4.128253115137629
ACTR2,0.2095,50.181,0,FALSE,FALSE,6.317259440703109
ACTR3,0.34236,56.789,0,FALSE,FALSE,6.921178883541412
ACTR3-AS1,NA,NA,0,FALSE,FALSE,3.2936179767181533
ACTR3B,0.2446,59.013,0,FALSE,FALSE,6.4343889131277425
ACTR3C,1.0135,26.335,0,FALSE,FALSE,2.6359742050969657
ACTR5,0.90664,61.159,0,FALSE,FALSE,3.6629346433253396
ACTR6,1.2046,52.539,0,FALSE,FALSE,4.872290680309046
ACTR8,1.013,84.305,0,FALSE,FALSE,3.762501913340006
ACTRT3,1.3109,17.62,0,FALSE,FALSE,0.24623063113579433
ACVR1,0.87249,57.087,0,FALSE,FALSE,6.719042190331545
ACVR1B,0.4156,55.576,0,FALSE,FALSE,5.475920855875509
ACVR1C,0.5631,57.868,0,FALSE,FALSE,4.039200225959807
ACVR2A,0.2141,61.411,0,FALSE,FALSE,7.359386643219994
ACVR2B,0.4103,65.054,0,FALSE,FALSE,5.083463173918957
ACVR2B-AS1,NA,NA,0,FALSE,FALSE,0.417751176185401
ACY1,0.93406,53.325,0,FALSE,FALSE,2.0184515109131356
ACYP1,1.3848,10.424,0,FALSE,FALSE,4.856477258604739
ACYP2,1.7432,11.153,0,FALSE,FALSE,7.114263589824603
ADA,1.1778,48.986,0,FALSE,FALSE,3.372854414079995
ADA2,0.89385,44.237,0,FALSE,FALSE,2.7139372944974824
ADAL,1.1984,43.448,0,FALSE,FALSE,3.4956302247657693
ADAM10,0.28286,90.147,0,FALSE,FALSE,7.464881992862761
ADAM11,0.5222,119.06,0,FALSE,FALSE,3.1040122090623754
ADAM12,0.80297,106.36,0,FALSE,FALSE,4.272136875281202
ADAM15,0.81811,113.77,0,FALSE,FALSE,2.4052281663156196
ADAM17,0.52668,96.718,0,FALSE,FALSE,6.351760641253386
ADAM18,1.4457,94.359,0,FALSE,FALSE,0.7945632333829278
ADAM19,0.69645,114.73,0,FALSE,FALSE,5.238411428312533
ADAM2,1.1998,99.318,0,FALSE,FALSE,0.08280841113900113
ADAM20,NA,NA,0,FALSE,FALSE,1.759029908156998
ADAM20P1,NA,NA,0,FALSE,FALSE,1.3490415459311582
ADAM21,NA,NA,0,FALSE,FALSE,1.7776980213452318
ADAM22,0.55271,144.57,0,FALSE,FALSE,7.282757527237808
ADAM23,0.36752,120.06,0,FALSE,FALSE,7.519475364097983
ADAM28,1.2199,101.23,0,FALSE,FALSE,5.822986275913607
ADAM29,NA,NA,0,FALSE,FALSE,2.2017107919144157
ADAM32,0.92358,114.94,0,FALSE,FALSE,3.9655241127153684
ADAM33,1.1419,106.25,0,FALSE,FALSE,1.7772311800337655
ADAM7,1.1159,102.9,0,FALSE,FALSE,1.550970491357309
ADAM7-AS1,NA,NA,0,FALSE,FALSE,5.786749970110638
ADAM8,1.1956,102.38,0,FALSE,FALSE,1.1551880034109812
ADAM9,0.62656,108.11,0,FALSE,FALSE,5.883599512301016
ADAMDEC1,1.2691,60.355,0,FALSE,FALSE,0.32687687022081124
ADAMTS1,0.31729,87.868,0,FALSE,FALSE,1.3781407910071182
ADAMTS10,0.44927,135.9,0,FALSE,FALSE,5.013693166980248
ADAMTS12,0.81958,167.76,0,FALSE,FALSE,3.2297582486151817
ADAMTS13,0.8312,155.05,0,FALSE,FALSE,2.7207403776610146
ADAMTS14,0.91788,128.64,0,FALSE,FALSE,1.4780887298773826
ADAMTS15,0.58692,79.064,0,FALSE,FALSE,0.7808657897104219
ADAMTS16,0.76521,145.82,0,FALSE,FALSE,3.7098901672467828
ADAMTS16-DT,NA,NA,0,FALSE,FALSE,0.7837762760899648
ADAMTS17,0.93393,141.46,0,FALSE,FALSE,5.029494223118911
ADAMTS18,1.0805,165.87,0,FALSE,FALSE,2.6860499502799504
ADAMTS19,0.7208,153.3,1,TRUE,FALSE,6.546376141649584
ADAMTS19-AS1,NA,NA,0,FALSE,FALSE,3.6481157770650063
ADAMTS2,0.51439,123.03,0,FALSE,FALSE,2.2083660277868082
ADAMTS20,0.9663,260.05,0,FALSE,FALSE,2.460723814257404
ADAMTS3,0.68767,128.98,2,TRUE,FALSE,5.399041730256537
ADAMTS4,0.74665,66.709,0,FALSE,FALSE,0.6657996418545638
ADAMTS5,0.8317,81.448,0,FALSE,FALSE,2.522512987274312
ADAMTS6,0.22588,144.26,0,FALSE,FALSE,7.021216600472461
ADAMTS7,0.61499,172.61,0,FALSE,FALSE,3.735708895137495
ADAMTS8,0.98291,64.387,0,FALSE,FALSE,1.9028038415918125
ADAMTS9,0.48875999999999997,257.06,0,FALSE,FALSE,5.1882451101103575
ADAMTS9-AS1,NA,NA,0,FALSE,FALSE,2.314838452276554
ADAMTS9-AS2,NA,NA,0,FALSE,FALSE,5.006474282800726
ADAMTSL1,0.72382,201.83,0,FALSE,FALSE,7.745488802583552
ADAMTSL2,0.58829,117.03,0,FALSE,FALSE,1.426662380172346
ADAMTSL3,0.73498,201.68,0,FALSE,FALSE,6.462815063378512
ADAMTSL4,0.9349,122.83,0,FALSE,FALSE,1.329011658059611
ADAMTSL4-AS1,NA,NA,0,FALSE,FALSE,0.38788993316554976
ADAMTSL4-AS2,NA,NA,0,FALSE,FALSE,0.7769473799755924
ADAMTSL5,1.2895,51.672,0,FALSE,FALSE,0.1019371297689622
ADAP1,0.76204,54.902,0,FALSE,FALSE,1.2138105612556769
ADAP2,0.98961,54.894,0,FALSE,FALSE,4.398713146562481
ADAR,0.4699,113.21,0,FALSE,FALSE,5.684083929088248
ADARB1,0.3237,52.401,0,FALSE,FALSE,5.776032216517573
ADARB2,0.56138,62.196,5,TRUE,TRUE,10.016655801543166
ADARB2-AS1,NA,NA,0,FALSE,FALSE,4.202824893846116
ADAT1,1.2321,58.582,0,FALSE,FALSE,3.8470554613722032
ADAT2,1.394,25.881,0,FALSE,FALSE,3.7384113080737653
ADCK1,1.0173,52.293,0,FALSE,FALSE,3.6230736126882017
ADCK2,0.93108,52.279,0,FALSE,FALSE,2.927588433645634
ADCK5,0.85375,64.947,0,FALSE,FALSE,2.5370994280281405
ADCY1,0.36435,105.36,0,FALSE,FALSE,6.997904413534728
ADCY10,0.97211,183.27,0,FALSE,FALSE,2.7926678931318993
ADCY10P1,NA,NA,0,FALSE,FALSE,3.919312785584385
ADCY2,0.3343,125.15,0,FALSE,FALSE,7.709029252210299
ADCY3,0.71516,119.42,0,FALSE,FALSE,5.208292528242516
ADCY4,1.0358,125.47,0,FALSE,FALSE,1.8169634933582175
ADCY5,0.34007,119.65,0,FALSE,FALSE,5.542100456623928
ADCY6,0.65664,111.6,0,FALSE,FALSE,4.11644875604201
ADCY6-DT,NA,NA,0,FALSE,FALSE,0.4580530125424094
ADCY7,0.72647,120.58,0,FALSE,FALSE,3.0796866146409956
ADCY8,0.53803,119.7,0,FALSE,FALSE,5.9657298678610875
ADCY9,0.62358,101.49,0,FALSE,FALSE,5.751873673676211
ADCYAP1,0.64125,18.468,0,FALSE,FALSE,1.5145944071522206
ADCYAP1R1,0.83648,67.632,0,FALSE,FALSE,4.495963392726855
ADD1,0.41933,80.491,0,FALSE,FALSE,7.076365062355992
ADD2,0.39243,83.035,0,FALSE,FALSE,7.29847204900584
ADD3,0.43525,80.221,0,FALSE,FALSE,6.68804627939471
ADD3-AS1,NA,NA,0,FALSE,FALSE,2.350692321294319
ADGB,0.92737,210.48,0,FALSE,FALSE,1.6172024047707823
ADGRA1,0.9111,21.34,0,FALSE,FALSE,2.5782521100326514
ADGRA1-AS1,NA,NA,0,FALSE,FALSE,1.6596876496128226
ADGRA2,0.76465,98.731,0,FALSE,FALSE,2.382925384189331
ADGRA3,0.58378,119.84,0,FALSE,FALSE,6.849493028077186
ADGRB1,0.27055,175.72,0,FALSE,FALSE,3.8465151122284116
ADGRB2,0.33541,178.69,0,FALSE,FALSE,4.033921780516144
ADGRB3,0.25165,193.42,0,FALSE,FALSE,11.341235158070166
ADGRB3-DT,NA,NA,0,FALSE,FALSE,5.711475563761432
ADGRD1,0.82106,113.36,0,FALSE,FALSE,3.0543318291363923
ADGRD2,NA,NA,0,FALSE,FALSE,0.4797180443434011
ADGRE1,0.95967,102.67,0,FALSE,FALSE,0.32727467402305943
ADGRE2,0.98839,100.79,0,FALSE,FALSE,1.2900061657037472
ADGRE3,1.3125,80.051,0,FALSE,FALSE,0.8869903138798683
ADGRE5,0.87354,100.28,0,FALSE,FALSE,1.6874953430292596
