hormone,subset,compound_id,Name,Super.Class,Pathways,rho,p,fdr,n
E2,Sex-combined,Amide-Neg-001697,Udp-N-Acetylglucosamine,"Nucleosides, nucleotides, and analogues",map00520;WP5151;WP5220,0.34065934065934067,0.2547064607541252,0.9744029589298666,13
E2,Sex-combined,C8-Pos-003874,Pc 16:0_16:1,Lipids and lipid-like molecules,NA,0.3356643356643357,0.2861229029149877,0.9744029589298666,12
E2,Sex-combined,C8-Neg-003619,Ps(22:3_24:7),Lipids and lipid-like molecules,NA,-0.32781954887218046,0.15824386826406367,0.9744029589298666,20
E2,Sex-combined,C8-Pos-005843,Tg(20:1_24:5_20:6),Lipids and lipid-like molecules,NA,-0.32781954887218046,0.15824386826406367,0.9744029589298666,20
E2,Sex-combined,C8-Pos-004628,Pc(9:0_28:7),Lipids and lipid-like molecules,NA,0.32631578947368417,0.16027455107910066,0.9744029589298666,20
E2,Sex-combined,C8-Pos-005193,Pc(20:0_22:5),Lipids and lipid-like molecules,NA,-0.32352941176470584,0.22157412500124293,0.9744029589298666,16
E2,Sex-combined,Amide-Neg-000866,N-Acetyl-L-Methionine,Organic acids and derivatives,NA,0.3214285714285714,0.24271904680166823,0.9744029589298666,15
E2,Sex-combined,C18-Neg-001236,"5,5-Dimethyl-2-{[(2-Phenylacetyl)Amino]Methyl}-1,3-Thiazolane-4-Carboxylic Acid",Organic acids and derivatives,NA,-0.32094943240454077,0.19408223512614617,0.9744029589298666,18
E2,Sex-combined,C8-Neg-003529,Ps 22:6_22:6,Lipids and lipid-like molecules,NA,0.32094943240454077,0.19408223512614617,0.9744029589298666,18
E2,Sex-combined,Amide-Pos-000849,Carnosine,Organic acids and derivatives,NA,0.32030075187969925,0.16857704306462618,0.9744029589298666,20
E2,Sex-combined,Amide-Pos-001042,Lhnfrfaovvpesm-Crgcijnfna-N,Organic oxygen compounds,NA,0.31879699248120297,0.17069787214002435,0.9744029589298666,20
E2,Sex-combined,Amide-Pos-002017,Guanosine 5'-Diphospho-Α-D-Mannose,"Nucleosides, nucleotides, and analogues",NA,0.31879699248120297,0.17069787214002435,0.9744029589298666,20
E2,Sex-combined,C8-Pos-004505,Pe(P-19:4_23:5),Lipids and lipid-like molecules,NA,0.31729323308270674,0.1728368864071423,0.9744029589298666,20
E2,Sex-combined,Amide-Pos-001508,Tetradecanoyl-L-Carnitine,Lipids and lipid-like molecules,NA,0.3142857142857143,0.17716966765175687,0.9744029589298666,20
E2,Sex-combined,C18-Neg-001023,Xanthosine,"Nucleosides, nucleotides, and analogues",WP4224;WP4792,0.3131868131868132,0.2974384220710292,0.9744029589298666,13
E2,Sex-combined,C18-Pos-000567,Phloretic Acid,Phenylpropanoids and polyketides,NA,0.3112781954887218,0.18157577037037334,0.9744029589298666,20
E2,Sex-combined,C8-Pos-003647,Lpe 34:1,Lipids and lipid-like molecules,NA,0.3112781954887218,0.18157577037037334,0.9744029589298666,20
