"Compound.ID","Name","Formula","Sample01","Sample08","Sample09","Sample10","Sample19","Sample20","Sample32","Sample35"
"C8-Neg-003644","Pc(21:1cooh_23:6)","C52 H88 N O10 P",299060.57353591,NA,139825.811435568,244940.145567258,254503.141579986,113556.716121743,252838.363877094,142372.523487429
"C8-Pos-005692","Pc(22:3cho_27:6)","C57 H94 N O9 P",18358180.4335598,34316116.1026506,7748408.03522841,8843317.39306767,21791343.129304,7507840.65024327,16115034.3395517,21816940.9560604
"C8-Pos-005761","Pc(22:3cho_28:6)","C58 H96 N O9 P",600284.344985376,366354.825493394,492956.08468175,304071.56980612,464830.425816612,294228.718583529,648358.69972219,537092.599376208
"C8-Pos-005561","Pc(22:5cooh_25:8)","C55 H82 N O10 P",NA,66125.2016853119,NA,12485.6458640781,29055.0221556199,NA,NA,32324.9165542372
"C8-Pos-004762","Pc(24:6_14:1)","C46 H78 N O8 P",245530.050165225,104652.321593171,172892.512994071,423367.173272266,115813.609022409,80876.4113684211,250611.323616827,92601.5624605509
"C8-Neg-003777","Pc(25:0_22:5)","C55 H100 N O8 P",337069.665963821,689116.71043323,239380.35616937,342246.552983016,318780.782638996,160403.365515828,134567.727703394,426900.255471453
"C8-Pos-005464","Pc(26:6_21:6cho)","C55 H84 N O9 P",227023.040617579,468529.481080323,122627.028194396,137447.85397779,292478.026114527,125452.395418008,222145.945453036,332696.505501225
"C8-Pos-005741","Pc(28:1_21:0cooh)","C57 H110 N O10 P",147774.392677352,132088.736256494,NA,NA,889848.437959658,157223.974532268,471951.524735266,NA
"C8-Pos-005696","Pc(28:1_21:1)","C57 H110 N O8 P",54560.0404402985,296009.384525809,55551.2479972134,22099.3811390895,NA,NA,NA,136465.518952864
"C8-Pos-005574","Pc(30:0_17:1cho)","C55 H106 N O9 P",88498.4724132532,814593.330681373,81741.4808282623,58281.0334004944,249988.236230772,NA,83741.661917404,270445.211367747
"C8-Pos-005718","Pc(30:0_18:0cho)","C56 H110 N O9 P",109559.034670534,256357.190608649,NA,NA,209953.066138689,NA,106879.451721482,68693.6818355292
"C8-Pos-004593","Pc(32:2_4:0)","C44 H84 N O8 P",146565.830769749,262410.097010359,29433.9818123316,31289.8364951318,75136.7065543848,196557.65172849,175637.070661155,296903.832246424
"C8-Pos-005755","Pc(36:6_13:4cooh)","C57 H92 N O10 P",420820.404146647,614286.51025693,218664.240001959,166562.119136248,477661.781088606,164532.792107727,331276.991184915,426917.232437058
"C8-Pos-003127","Pc(6:0_17:0cho)","C31 H60 N O9 P",821247.848581748,2480773.99002011,677075.614686829,477305.921836963,1576447.50886063,373811.337450628,1405787.16815241,1009664.686258
"C8-Pos-004874","Pc(6:0cooh_30:1)","C44 H84 N O10 P",155714.680544359,444235.666975183,427198.558925427,NA,316953.162408059,413020.979213525,163789.62585325,3628895.77461433
"C8-Pos-004482","Pc(7:1cho_29:3)","C44 H78 N O9 P",104636.897063006,277670.540309829,494927.061768832,66619.1292865076,72514.801087182,124722.990657178,97221.6065960105,63167.5985556265
"C8-Pos-004612","Pc(9:0cho_26:1)","C43 H82 N O9 P",4206905.48276259,504275.887737417,1446266.4175404,1908193.90217068,1943811.37481435,11657569.4779914,2078961.58292175,1018756.9699531
"C8-Pos-003775","Pc(O-10:0_22:0)","C40 H82 N O7 P",610971.107804018,885600.894598506,1087408.9087893,811827.754381467,1055068.03867755,1267036.09288029,754381.405354853,836836.945128114
"C8-Pos-003714","Pc(O-10:0_23:2)","C41 H80 N O7 P",2204026.88965346,1582217.74021033,483060.53585751,3672669.58834033,1779157.66288932,7057128.39154043,2268018.67726069,1693545.4312611
"C8-Pos-004673","Pc(O-22:5_16:0)","C46 H84 N O7 P",1626480.44317854,870999.878040776,390504.587655372,392924.202039342,1597418.6613105,184462.85021862,295648.560856228,752497.803711388
"C8-Pos-003944","Pc(O-24:5_10:0)","C42 H76 N O7 P",2038579.91978531,4339917.0997034,1680266.9667628,1723873.26260843,3078423.20907914,1388482.27784154,2884062.55695406,2718616.93982683
"C8-Pos-004203","Pc(O-29:1_5:0)","C42 H84 N O7 P",3481441.30813595,1458557.22370296,3454886.18803318,3741948.90820066,2884850.69178196,4512109.96335395,2198634.29875999,2413375.551423
"C8-Pos-004445","Pc(P-12:1_26:4)","C46 H82 N O7 P",1736456.85084213,2246649.33931375,1283958.17979788,1248636.2876966,3431248.40440562,1094867.70344499,1259611.10907978,1836059.95233587
"C8-Pos-003566","Pe 16:0_16:0","C37 H74 N O8 P",7541562.14626768,9255825.38192721,6784790.23811831,5921406.55387287,8131512.64002458,4350824.72079368,3969017.25714066,8303060.46901674
"C8-Pos-003759","Pe 16:0_18:1","C39 H76 N O8 P",141354416.944222,149669211.964867,138242767.614459,125723389.235871,126175816.471547,109255032.342923,112096885.885418,153579993.067605
"C8-Pos-004173","Pe 16:0_22:5","C43 H76 N O8 P",157236257.382937,167733427.759381,133657959.374399,67643587.4052018,133201682.470835,131881873.213955,141921109.488455,148772826.590254
"C8-Pos-003535","Pe 16:1_16:1","C37 H70 N O8 P",1889708.73458236,3413736.74872367,1152107.06227816,1176290.24428296,2010675.12866318,1343173.87800782,1790151.86135982,1943764.015927
"C8-Pos-003774","Pe 17:0_17:0","C39 H78 N O8 P",16866578.3475642,21387436.2151685,11624725.9818339,11536591.022141,20216208.3542055,7407991.38724557,10422311.1357254,19454933.1691801
"C8-Pos-004275","Pe 18:0_20:1","C43 H84 N O8 P",13462894.6064152,18109626.7782489,6315264.94738702,5921375.12849703,11020363.3092869,4130350.34971915,7268040.27069542,13771708.4200673
"C8-Pos-004731","Pe 18:0_24:5","C47 H84 N O8 P",30814415.750156,55227509.2831751,27361704.3728707,21907511.4305496,29830021.2667943,20204990.7127464,31137047.6410345,37286103.3613048
"C8-Pos-004303","Pe 20:2_20:2","C45 H82 N O8 P",204012754.338725,284170040.826285,151231233.441966,137960431.470209,225847097.126249,134848559.704914,245378752.603937,231807976.259255
"C8-Pos-004750","Pe 21:2_21:2","C47 H86 N O8 P",16974779.2825565,23861302.1324852,12214860.0429859,11551362.8295288,13234579.1116829,10112489.8265781,13083497.1158738,17243118.5431917
