"Compound.ID","Name","Formula","Sex","mean_intensity","display_name"
"C18-Pos-100183",NA,"C12 H23 N O4","F",3140509.05995371,"C18-Pos-100183"
"Amide-Pos-100263",NA,"C3 H7 N O","F",3140411.75576808,"Amide-Pos-100263"
"C8-Pos-000209","PE 19:1_19:2","C43 H80 N O8 P","F",3138870.61663199,"PE 19:1_19:2"
"C8-Pos-100256",NA,"C38 H84 N9 O2 P3","F",3133593.92555801,"C8-Pos-100256"
"C18-Neg-100112",NA,"C9 H22 N2 O6 P2 S","F",3132933.77750051,"C18-Neg-100112"
"Amide-Pos-100255",NA,"C5 H10 N2","F",3131601.81688891,"Amide-Pos-100255"
"Amide-Pos-100256",NA,"C5 H12 N2 O","F",3131601.81688891,"Amide-Pos-100256"
"C8-Pos-000281","LPE O-18:2","C23 H46 N O6 P","F",3128301.32499901,"LPE O-18:2"
"C18-Pos-100292",NA,"C9 H Cl N3 O3 P","F",3128055.20973562,"C18-Pos-100292"
"Amide-Pos-100193",NA,"C5 H17 Cl2 N9 S2","F",3125780.60541963,"Amide-Pos-100193"
"C8-Pos-000234","Piperine","C17 H19 N O3","F",3119875.32780772,"Piperine"
"C8-Pos-100356",NA,"C38 H82 N5 O12 P","F",3116895.39636744,"C8-Pos-100356"
"C8-Pos-100056",NA,"C21 H37 N","F",3113489.70314866,"C8-Pos-100056"
"Amide-Neg-100188",NA,"C6 H11 N7 O4 P2","F",3108623.75476235,"Amide-Neg-100188"
"Amide-Neg-100212",NA,"C6 H10 Cl N O5","F",3107639.585193,"Amide-Neg-100212"
"C8-Pos-100412",NA,"C23 H44 N8 O6","F",3107047.08260467,"C8-Pos-100412"
"Amide-Neg-000089","Hypoxanthine","C5 H4 N4 O","F",3102464.82158143,"Hypoxanthine"
"C8-Neg-100268",NA,"C42 H70 N5 O4 P","F",3102318.01314783,"C8-Neg-100268"
"Amide-Neg-100265",NA,"C6 H7 N3 O P2","F",3099688.48897698,"Amide-Neg-100265"
"C8-Pos-100385",NA,"C25 H44 N4 O2","F",3097359.29208159,"C8-Pos-100385"
"Amide-Neg-100218",NA,"C4 H4 O2","F",3095690.27194694,"Amide-Neg-100218"
"Amide-Neg-100208",NA,"C6 H6 O7","F",3094784.79407377,"Amide-Neg-100208"
"Amide-Neg-100241",NA,"C5 H8 Cl N O5","F",3092949.31259031,"Amide-Neg-100241"
"Amide-Pos-000315","7-Methylguanosine","C11 H15 N5 O5","F",3091353.46780475,"7-Methylguanosine"
"Amide-Neg-100190",NA,"C5 H6 O6","F",3090596.37816605,"Amide-Neg-100190"
"C18-Neg-000104","N-Acetyl-DL-aspartic acid","C6 H9 N O5","F",3086445.13387921,"N-Acetyl-DL-aspartic acid"
"C8-Neg-100192",NA,"C7 H8 Cl2 N P3 S","F",3085937.56931399,"C8-Neg-100192"
"Amide-Neg-100222",NA,"C10 H22 Cl N O3 S2","F",3082735.50322483,"Amide-Neg-100222"
"C8-Pos-000326","1,2-dihydroxyheptadec-16-yn-4-yl acetate","C19 H34 O4","F",3082384.84742761,"1,2-dihydroxyheptadec-16-yn-4-yl acetate"
"Amide-Pos-000338","Pyridine-3,5-diol","C5 H5 N O2","F",3077299.90853019,"Pyridine-3,5-diol"
"Amide-Pos-000258","1,2-dioleoyl-sn-glycero-3-phosphatidylcholine","C44 H84 N O8 P","F",3068542.81699228,"1,2-dioleoyl-sn-glycero-3-phosphatidylcholine"
"C8-Neg-100277",NA,"C7 H10 O7","F",3059555.14529729,"C8-Neg-100277"
"C8-Neg-100278",NA,"C11 H13 Cl P2","F",3059555.14529729,"C8-Neg-100278"
"C8-Pos-100370",NA,"C18 H28 N2","F",3057649.95094997,"C8-Pos-100370"
"C8-Pos-100425",NA,"C29 H49 N3 O3 S","F",3051561.09593596,"C8-Pos-100425"
