"Compound.ID","Name","Formula","GW_bucket","mean_intensity","display_name"
"C8-Neg-101596",NA,"C4 H13 N8 O8 P3","22-24",61363.2273411253,"C8-Neg-101596"
"C8-Pos-101989",NA,"C16 H29 N2 O5 P S","22-24",61281.915970712,"C8-Pos-101989"
"Amide-Pos-100768",NA,"C4 H7 N3 O2","22-24",61203.3478221957,"Amide-Pos-100768"
"C8-Pos-101851",NA,"C19 H47 N8 O2 P","22-24",61165.0773921969,"C8-Pos-101851"
"C18-Pos-101167",NA,"C77 H106 N8 O18 P2","22-24",61115.8139089362,"C18-Pos-101167"
"C8-Pos-000693","N-Ethylheptedrone","C15 H23 N O","22-24",61081.6448534069,"N-Ethylheptedrone"
"C8-Neg-101761",NA,"C6 H20 Cl N7 O P2 S2","22-24",61028.0692939286,"C8-Neg-101761"
"C8-Neg-101870",NA,"C6 H20 N6 O13 P2","22-24",60831.5588420897,"C8-Neg-101870"
"C18-Pos-101171",NA,"C32 H56 N O7 P S","22-24",60796.3124096599,"C18-Pos-101171"
"Amide-Neg-100916",NA,"C4 H10 N O6 P","22-24",60754.7208006364,"Amide-Neg-100916"
"Amide-Pos-100769",NA,"C5 H9 N2 O11 P","22-24",60738.482946435,"Amide-Pos-100769"
"C18-Pos-101295",NA,"C4 H2 N2 O12 P2","22-24",60710.814053298,"C18-Pos-101295"
"C8-Neg-101734",NA,"C26 H41 N O4","22-24",60680.7661056351,"C8-Neg-101734"
"C18-Pos-101209",NA,"C86 H141 N10 O18 P3 S2","22-24",60641.1465565222,"C18-Pos-101209"
"C8-Pos-102162",NA,"C22 H35 N5 O4","22-24",60598.3269090071,"C8-Pos-102162"
"C8-Pos-102021",NA,"C21 H36 N4 O2","22-24",60591.3813000891,"C8-Pos-102021"
"C8-Pos-102169",NA,"C17 H35 N O2","22-24",60518.5704404639,"C8-Pos-102169"
"C8-Neg-101177",NA,"C23 H29 N6 O4 P3 S5","22-24",60397.1529227155,"C8-Neg-101177"
"C18-Neg-100696",NA,"C12 H20 N3 O P S2","22-24",60374.3520827867,"C18-Neg-100696"
"C8-Pos-102118",NA,"C8 H23 N4 O4 P","22-24",60306.5371598406,"C8-Pos-102118"
"Amide-Neg-100966",NA,"C13 H17 N O P2","22-24",60301.0387989713,"Amide-Neg-100966"
"C18-Pos-101242",NA,"C8 H28 N9 O P","22-24",60292.4861897742,"C18-Pos-101242"
"C8-Pos-102231",NA,"C31 H58 N2 O5 P2 S2","22-24",60265.0742212902,"C8-Pos-102231"
"C18-Neg-100593",NA,"C6 H8 Cl2 N4 P2 S","22-24",60233.210855857,"C18-Neg-100593"
"C18-Pos-000302","Adenylyl(3'-5')cytidine","C19 H25 N8 O11 P","22-24",60179.1471233993,"Adenylyl(3'-5')cytidine"
"C8-Neg-101655",NA,"C7 H17 Cl N2 O11","22-24",60123.5186025818,"C8-Neg-101655"
"Amide-Neg-100904",NA,"C3 H3 N2 O6 P3","22-24",60065.6694166029,"Amide-Neg-100904"
"C8-Pos-000688","Ethylmorphine","C19 H23 N O3","22-24",59818.3615927375,"Ethylmorphine"
"C8-Pos-000701","Cortisol","C21 H30 O5","22-24",59735.2214234622,"Cortisol"
"C8-Neg-101852",NA,"C26 H54 N6 O5","22-24",59667.7325470431,"C8-Neg-101852"
"C18-Pos-101081",NA,"C33 H72 N7 O14 P3","22-24",59639.3342905635,"C18-Pos-101081"
"C18-Pos-101297",NA,"C4 H2 N2 O12 P2","22-24",59631.7991934891,"C18-Pos-101297"
"C8-Neg-101592",NA,"C5 H13 Cl3 N9 P","22-24",59628.480139409,"C8-Neg-101592"
"C18-Pos-100765",NA,"C69 H104 N8 O16 P2 S3","22-24",59529.8448231115,"C18-Pos-100765"
"C8-Pos-101698",NA,"C6 H13 Cl3 O12 P2 S","22-24",59471.2909790798,"C8-Pos-101698"
"Amide-Pos-100684",NA,"C7 H21 N10 O4 P","22-24",59434.7983132957,"Amide-Pos-100684"
"C8-Neg-101909",NA,"C34 H69 N4 O5 P","22-24",59417.0242342897,"C8-Neg-101909"
"C8-Neg-100972",NA,"C4 H13 Cl N8 O3 P2 S","22-24",59392.3436689525,"C8-Neg-100972"
"C8-Neg-101670",NA,"C5 H5 Cl2 N3 O6 S","22-24",59389.9646885561,"C8-Neg-101670"
"Amide-Pos-000558","Hexamethylenetetramine","C6 H12 N4","22-24",59382.3517847481,"Hexamethylenetetramine"
"C8-Neg-101818",NA,"C20 H47 N4 O P","22-24",59375.5008911395,"C8-Neg-101818"
"C8-Neg-101791",NA,"C39 H78 N10 O6 P2","22-24",59354.8888114364,"C8-Neg-101791"
"C8-Pos-102210",NA,"C33 H67 N5 O5 S","22-24",59129.8697877305,"C8-Pos-102210"
"C8-Pos-102245",NA,"C48 H92 N6 O12 P2","22-24",59024.132870035,"C8-Pos-102245"
"Amide-Neg-100978",NA,"C11 H15 N O S2","22-24",59011.1799143644,"Amide-Neg-100978"
"Amide-Pos-100764",NA,"C8 H2 Br N2 P","22-24",59003.4358629912,"Amide-Pos-100764"
"C8-Pos-101897",NA,"C20 H41 O P S2","22-24",58974.9466773525,"C8-Pos-101897"
"C8-Neg-101759",NA,"C5 H15 Cl N10 O8 P2 S","22-24",58918.8394533217,"C8-Neg-101759"
"C18-Neg-100612",NA,"C8 H17 N O7 P2","22-24",58842.604254979,"C18-Neg-100612"
"Amide-Pos-100786",NA,"C8 H18 N2 O2","22-24",58797.3754663182,"Amide-Pos-100786"
"C8-Neg-101781",NA,"C13 H21 N5 O4","22-24",58783.6604483585,"C8-Neg-101781"
"C8-Neg-100982",NA,"C6 H17 Cl N8 O9 S","22-24",58609.9963389684,"C8-Neg-100982"
"C8-Pos-102164",NA,"C15 H33 N7 O2 S2","22-24",58521.7399895473,"C8-Pos-102164"
"C8-Pos-101270",NA,"C21 H52 N5 O P3","22-24",58495.1709306168,"C8-Pos-101270"
"C8-Neg-101871",NA,"C31 H75 N10 O2 P S","22-24",58488.9717020427,"C8-Neg-101871"
"C18-Neg-100636",NA,"C3 H8 N3 O16 P3 S","22-24",58479.2100321761,"C18-Neg-100636"
"C8-Neg-100524",NA,"C5 H14 Cl N10 O3 P S","22-24",58461.266803531,"C8-Neg-100524"
"C8-Neg-101274",NA,"C3 H7 N6 P3","22-24",58414.051915531,"C8-Neg-101274"
"Amide-Pos-100821",NA,"C3 H3 N7 O2","22-24",58381.1305700932,"Amide-Pos-100821"
"C8-Neg-101890",NA,"C21 H44 N6 O4 S","22-24",58251.2389997331,"C8-Neg-101890"
