"","Name","Sample02","Sample03","Sample04","Sample06","Sample07","Sample13","Sample15","Sample17","Sample18"
"14","(Z)-2-Oct-7-enylpent-2-enedioic acid","1271981.49005364","1140795.86490744","1266093.69546571","1189486.5114638","1397733.75537983","1407596.14435581","1472199.6645698","1319760.17976987","1468338.60295347"
"15","(Z,E)-Tetradeca-9,12-dienol","7018762.87610897","7119458.62122105","7200286.19592372","7320996.69220429","6875151.72435388","7236520.32041591","7330186.79716779","7067751.62335942","7089181.86883766"
"16","(αS,1S,2R)-α-Amino-2-carboxycyclopropaneacetic acid",NA,NA,"26129462.1515036",NA,"28067678.3434516",NA,"36530835.405932","31890880.0029721",NA
"17","1,2-DIDECANOYL-SN-GLYCERO-3-PHOSPHOCHOLINE","183135.285864358","492361.252164822","484278.812765393","714713.780819652","460098.642290096",NA,"584749.862238193","435012.140749751","595172.294569618"
"18","1,2-Di-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycero-3-phosphocholine","46686257.2142451",NA,"37012555.4903004",NA,"79230350.0400902","41141911.4366924",NA,"48296877.2526354",NA
"19","1,2-Di-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine","414291.278333373","424748.278879139","168613.838155524","522686.163689981","375996.099705113","212359.169861196","248604.531371241","243779.54529803","463847.707687185"
"20","1,2-Diarachidonoyl-sn-glycero-3-phosphocholine","20874825.2887667","23316845.5035795","24860049.0072765","22907948.6861897","25669132.8736795","27894809.962235","28592369.7143085","28319503.304912","24991662.3736632"
"21","1,2-Didocosahexaenoyl-sn-glycero-3-phosphocholine","2548936.45585086","1903737.53356484","2004109.97902412","2298114.27115551","2464922.79356624","2793317.62431087","1582578.31109924","2920439.41497395","3965408.33557542"
"22","1,2-Dilinolenoyl-sn-glycero-3-phosphoethanolamine","4770618.11958427","3785265.92205277","3793073.41281718","3082820.50428629","3852002.14493506","3046841.75428259","3339040.13582722","3024374.7836943","3047771.31424712"
"23","1,2-Dilinoleoyl-sn-glycero-3-phosphoethanolamine","20233391.2288661","19479551.9061302","24438932.128186","18398199.037255","24348226.3872894","18280323.4434448","26453090.4642314","14909947.8483666","13796997.3365006"
"24","1,2-Dipalmitoleoyl-sn-glycero-3-phosphocholine","473983934.269542","607391018.557895","450275247.494813","603746930.200183","581138444.154186","623128367.036754","525249944.218973","660549574.651823","557441007.633149"
"25","1,2-Dipentadecanoyl-sn-glycero-3-phosphocholine","529123460.098412","508411415.494113","530012656.012163","488572869.134885","497257845.675001","450787317.971427","548537430.726324","389116310.487344","428671899.255476"
"26","1,2-Ditetradecanoyl-sn-glycero-3-phosphocholine","288717126.77049","264519143.599218","246856629.832472","293385382.285596","264185316.121557","185426812.417876","296659509.211044","195430484.235164","222885616.641306"
"27","1,2-Ethanediol, 1-[(2S,4aR,4bS,7S,8aS)-2,3,4,4a,4b,5,6,7,8,8a,9,10-dodecahydro-7-hydroxy-2,4b,8,8-tetramethyl-2-phenanthrenyl]-","191981.72863543","795716.471520241","444676.405658037","266443.409209568","377913.42021805","263668.163559727","145807.484933394","194659.568563043","294699.216352206"
"28","1,2-dihydroxyheptadec-16-yn-4-yl acetate","3368225.08730601","3310142.2578088","3258235.14183967","3796062.3386724","3331824.57788526","3582599.94783983","3298142.30396023","3258522.98461245","3407515.85272601"
"29","1,2-dioleoyl-sn-glycero-3-phosphatidylcholine","369121745.160618","329960030.253224","280400283.410425","196381449.142914","318002571.877941","365320140.091811","277709213.847256","401720288.241115","339182188.42463"
"30","1,24-Dihydroxyvitamin D3","1460118.98230997","1660910.16955817","1590555.57880615","2319683.38842039","1090521.94939214","1662856.55546151","1549896.0505859","1215656.76731316","1714491.2133023"
"31","1,3,5-Tris(3,5-di-tert-butyl-4-hydroxybenzyl)-1,3,5-triazine-2,4,6(1H,3H,5H)-trione","20010862.6596296","20934316.3793795",NA,"25125244.472661",NA,NA,NA,"19172200.9653255",NA
