Name,Sample02,Sample03,Sample04,Sample06,Sample07,Sample13,Sample15,Sample17,Sample18,Sample21,Sample23,Sample24,Sample26,Sample31,Sample33,Sample37,Sample40,Sample41,Sample42,Sample43,Sample46,Sample47,Sample49,Sample50
Label,F,F,M,F,M,F,M,M,F,F,M,F,M,F,F,M,F,M,F,F,M,M,M,M
LPC 32:5-SN1,1028487.48403144,1052268.07608388,901273.328775012,899222.252507034,848398.764745199,574945.636098576,598654.466785361,490348.267892009,1281947.09838119,878377.332715677,1037291.36259008,387529.507840287,972208.286699394,531377.004824122,464736.061706973,836994.67582569,720903.709679574,831578.593941126,995979.776207678,786850.898828653,694822.024088167,837579.196632193,895279.234791772,868367.911329349
LPC O-18:1,385980.488825023,605635.192128773,494013.039154948,792749.300754208,688183.340846376,1064114.61663092,1129554.25549896,571905.00107469,839735.570298246,491177.655320141,856404.505613086,1919432.27878707,496615.128097593,529498.639975622,844305.280935259,372467.726962896,550110.715145946,462677.392930446,729978.975024026,638701.72466173,617524.152616752,782184.107843463,768634.027883198,598651.40135572
LPC(18:0),44220.793403828,164268.944807412,65272.5532048245,175860.343446536,155542.050397299,NA,90852.2748694687,NA,243052.745911036,26673.6490797369,26706.6959767549,28615.7384205756,47516.4427339999,NA,NA,NA,48476.1417893306,143170.405249005,560678.346088348,71379.6675375963,93972.7757121623,80011.2997198455,164110.750028331,116940.231223461
LPE 16:1,617112.098912812,985780.829145011,567822.666606152,805491.184237539,885448.371073439,540894.198246741,607317.413394151,542784.980939633,1290289.35950814,522548.631062015,857005.668286286,789113.54420203,531694.941354348,420610.95340013,738817.830060841,684277.464951967,824072.833487445,586533.182895454,570359.981718955,685890.060282168,742903.329676402,514851.563518527,687627.302316963,579568.289898216
LPE 18:2,808215.987554208,1119804.59387466,818223.287891782,1042963.55835505,980488.961432426,347556.603037584,698260.390838245,508543.814999381,1283891.10958323,719364.769858614,828525.466301752,605109.498632893,611090.292340854,338256.157499085,864449.343998043,609569.763842368,644181.947837478,592440.869776164,493542.636653489,511785.949531692,659935.407848699,520968.079423499,409724.614379553,744576.814358068
LPE 20:1,505679.658875065,658552.470133366,433356.712200943,808911.304857692,596109.653515574,384951.077408944,501901.117650182,426918.674049882,739283.553099028,500091.692849973,661844.278509239,736637.36024132,478100.001471123,433052.231802957,567233.512277283,474931.666048364,713975.785361993,627144.795926088,448709.148940408,533728.843170932,587222.798927445,609742.164468603,516287.662103712,775547.010687291
LPE 20:3,NA,992159.624007299,1160641.75224518,2635644.6324175,NA,996830.241937299,1036933.58161272,1007006.54813377,2344395.09812249,1836648.81714125,1756485.67753117,1219383.36696753,1242168.40502153,1148748.52265958,1752528.95099019,1794367.85966615,2262144.58158297,2055008.50363174,1561756.92270131,1335800.2306929,1147357.57742287,1155480.8211376,1495531.24403998,2166061.19409501
LPE 20:4,26883030.9898219,37272306.2148076,31917767.4835481,38894204.5709971,41135557.0760901,26612800.5977233,33640686.8522224,28313674.1610634,38185251.7818961,33940262.8502601,30124603.6052449,27243572.301242,32976041.8700953,21985068.509686,29160769.9839065,33201283.0621773,28618051.2082408,24703091.3713211,17364975.6646423,28695607.3141096,31044076.0100048,23617420.1771016,30832802.9744177,34712573.0730669
LPE 22:3,1371509.36417992,1297283.84546536,1293843.5344218,2577303.00070292,1487969.33927056,1484410.95841226,1377201.82522358,1413407.64667309,NA,2264316.11275842,1826484.0279197,2042982.21707269,1280923.62409053,1991780.67832843,2594423.7970771,1740546.12989878,2314251.44231994,2203764.90040686,1503281.94834042,1495318.30687677,1706366.56129403,1629192.81542278,2000653.29841522,2288832.14810477
LPE 22:4,14025597.9950681,17186461.2910956,22996288.8563426,21009672.2194697,27342397.4601768,21967806.8488263,24185999.3012946,14534680.8854134,19539250.2297252,24312489.5228795,18725043.1198842,27234498.02267,16622506.0919462,15809579.1417124,19874296.2877337,17204507.7980987,14405049.9151807,16973009.624347,9697129.394917,14182042.1443715,21332062.9027375,16486734.8619182,17328570.9787297,17334570.6184035
LPE 22:5,9720004.42080304,13616050.4941208,11984606.0390009,13264897.4463879,12783978.8551226,8620737.43675104,9646282.59809943,8353254.20579952,18698170.7951724,14067317.5893874,12037840.9704583,7861255.37377854,11694419.8545066,5562101.84294964,6862520.8951129,12850792.9098,10145728.5206963,NA,7176205.76051023,9748011.96074288,7686811.11802527,10539444.601366,9333648.98246638,13368239.5977387
LPE 22:6,21871370.5327782,23982645.6074118,22280671.4244646,26017348.1372926,26663177.6666494,23005620.7402197,17749456.8126298,21050893.8425015,36308207.7345154,22552951.8727037,24533419.0317525,33694610.5940872,27964049.0753557,18516563.8664738,21793182.9611791,26276475.6511153,26686400.1181758,24723614.2757362,14085105.954877,22699079.448389,24679162.6381939,22989580.5729456,24096753.9520893,21658560.9505059
