"Compound.ID","Name","Formula","Sample02","Sample03","Sample04","Sample06","Sample07","Sample13","Sample15","Sample17","Sample18","Sample21","Sample23","Sample24","Sample26","Sample31","Sample33","Sample37","Sample40","Sample41","Sample42","Sample43","Sample46","Sample47","Sample49","Sample50"
"C8-Pos-101467",NA,"C40 H72 N6 O6",NA,NA,NA,NA,NA,NA,NA,NA,NA,463241.733315082,NA,NA,NA,NA,NA,NA,NA,258031.887792413,509292.405803821,NA,NA,NA,NA,NA
"C8-Pos-101468",NA,"C38 H84 N5 O7 P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,505677.964132752,NA,NA,NA,NA,NA,NA
"C8-Pos-101469",NA,"C14 H25 N O2",202855.734593764,343587.78350945,342820.75448572,415000.06151914,270126.190027598,488322.686808309,281005.710722817,121201.259554341,119195.065435243,51273.7481560461,307590.318441547,78290.7536966396,305701.538638648,504550.590735329,350855.009433542,293650.52650577,400981.377851264,414863.923334031,211108.423512284,319272.003919275,254989.06515093,296685.15271669,472148.051916775,311303.020591148
"C8-Pos-101470",NA,"C23 H44 O2",439793.688565697,496007.783717766,366745.036791507,379228.481210845,NA,392753.764875216,399172.927922311,414353.081329632,338040.978997272,382833.829098532,411167.134489526,383018.185927933,359689.817490106,344647.326389506,503464.407307668,306404.624970931,377358.73683549,421405.985819253,322397.485190384,223438.292781121,404466.128561794,358397.442801439,491214.688423128,320099.720642493
"C8-Pos-101472",NA,"C13 H14 N6 O3",439843.007301428,453643.101161647,434247.115701471,408444.502907561,434139.642825021,437307.714905406,401803.132890349,461195.461023889,406384.308821898,389623.095313972,459459.08529194,418304.344606636,220713.952497275,385082.197735921,440948.618099808,458354.439659926,460562.628803058,414646.366862535,484719.144578606,500063.793228897,426060.021150061,409613.837561474,420386.458245795,446126.883426687
"C8-Pos-101474",NA,"C3 H6 N10 O5 P2",NA,187333.494707267,234838.186336927,NA,497852.241139992,NA,NA,NA,128778.490911046,481980.616468088,251261.837201418,162522.321792141,NA,NA,109380.290710123,NA,NA,NA,NA,121692.772308685,NA,NA,NA,NA
"C8-Pos-101475",NA,"C5 H7 N8 O8 P",238583.924506804,NA,339434.071700726,268570.259137256,497421.186421124,358489.892965161,303861.5927086,396801.985943285,161187.378992735,255056.848190943,242233.325265544,211246.983676609,92311.2853730453,146754.26101375,146167.596431336,233646.514916859,177439.081309446,NA,249790.274579461,324438.949083269,78199.6570668161,NA,186931.156602689,NA
"C8-Pos-101476",NA,"C4 H6 N10 O2 P2",NA,NA,110106.207572089,NA,298971.27101282,NA,NA,NA,NA,176243.107184125,495308.417453745,224207.403599504,NA,NA,132807.873128014,NA,NA,NA,NA,127421.907779538,NA,NA,NA,NA
"C8-Pos-101477",NA,"C25 H36 O3",128878.396418141,410349.071544034,251403.622928455,171616.659531634,296638.272441488,212739.73554783,NA,163732.52499743,338110.811501669,377177.567208365,244910.384105365,363134.265334444,398979.897570147,430626.45819442,398722.319893439,287839.944407844,315843.495141279,376397.957710159,430138.913204146,289869.639196562,494705.059740798,394210.209405215,412196.920828074,399061.844745124
"C8-Pos-101478",NA,"C22 H43 N O4",54200.4570136829,111520.30488287,84340.5419402279,169684.812586065,NA,89251.5870063257,223242.293188712,11547.42409829,172083.982289422,74392.6835593545,NA,NA,105276.962306735,NA,79062.879314466,494373.465821032,NA,32603.5824749682,98720.1996717361,193172.580115938,NA,55046.537146276,NA,NA
