gene,cell_type,Compound.ID,Name,Class,Super.Class,logFC,set_id,set_label,condition,source,level,set_type
RYR2,IN-CGE-Immature,Amide-Neg-000484,L-Lysine,Carboxylic acids and derivatives,Organic acids and derivatives,1.5625950037097749,epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro
RYR2,IN-CGE-Immature,Amide-Neg-000484,L-Lysine,Carboxylic acids and derivatives,Organic acids and derivatives,1.5625950037097749,epi_ilae,Epilepsy (ILAE 2023),Epilepsy,ILAE 2023,paper,neuro
RYR2,IN-CGE-Immature,Amide-Neg-000484,L-Lysine,Carboxylic acids and derivatives,Organic acids and derivatives,1.5625950037097749,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
FOXO1,IN-CGE-Immature,Amide-Neg-000484,L-Lysine,Carboxylic acids and derivatives,Organic acids and derivatives,1.8112723633379928,ibd_alegbe,IBD (Alegbe 2026),IBD,Alegbe 2026,paper,control
FOXP2,IN-CGE-Immature,Amide-Neg-000697,Dl-Arginine,Carboxylic acids and derivatives,Organic acids and derivatives,2.387589247729795,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
RARB,IN-CGE-Immature,Amide-Neg-000697,Dl-Arginine,Carboxylic acids and derivatives,Organic acids and derivatives,2.354323808157215,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
MEIS2,IN-CGE-Immature,Amide-Neg-000697,Dl-Arginine,Carboxylic acids and derivatives,Organic acids and derivatives,1.7757319836591134,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
DCC,IN-CGE-Immature,Amide-Neg-000697,Dl-Arginine,Carboxylic acids and derivatives,Organic acids and derivatives,1.6857032807353365,scz_union,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro
DCC,IN-CGE-Immature,Amide-Neg-000697,Dl-Arginine,Carboxylic acids and derivatives,Organic acids and derivatives,1.6857032807353365,scz_trubetskoy,SCZ (Trubetskoy 2022),SCZ,Trubetskoy 2022,paper,neuro
RYR2,IN-CGE-Immature,Amide-Neg-000697,Dl-Arginine,Carboxylic acids and derivatives,Organic acids and derivatives,1.4199612555295344,epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro
RYR2,IN-CGE-Immature,Amide-Neg-000697,Dl-Arginine,Carboxylic acids and derivatives,Organic acids and derivatives,1.4199612555295344,epi_ilae,Epilepsy (ILAE 2023),Epilepsy,ILAE 2023,paper,neuro
RYR2,IN-CGE-Immature,Amide-Neg-000697,Dl-Arginine,Carboxylic acids and derivatives,Organic acids and derivatives,1.4199612555295344,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
PRKG1,IN-CGE-Immature,Amide-Neg-000697,Dl-Arginine,Carboxylic acids and derivatives,Organic acids and derivatives,1.273336022248272,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
FOXO1,IN-CGE-Immature,Amide-Neg-000697,Dl-Arginine,Carboxylic acids and derivatives,Organic acids and derivatives,1.6108364455379112,ibd_alegbe,IBD (Alegbe 2026),IBD,Alegbe 2026,paper,control
CALN1,IN-CGE-Immature,Amide-Neg-000697,Dl-Arginine,Carboxylic acids and derivatives,Organic acids and derivatives,1.4377783256876218,scz_union,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro
CALN1,IN-CGE-Immature,Amide-Neg-000697,Dl-Arginine,Carboxylic acids and derivatives,Organic acids and derivatives,1.4377783256876218,scz_trubetskoy,SCZ (Trubetskoy 2022),SCZ,Trubetskoy 2022,paper,neuro
FOXP2,IN-CGE-Immature,Amide-Neg-001061,2-Deoxyribose 5-Phosphate,Organooxygen compounds,Organic oxygen compounds,2.374616287510656,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
