n_fg,n_set_tested,fg_in_set,bg_in_set,OR,ci_lo,ci_hi,p,cell_type,set_id,n_bg,set_label,condition,source,level,set_type,reported,FDR,significant
117,139,4,135,3.9809135754578744,1.0512285191982926,10.712874987949554,0.02135483033650264,IN-CGE-Immature,epilepsy_union,15437,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,TRUE,0.09342738272219905,FALSE
43,25,1,24,15.321279089628593,0.36432232760901895,98.58706145131539,0.06704418028232395,IN-MGE-Immature,epi_ilae,15524,Epilepsy (ILAE 2023),Epilepsy,ILAE 2023,paper,neuro,FALSE,0.1407927785928803,FALSE
43,116,1,115,3.1808820078451783,0.07802520855490121,19.067486078597636,0.27599294225804893,IN-MGE-Immature,epi_zhang,15524,Epilepsy (Zhang 2024),Epilepsy,Zhang 2024,paper,neuro,FALSE,0.3219917659677238,FALSE
43,135,2,133,5.6275359984908455,0.6527999420615497,22.059255610362452,0.05376970967312257,IN-MGE-Immature,epilepsy_union,15524,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,TRUE,0.14476460296609925,FALSE
166,26,1,25,3.7696446705811084,0.09127976717408491,23.324952315838893,0.2410576500342464,IN-MGE-SST,epi_ilae,15743,Epilepsy (ILAE 2023),Epilepsy,ILAE 2023,paper,neuro,FALSE,0.29777709710112793,FALSE
166,120,1,119,0.7872781874899207,0.019650262968386296,4.533287677354929,0.721099584642358,IN-MGE-SST,epi_zhang,15743,Epilepsy (Zhang 2024),Epilepsy,Zhang 2024,paper,neuro,FALSE,0.721099584642358,FALSE
166,140,2,138,1.3643180989037311,0.16225498189157866,5.102017020664682,0.4357379444573597,IN-MGE-SST,epilepsy_union,15743,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,TRUE,0.508360935200253,FALSE
45,21,2,19,32.689292390013726,3.584494788110238,142.25705712871564,0.0022090924676021213,OPC,epi_ilae,13445,Epilepsy (ILAE 2023),Epilepsy,ILAE 2023,paper,neuro,FALSE,0.023195470909822272,TRUE
45,108,1,107,2.823065622084306,0.06927637146560138,16.898780073539914,0.3047820488852504,OPC,epi_zhang,13445,Epilepsy (Zhang 2024),Epilepsy,Zhang 2024,paper,neuro,FALSE,0.33686436982053997,FALSE
45,123,3,120,7.901102085651363,1.5455133092919324,25.26996722814009,0.008015289394622245,OPC,epilepsy_union,13445,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,TRUE,0.05610702576235571,FALSE
42,444,0,444,NA,NA,NA,NA,Astrocyte-Immature,ndd_fu_dd477,16648,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro,TRUE,NA,FALSE
25,454,0,454,NA,NA,NA,NA,EN-IT-Immature,ndd_fu_dd477,25597,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro,TRUE,NA,FALSE
20,453,0,453,NA,NA,NA,NA,EN-L6-IT,ndd_fu_dd477,24011,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro,TRUE,NA,FALSE
107,451,7,444,3.5362776032261554,1.3782121170489692,7.619796487646625,0.0051852127384858305,EN-L6b,ndd_fu_dd477,22984,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro,TRUE,0.04537061146175102,TRUE
38,454,1,453,1.4036256345309615,0.034538995270062184,8.361790942069078,0.5160311314484436,EN-Newborn,ndd_fu_dd477,24018,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro,TRUE,0.5644090500217351,FALSE
129,449,3,446,1.1163715016841869,0.2263126853175382,3.359253864553593,0.5076098994007543,EN-Non-IT-Immature,ndd_fu_dd477,21487,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro,TRUE,0.5644090500217351,FALSE
117,433,7,426,2.2247725644468352,0.868711207466245,4.779702202765578,0.04660041570903475,IN-CGE-Immature,ndd_fu_dd477,15437,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro,TRUE,0.13591787915135134,FALSE
43,436,1,435,0.8235446906797474,0.0203250704241054,4.870362871814729,0.7067254197162619,IN-MGE-Immature,ndd_fu_dd477,15524,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro,TRUE,0.7067254197162619,FALSE
166,435,16,419,3.8583469754595816,2.1303071539444463,6.547131685630374,1.4877045521663153e-5,IN-MGE-SST,ndd_fu_dd477,15743,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro,TRUE,5.206965932582103e-4,TRUE
45,434,3,431,2.14906708498234,0.4244791012311051,6.766995759857513,0.17684234689152187,OPC,ndd_fu_dd477,13445,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro,TRUE,0.2475792856481306,FALSE
42,8,0,8,NA,NA,NA,NA,Astrocyte-Immature,scz_chick,16648,SCZ (Chick 2025),SCZ,Chick 2025,paper,neuro,FALSE,NA,FALSE
42,92,1,91,4.425807667003102,0.10825727485665897,26.695252562039055,0.20787138656672832,Astrocyte-Immature,scz_trubetskoy,16648,SCZ (Trubetskoy 2022),SCZ,Trubetskoy 2022,paper,neuro,FALSE,0.2910199411934196,FALSE
42,100,1,99,4.06602398777934,0.0995473773364589,24.48573448311143,0.22380876739009736,Astrocyte-Immature,scz_union,16648,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro,TRUE,0.2901224762464225,FALSE
25,8,0,8,NA,NA,NA,NA,EN-IT-Immature,scz_chick,25597,SCZ (Chick 2025),SCZ,Chick 2025,paper,neuro,FALSE,NA,FALSE
25,104,0,104,NA,NA,NA,NA,EN-IT-Immature,scz_trubetskoy,25597,SCZ (Trubetskoy 2022),SCZ,Trubetskoy 2022,paper,neuro,FALSE,NA,FALSE
25,112,0,112,NA,NA,NA,NA,EN-IT-Immature,scz_union,25597,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro,TRUE,NA,FALSE
20,8,0,8,NA,NA,NA,NA,EN-L6-IT,scz_chick,24011,SCZ (Chick 2025),SCZ,Chick 2025,paper,neuro,FALSE,NA,FALSE
20,104,1,103,12.200839519786376,0.2909831725452723,78.01902909661929,0.08318498342226299,EN-L6-IT,scz_trubetskoy,24011,SCZ (Trubetskoy 2022),SCZ,Trubetskoy 2022,paper,neuro,FALSE,0.15880769562432026,FALSE
